PolicyExecTime,AverageQ,AbsLearnSignalNew,ProcessExecTime,AbsLearnSignal,ItrTime,AveragePolicyStd,ExplainedVariance,Time,MinReturn,Perplexity,MeanKL,EnvExecTime,AverageY,MeanKLBefore,AverageReturn,AverageDiscountedReturn,Entropy,AverageQLoss,StdReturn,AverageAbsQ,AverageAbsY,AverageAbsQYDiff,AbsLearnSignalOld,Iteration,MaxReturn,LossBefore,NumTrajs,dLoss,LossAfter
0.9273505210876465,11.45,0.832267949624,0.14726972579956055,0.832267949624,53.01129126548767,1.0,5.54389867347e-12,53.0113000869751,67.6387459014,2.99247e+10,0.00971574,6.479800224304199,11.4975943466,0.0,125.828467089,109.236609842,24.122,9.11257,46.3037891171,11.5725,11.7295493263,1.59049893728,0.832205915659,0,314.601196727,-8.95045,189,0.0908508,-9.0413
0.9623854160308838,28.2651,0.160683799909,0.1332530975341797,0.160683799909,53.74771499633789,1.00043,-14.0653414707,106.90913462638855,72.4819931973,3.01423e+10,0.00814737,6.7661449909210205,28.2907781278,0.0,125.917421372,109.14446432,24.1292,6.06125,47.7117695573,28.2693,28.2907781278,1.69883519378,0.160719841941,1,290.199277101,-19.943,188,0.0602036,-20.0032
0.9664490222930908,42.3394,0.665883178981,0.1394960880279541,0.665883178981,53.89878225326538,1.00062,0.159144450559,160.95194244384766,74.974403673,3.0241e+10,0.00938434,6.842999696731567,42.3567225159,0.0,127.714411613,110.61921299,24.1325,9.73936,45.6804722574,42.3577,42.3567246034,2.14510120818,0.665970834424,2,308.425873061,-35.0817,187,0.0935516,-35.1753
0.9833788871765137,53.0845,0.178989611458,0.13828086853027344,0.178989611458,53.45028114318848,1.00049,-14.8952251522,214.54428887367249,74.7545967371,3.01726e+10,0.00683157,6.809513807296753,53.0979004822,0.0,132.432814465,113.774837664,24.1302,14.2564,52.994477967,53.1058,53.0981980931,2.65876153471,0.179125011743,3,338.567038762,-49.3419,180,0.0915794,-49.4335
1.0074279308319092,61.5336,0.777920774188,0.1440877914428711,0.777920774188,54.24274730682373,1.00046,0.260205082946,268.90826439857483,76.1316300798,3.01574e+10,0.00643604,7.0502660274505615,61.5462198631,0.0,139.747705112,119.111890926,24.1297,21.535,54.9147057726,61.5532,61.5478457828,3.3739449016,0.778298159498,4,314.392465896,-59.2174,171,0.148964,-59.3663
0.9982438087463379,68.25,0.415744116561,0.14273548126220703,0.415744116561,53.370935916900635,1.00044,-1.07633321161,322.40464663505554,75.7769969871,3.01484e+10,0.0064381,7.095207452774048,68.2646621693,0.0,152.267142925,127.853658544,24.1294,31.4572,60.1688001382,68.2668,68.2653332867,4.12113955899,0.417406147294,5,358.506333984,-67.0124,156,0.209908,-67.2223
1.0171167850494385,73.7546,0.667866410009,0.14223909378051758,0.667866410009,53.47108459472656,1.00035,0.0821129560036,376.0006890296936,76.9559289482,3.01047e+10,0.00640915,7.155460834503174,73.7710432167,0.0,147.736689307,124.23628466,24.1279,39.6864,65.2031548028,73.7696,73.7714617415,4.63609427318,0.669145743304,6,376.37524137,-74.6857,162,0.248207,-74.9339
0.9982163906097412,79.4324,0.736895951521,0.13649749755859375,0.736895951521,53.8043110370636,1.00036,0.194112816704,429.9326419830322,76.7271049216,3.01093e+10,0.00641707,7.123895645141602,79.4492782983,0.0,167.269237367,137.69401117,24.1281,48.3119,71.2083296277,79.4472,79.4499397367,5.10215215814,0.737994355988,7,411.151816263,-82.3286,144,0.291512,-82.6201
1.0337483882904053,84.7446,0.676719049196,0.14073944091796875,0.676719049196,53.54543662071228,1.00032,-0.205948005455,483.61354517936707,76.4832248757,3.00857e+10,0.00643732,7.3858323097229,84.7623013387,0.0,173.979645481,142.980762871,24.1273,54.5009,66.509483191,84.7575,84.7627651379,5.39672987222,0.67792339551,8,355.57713434,-87.8903,139,0.314125,-88.2044
1.0143775939941406,90.1421,0.652488182365,0.13937592506408691,0.652488182365,52.7668240070343,1.00037,0.120008139539,536.5101761817932,81.9489892641,3.01105e+10,0.00642455,7.284016370773315,90.1589472282,0.0,182.742644035,149.033665778,24.1281,61.1396,64.9780797104,90.1553,90.1600373989,5.66398851653,0.652545230469,9,329.908200128,-94.2227,131,0.282639,-94.5053
0.990431547164917,95.8313,0.717143426213,0.1373891830444336,0.717143426213,52.8188955783844,1.00036,0.260340399437,589.4564685821533,81.2700057069,3.01091e+10,0.00999236,7.315894603729248,95.8464369351,0.0,209.619411224,165.876423825,24.1281,67.2476,80.1942988111,95.8439,95.8468165417,5.94775207537,0.717863833363,10,452.036083244,-101.504,116,0.385773,-101.89
1.0420770645141602,101.89,0.585011078658,0.14216279983520508,0.585011078658,55.99795985221863,1.00036,0.0228276772486,645.5752460956573,76.9438983224,3.01055e+10,0.00976564,7.590540647506714,101.906582587,0.0,210.508478247,166.26482978,24.128,75.5336,82.2277461113,101.903,101.907637141,6.26219994177,0.58592621406,11,491.850721493,-110.156,116,0.392334,-110.548
1.1841042041778564,107.642,0.395251708457,0.15879011154174805,0.395251708457,56.51141309738159,1.00038,-1.5487534022,702.2756018638611,82.3955939602,3.01171e+10,0.00641481,8.051139116287231,107.659918885,0.0,231.71254973,180.364120321,24.1284,84.2037,78.5608110599,107.656,107.660951806,6.59594810291,0.394722940305,12,480.636916757,-120.294,106,0.32943,-120.624
1.1096553802490234,113.851,0.739879388782,0.14882659912109375,0.739879388782,53.84304428100586,1.0004,0.230755723869,756.3049907684326,87.1500574265,3.01308e+10,0.00642696,7.799822568893433,113.865018528,0.0,234.033062854,180.782223958,24.1288,94.4906,86.4739929841,113.864,113.865951292,6.97007031273,0.73934535032,13,443.918594353,-128.935,104,0.345444,-129.281
1.0071792602539062,120.12,0.227554008783,0.14005208015441895,0.227554008783,53.82222008705139,1.00039,-8.1512214089,810.2656257152557,87.0002083366,3.01207e+10,0.00991765,7.658468723297119,120.136348338,0.0,258.361572362,196.054319387,24.1285,100.234,80.2109772371,120.136,120.137673966,7.19528084473,0.227344552935,14,532.76143081,-137.025,95,0.418839,-137.444
1.0132653713226318,126.391,0.693555989157,0.1392822265625,0.693555989157,52.949697732925415,1.00046,0.178548225854,863.3524436950684,91.8012089405,3.01599e+10,0.00642412,7.680495023727417,126.40964323,0.0,261.252463367,198.625783379,24.1298,107.307,74.7826913674,126.407,126.410958064,7.44321162177,0.693984772276,15,447.835493542,-144.403,94,0.331085,-144.734
1.0087330341339111,132.27,0.372268427751,0.13991141319274902,0.372268427751,53.95376181602478,1.00042,-1.97990128419,917.4364132881165,82.2903102735,3.01373e+10,0.00989496,7.699953556060791,132.28953485,0.0,251.786298235,192.714047246,24.129,113.758,78.8489802609,132.287,132.291376752,7.64632782725,0.371653091476,16,524.739125802,-146.237,98,0.400406,-146.637
1.0169446468353271,138.041,0.229325278029,0.1391434669494629,0.229325278029,54.241358518600464,1.00037,-7.33729376957,971.8096132278442,93.8926319828,3.01119e+10,0.00994969,7.95710825920105,138.060670737,0.0,273.10303766,205.448366438,24.1282,116.328,82.1991108762,138.063,138.064186589,7.71442163734,0.228450200368,17,613.898836968,-156.165,92,0.371155,-156.537
1.0135831832885742,142.965,0.672429502728,0.14001822471618652,0.672429502728,54.80956172943115,1.00042,0.422039502613,1026.7476456165314,103.600667229,3.01361e+10,0.00639538,7.9249725341796875,142.983693413,0.0,271.36331092,204.944830636,24.129,120.63,74.8471481603,142.992,142.988106429,7.75164370068,0.670816583459,18,509.799546366,-158.124,92,0.256866,-158.381
1.0149431228637695,147.112,0.651628104883,0.13951897621154785,0.651628104883,53.595568895339966,1.00049,0.244172296885,1080.4744176864624,95.7530566438,3.01742e+10,0.00996105,7.998161792755127,147.128988762,0.0,285.301882628,212.196591254,24.1303,115.079,84.874272558,147.134,147.132977798,7.62443312463,0.650692703003,19,617.380493998,-160.188,88,0.301453,-160.49
1.0401811599731445,150.591,0.123097972752,0.139479398727417,0.123097972752,53.61175489425659,1.00045,-19.2607265335,1134.2233610153198,86.6153968872,3.01534e+10,0.00989338,8.105382442474365,150.611814706,0.0,277.521629978,208.994487724,24.1296,114.385,72.6295668003,150.615,150.616129448,7.53705961521,0.122806930238,20,458.714276044,-159.894,91,0.268463,-160.162
1.01190185546875,153.398,0.664590630029,0.13830900192260742,0.664590630029,53.36521768569946,1.00046,0.468471661193,1187.7238337993622,149.172915071,3.01594e+10,0.0064126,8.105803728103638,153.418248386,0.0,287.108261949,214.598213307,24.1298,113.312,67.0309779841,153.422,153.424685314,7.48677252436,0.662627166181,21,455.220482103,-166.123,88,0.228287,-166.351
1.0067262649536133,155.942,0.349128266932,0.13550281524658203,0.349128266932,53.38224196434021,1.00042,-0.407809732381,1241.246181488037,130.528300079,3.01399e+10,0.0099564,8.050541400909424,155.963713757,0.0,299.330889387,222.028391985,24.1291,111.838,67.0646539837,155.963,155.967588063,7.42033105225,0.349439913178,22,453.099318135,-164.364,85,0.289276,-164.653
