dLoss,ProcessExecTime,MeanKLBefore,AverageY,LossBefore,AbsLearnSignalOld,AverageAbsQYDiff,PolicyExecTime,Time,Perplexity,StdReturn,AverageAbsQ,AverageReturn,MeanKL,LossAfter,AbsLearnSignalNew,AverageQLoss,AverageAbsY,MinReturn,AveragePolicyStd,MaxReturn,EnvExecTime,Entropy,ExplainedVariance,Iteration,AverageDiscountedReturn,AverageQ,NumTrajs,AbsLearnSignal,ItrTime
0.0702248,0.06522130966186523,0.0,-0.74925180643,0.13521,0.713430126432,0.462931224725,0.6009132862091064,31.208874464035034,4982.22,65.6563618981,1.08074,-404.086321684,0.00991655,0.0649852,0.713588298049,0.37781,1.19018214081,-464.896399884,1.0,-319.04788412,1.1686792373657227,8.51363,2.68116640001e-11,0,-40.8514197199,-0.746254,5,0.713588298049,31.20885443687439
0.0674551,0.08703184127807617,0.0,-2.1176548178,1.28283,0.739142536963,0.583836564269,0.6296582221984863,64.21082830429077,5039.04,27.7070395244,2.43879,-357.947730533,0.0098971,1.21537,0.739022489864,0.595115,2.50692578655,-394.868509185,1.00189,-325.58008526,1.574094533920288,8.52497,0.363957014446,1,-20.4903103459,-2.11486,5,0.739022489864,32.850815773010254
0.0637619,0.08291983604431152,0.0,-3.48824330292,2.79541,0.736077408485,0.736413198184,0.6120991706848145,97.87507843971252,5014.64,33.1402724509,3.88078,-445.765769718,0.00991453,2.73165,0.73692534949,0.976264,3.9433998046,-501.15742235,1.00109,-408.137501139,1.5747528076171875,8.52012,-0.027847606262,2,-46.9949812623,-3.48498,5,0.73692534949,33.537761211395264
0.0541577,0.09733843803405762,0.0,-4.82287717488,4.36086,0.741887340979,0.862111259491,0.6941354274749756,131.6479001045227,5093.08,72.8597820964,5.27351,-417.409187284,0.00641449,4.3067,0.7425316019,1.39901,5.33807293392,-514.506363784,1.00369,-335.305509021,1.619349718093872,8.53564,0.125769651956,3,-37.2061231527,-4.81976,5,0.7425316019,33.640684843063354
0.0528669,0.09051918983459473,0.0,-5.98343064104,5.49481,0.735341252193,0.937672114017,0.6552128791809082,165.06657099723816,5066.14,60.0019833303,6.49083,-360.349214234,0.00648557,5.44194,0.734918984017,1.71622,6.55665102338,-440.946586146,1.0028,-256.022794009,1.6132309436798096,8.53033,0.18345428686,4,-28.7485945107,-5.9797,5,0.734918984017,33.289971351623535
0.0579686,0.09101676940917969,0.0,-7.06130921279,6.21853,0.691074043795,1.00620678316,0.6647086143493652,198.78120589256287,5040.97,35.9479375556,7.6205,-360.529694827,0.00652348,6.16056,0.692340200868,2.02433,7.68555305807,-412.008630919,1.00197,-328.634994009,1.6072351932525635,8.52535,0.191080936316,5,-25.1388690379,-7.05814,5,0.692340200868,33.58414816856384
0.0603614,0.09159421920776367,0.0,-7.8933826281,7.18124,0.734807856282,1.07829736538,0.6641278266906738,232.39711117744446,5041.65,59.0398802378,8.47119,-345.637865895,0.00644284,7.12088,0.734944666853,2.4034,8.5412690378,-442.038001173,1.002,-294.803449157,1.6121299266815186,8.52549,0.231398321886,6,-35.2199202622,-7.89013,5,0.734944666853,33.483943462371826
0.0696888,0.09315967559814453,0.0,-8.63278892412,8.16358,0.774864325359,1.0874386681,0.6536037921905518,265.96304869651794,5043.77,44.0923788813,9.21531,-358.598554858,0.00999708,8.09389,0.773017648851,2.49032,9.28348617601,-412.765524475,1.00206,-284.307180896,1.6161208152770996,8.52591,0.00371221639136,7,-31.0557279072,-8.63014,5,0.773017648851,33.44047236442566
0.0560122,0.09518814086914062,0.0,-9.18293006389,8.45465,0.727690758628,1.08187075375,0.7057895660400391,300.279091835022,5020.53,28.5822152778,9.77405,-359.842303348,0.00648072,8.39864,0.727772887835,2.52283,9.83871675638,-396.678516032,1.00128,-310.547802183,1.6311795711517334,8.52129,0.513006159316,8,-28.7305564136,-9.1803,5,0.727772887835,34.183959007263184
0.0613489,0.11021256446838379,0.0,-9.65616609226,8.81889,0.730244514752,1.06942684628,0.784264087677002,335.72785902023315,5040.92,85.1427675985,10.2886,-317.766277473,0.00645793,8.75754,0.729402120344,2.534,10.3512791997,-400.313325804,1.00196,-190.107684296,1.6905436515808105,8.52534,0.466829786974,9,-13.5122380585,-9.65428,5,0.729402120344,35.31817674636841
0.0720048,0.10576891899108887,0.0,-9.94988450534,7.4689,0.677063128399,1.14974410118,0.7202544212341309,370.5523180961609,5030.33,129.745534922,10.7026,-293.67369447,0.00650819,7.3969,0.676632785493,3.40474,10.7774328972,-490.963870758,1.00161,-98.3335361595,1.6534721851348877,8.52324,-2.56527593333,10,-27.0366069401,-9.94689,5,0.676632785493,34.69156813621521
0.0584879,0.10756182670593262,0.0,-10.3810001181,8.61348,0.7549272761,1.1091164417,0.7592134475708008,405.0502927303314,5014.96,44.056476092,11.1089,-304.229679568,0.00645159,8.55499,0.755927902338,2.86961,11.1778983062,-374.600307417,1.0011,-258.189954847,1.6940107345581055,8.52018,0.19546389371,11,-18.5971499344,-10.3794,5,0.755927902338,34.36583971977234
0.0561485,0.0921318531036377,0.0,-10.7295401014,8.99189,0.748251635803,1.10669455613,0.6733076572418213,439.40871500968933,5041.54,44.6470648693,11.445,-262.893636895,0.00653428,8.93574,0.747966755368,2.83906,11.5073397772,-344.662007347,1.00199,-209.32829574,1.6285879611968994,8.52547,0.181749896684,12,-19.7257079238,-10.7281,5,0.747966755368,34.22983193397522
0.0547352,0.1114964485168457,0.0,-11.0089111537,9.72298,0.78697163376,1.09224823579,0.8095829486846924,474.8159694671631,4988.19,48.3402198033,11.6924,-338.952793714,0.00642288,9.66825,0.785009908092,2.72626,11.7440315564,-380.167493383,1.00022,-270.583880084,1.7517967224121094,8.51483,-0.688038153051,13,-19.3698044179,-11.0074,5,0.785009908092,35.267934799194336
0.0511827,0.10586380958557129,0.0,-11.462841227,12.5609,0.730956271943,1.05370074642,0.8018083572387695,510.6942193508148,4962.2,28.524203818,12.0792,-333.090555085,0.00649405,12.5097,0.729790007486,2.531,12.1294372819,-382.622555368,0.999364,-301.193164827,1.7337000370025635,8.5096,0.50484266211,14,-22.0344611034,-11.4609,5,0.729790007486,35.744956254959106
