MaxReturn,AverageReturn,AbsLearnSignalNew,AverageDiscountedReturn,NumTrajs,AverageQ,Entropy,Time,AverageQLoss,LossBefore,MeanKLBefore,Iteration,PolicyExecTime,ExplainedVariance,EnvExecTime,LossAfter,AverageAbsQ,AverageAbsQYDiff,Perplexity,ProcessExecTime,AbsLearnSignalOld,AverageY,AverageAbsY,StdReturn,ItrTime,MinReturn,dLoss,MeanKL,AveragePolicyStd,AbsLearnSignal
260.416053138,118.091667792,0.837848016983,103.657524119,201,8.54436,24.122,64.29539132118225,26.9063,-3.15647,0.0,0,1.2007346153259277,6.96076529749e-12,8.07967209815979,-3.23428,9.51594,2.51722428089,2.99248e+10,0.16055870056152344,0.837677382165,8.59951038512,10.0915959223,38.4182256378,64.29538941383362,71.248054523,0.077817,0.00657065,1.0,0.837848016983
251.738427757,113.581832145,0.589478604701,100.303930524,209,25.482,24.1261,128.63503694534302,6.99897,-17.2359,0.0,1,1.1849331855773926,0.21983064749,8.094438314437866,-17.3557,25.4863,1.84337396632,3.00496e+10,0.14846229553222656,0.588642343686,25.5091466975,25.5094748275,36.2504213312,64.20123052597046,71.3083346646,0.119762,0.00869096,1.00025,0.589478604701
264.687270029,112.466473878,0.0669177617928,99.566166498,211,39.0043,24.1217,192.50755786895752,9.52859,-33.0849,0.0,2,1.1748638153076172,-2118.6820808,8.133463859558105,-33.1574,39.0212,2.11423762429,2.99182e+10,0.15182781219482422,0.066926918716,39.0241880484,39.0242664324,33.0910664753,63.75580167770386,74.7499693289,0.0725632,0.00254496,0.999988,0.0669177617928
262.715040105,119.60233622,0.208374730245,104.936935456,198,48.8397,24.1228,255.75944256782532,12.2589,-45.4491,0.0,3,1.1500751972198486,-13.5384152826,7.985881090164185,-45.5659,48.8606,2.45948111081,2.99516e+10,0.15004682540893555,0.208803157062,48.8527472467,48.8555033914,36.8686046451,63.13576149940491,72.4094877817,0.116848,0.00879406,1.00005,0.208374730245
266.223411867,117.207842182,0.242889702368,102.9845841,202,55.7044,24.1256,320.0768942832947,16.229,-53.7961,0.0,4,1.1409385204315186,-5.59540206856,7.974456548690796,-54.0033,55.7171,2.94057104557,3.00327e+10,0.15056538581848145,0.244075178497,55.716259524,55.71684602,38.2790419578,64.19042205810547,73.1795346161,0.207241,0.00968629,1.00021,0.242889702368
343.319008879,135.259339504,0.476715960718,116.224838782,177,61.4185,24.1253,384.77273058891296,23.5131,-61.9101,0.0,5,1.0788815021514893,-0.644119126091,7.7458531856536865,-62.1857,61.4292,3.56551344843,3.00248e+10,0.14197635650634766,0.47887701258,61.4307009094,61.4310242779,48.9629708736,64.57848858833313,76.2688737979,0.275593,0.0099743,1.0002,0.476715960718
284.877110276,140.551957792,0.124215942766,119.843611692,169,66.6345,24.1245,448.980859041214,30.8237,-67.7944,0.0,6,1.0917954444885254,-189.918404202,8.000379800796509,-68.1835,66.6485,4.09894189597,3.00011e+10,0.1434464454650879,0.124511001071,66.6488005908,66.6497339954,51.3433160068,64.08084416389465,76.0803583174,0.389137,0.00980525,1.00015,0.124215942766
363.698981661,157.543720595,0.609606988885,131.428725254,152,72.3399,24.1244,512.8242793083191,37.7761,-75.2611,0.0,7,1.0961103439331055,-0.0449291210515,8.114621639251709,-75.59,72.355,4.55894886976,2.99988e+10,0.14290499687194824,0.612143319669,72.3543906955,72.3554116441,62.6541447055,63.71806812286377,77.1829166425,0.328865,0.00642978,1.00015,0.609606988885
407.606161098,180.238535228,0.729439066317,146.389760785,133,78.6534,24.1249,577.3102509975433,45.983,-83.1233,0.0,8,1.0956871509552002,0.11442520936,8.133768796920776,-83.4774,78.6719,5.00966991811,3.00121e+10,0.14170026779174805,0.730549314801,78.6700854368,78.6728489072,73.6658544168,64.36504602432251,80.9446672836,0.354088,0.00642134,1.00017,0.729439066317
344.201669598,191.582755719,0.0871102195704,154.505729055,124,85.6859,24.1246,641.8359060287476,54.1697,-92.8736,0.0,9,1.0765199661254883,-438.645365863,8.067840814590454,-93.3935,85.7105,5.42397802692,3.00028e+10,0.13974523544311523,0.0871957628225,85.7016779426,85.7046170191,68.8378392974,64.40309381484985,76.3723786555,0.519936,0.0093966,1.00015,0.0871102195704
486.124375814,209.806587583,0.27848535876,165.088555771,112,93.9746,24.1242,706.7188355922699,64.5581,-102.82,0.0,10,1.1022610664367676,-4.79236646699,8.230145454406738,-103.216,94.0025,5.88174376508,2.99932e+10,0.13967013359069824,0.27980821344,93.9909187542,93.995041458,81.8640124824,64.75894713401794,74.7832076208,0.395973,0.00643617,1.00014,0.27848535876
478.20679585,235.462609536,0.135587497701,181.083166122,102,102.548,24.124,771.5483176708221,73.9374,-113.785,0.0,11,1.1122870445251465,-44.5296642489,8.359165668487549,-114.224,102.574,6.23964409341,2.99861e+10,0.14008188247680664,0.135596637882,102.56232807,102.566138704,85.7968909688,64.70569682121277,82.0822245053,0.438469,0.00641861,1.00012,0.135587497701
678.570241133,260.131456475,0.523280665129,192.922837316,92,112.452,24.1236,836.1747057437897,82.3155,-121.467,0.0,12,1.1245040893554688,-0.57534477507,8.504680395126343,-121.96,112.479,6.51951632492,2.99754e+10,0.13825774192810059,0.524477520057,112.466264352,112.468324737,113.582463145,64.50634551048279,85.7867787971,0.492378,0.00998914,1.0001,0.523280665129
764.078875078,274.847272138,0.122117051999,201.286500809,88,122.329,24.1235,900.1539301872253,91.2646,-134.462,0.0,13,1.1295990943908691,-324.684100688,8.614317417144775,-134.85,122.36,6.77107292755,2.99703e+10,0.13825654983520508,0.12219525254,122.345716721,122.348038834,116.14937982,63.85970640182495,85.5462546316,0.388306,0.00642929,1.00009,0.122117051999
533.373217483,282.40789797,0.170688013287,207.841771159,86,132.226,24.1239,964.7857406139374,97.8669,-146.485,0.0,14,1.1400203704833984,-71.4641616856,8.607550144195557,-146.914,132.26,6.95971147413,2.99845e+10,0.1377732753753662,0.170608460886,132.244862305,132.248676851,96.861507971,64.5028350353241,81.6502563679,0.428864,0.00990194,1.00012,0.170688013287
491.541066243,285.687523056,0.106534285558,210.819329553,84,141.089,24.1237,1028.963695526123,104.822,-149.643,0.0,15,1.1372394561767578,-273.78121314,8.740661859512329,-149.954,141.123,7.16470177585,2.99782e+10,0.14295458793640137,0.10656601496,141.106505526,141.109965389,84.2157947246,64.05786156654358,84.2043459779,0.31131,0.00641971,1.00011,0.106534285558
