AverageAbsY,ProcessExecTime,Entropy,AbsLearnSignalNew,Iteration,AverageQ,ExplainedVariance,LossBefore,MaxReturn,StdReturn,Perplexity,AverageAbsQ,LossAfter,ItrTime,AbsLearnSignal,AverageAbsQYDiff,AverageY,AverageQLoss,MeanKLBefore,dLoss,Time,EnvExecTime,MinReturn,AbsLearnSignalOld,PolicyExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,MeanKL,AveragePolicyStd
122.32373821,0.1470344066619873,24.1222,0.153748601855,13,122.302,-28.879203047,-141.575,615.420965315,88.0439638804,2.99333e+10,122.32,-141.901,57.06935143470764,0.153748601855,6.68504364871,122.320665861,86.6063,0.0,0.326096,770.6425640583038,8.150155067443848,94.5643562455,0.153501209224,1.130143165588379,212.647226592,287.435541945,87,0.00953838,1.00002
129.114226656,0.1478290557861328,24.1216,0.130082764966,14,129.094,-37.2808008234,-150.01,720.954440663,94.2954820988,2.99132e+10,129.113,-150.337,56.8127543926239,0.130082764966,6.80609788336,129.111197557,89.9494,0.0,0.326004,827.588663816452,8.203334331512451,81.1945864051,0.13010111438,1.1324033737182617,222.764370309,307.454961267,81,0.00973764,0.999978
135.27436375,0.14995098114013672,24.1221,0.218953643457,15,135.248,-11.2685884415,-153.279,590.176313119,82.1862094823,2.99278e+10,135.274,-153.583,55.15206527709961,0.218953643457,6.96754107227,135.268696833,94.6273,0.0,0.304291,882.8730044364929,8.38416075706482,86.4185006334,0.218631960305,1.152982234954834,219.199571127,298.194939602,83,0.00982304,1.00001
141.1230771,0.14614057540893555,24.1218,0.523335290061,16,141.096,-0.00697878055951,-160.592,580.416506079,88.9415880665,2.99205e+10,141.126,-160.804,55.056511878967285,0.523335290061,7.02771375373,141.115758902,96.0861,0.0,0.212112,938.05535197258,8.29750394821167,90.5263186235,0.522971959336,1.1112420558929443,227.504909065,314.78963473,79,0.00644438,0.999992
146.172815727,0.14975643157958984,24.1212,0.133891614291,17,146.149,-204.088919092,-160.709,582.396552732,75.2905742876,2.99026e+10,146.177,-160.989,54.33179783821106,0.133891614291,7.07394954059,146.168100198,97.6361,0.0,0.279984,992.5192639827728,8.245904207229614,165.92686313,0.133744608718,1.1133387088775635,215.976643046,291.568095954,85,0.00908051,0.999957
150.9725358,0.1503756046295166,24.1207,0.399890008627,18,150.947,-0.500728338293,-163.442,549.994658613,72.4956431187,2.98871e+10,150.97,-163.685,55.73544096946716,0.399890008627,7.12190657223,150.967567259,99.2602,0.0,0.242615,1048.39048910141,8.440390825271606,179.6003152,0.399736715121,1.1394188404083252,234.160936255,322.917180817,79,0.00995148,0.999926
155.008804809,0.14927387237548828,24.121,0.243436486112,19,154.975,-4.42021265999,-168.495,641.323012535,79.3956043341,2.98964e+10,155.002,-168.73,54.8170006275177,0.243436486112,7.16722628076,155.001407838,101.33,0.0,0.235809,1103.3515701293945,8.435728311538696,148.63721277,0.243253915367,1.11137056350708,229.097543732,315.313196867,79,0.00992284,0.999945
158.658613775,0.1486527919769287,24.1205,0.164647455941,20,158.63,-6.84147873604,-174.918,533.512480669,78.9759315855,2.98809e+10,158.659,-175.163,55.79321527481079,0.164647455941,7.13119314088,158.651595396,100.792,0.0,0.245239,1159.2793273925781,8.643373727798462,154.778073989,0.164490265052,1.1345467567443848,244.020954869,343.344906758,74,0.00975379,0.999914
161.831579688,0.1559736728668213,24.1204,0.685395431179,21,161.797,0.412621062326,-174.473,579.565247494,83.6518134629,2.98779e+10,161.831,-174.688,55.88290572166443,0.685395431179,7.23670127919,161.822141253,103.866,0.0,0.214645,1215.3035583496094,8.855201482772827,195.880681951,0.685390189492,1.1745216846466064,237.388917913,333.352287641,75,0.00991767,0.999908
164.569207419,0.14841365814208984,24.1195,0.570069630601,22,164.539,0.390292818147,-180.839,578.508903128,82.2842961591,2.98505e+10,164.57,-181.03,55.993757009506226,0.570069630601,7.29918160039,164.562578448,105.838,0.0,0.191559,1271.4416284561157,8.632630586624146,147.885659366,0.569821539648,1.1242411136627197,243.551658204,344.176364289,73,0.00939895,0.999854
166.651446184,0.14879655838012695,24.1222,0.540213623325,23,166.621,0.0449553283524,-182.93,661.435746974,97.9725392542,2.99329e+10,166.656,-183.132,55.82895040512085,0.540213623325,7.33713256083,166.644358263,107.157,0.0,0.201416,1327.4098839759827,8.670428991317749,203.622423448,0.539742783278,1.1120884418487549,242.910938364,346.326309119,71,0.00999539,1.00002
167.972977384,0.15052032470703125,24.1226,0.492818266345,24,167.94,-0.598895127524,-178.685,667.731340301,99.0657163941,2.99447e+10,167.977,-178.851,55.26691746711731,0.492818266345,7.41462587522,167.966215701,109.173,0.0,0.165161,1382.8198494911194,8.630178213119507,91.2130041491,0.4926305932,1.1221344470977783,231.317082358,325.610874357,75,0.00955674,1.00004
168.929073094,0.15286803245544434,24.1216,0.603733420717,25,168.898,0.0209264341033,-181.688,596.603149028,85.3601458381,2.99156e+10,168.93,-181.858,56.06955099105835,0.603733420717,7.36933978033,168.923726359,109.101,0.0,0.170685,1439.0276634693146,8.648672342300415,184.699145123,0.603611256727,1.1139607429504395,241.394988758,343.042968994,71,0.00982285,0.999982
169.672929214,0.14891576766967773,24.1199,0.598160326982,26,169.647,0.0384132593841,-176.206,679.234837884,88.5395702087,2.98647e+10,169.676,-176.365,55.69398736953735,0.598160326982,7.37072460548,169.669313817,109.421,0.0,0.158722,1494.8651475906372,8.747315168380737,161.960249689,0.597665283165,1.1404519081115723,239.576653207,340.800456152,71,0.00990422,0.999882
169.698412389,0.15183186531066895,24.1208,0.347222911154,27,169.668,-1.66027711245,-176.341,620.241111399,88.4271997268,2.98904e+10,169.696,-176.488,55.576507568359375,0.347222911154,7.39925833379,169.69505453,110.659,0.0,0.147293,1550.5798573493958,8.786158084869385,158.335698582,0.347103658965,1.155707836151123,227.966943315,318.725766654,75,0.00921501,0.999933
169.199782356,0.14986276626586914,24.1202,0.228046148995,28,169.172,-6.46719846551,-174.012,680.274822223,90.1669340759,2.98712e+10,169.203,-174.138,55.50827622413635,0.228046148995,7.32117329698,169.195601876,108.76,0.0,0.125626,1606.22802567482,8.631175756454468,174.111674749,0.227763272849,1.132279634475708,239.119075369,341.180852427,71,0.00722677,0.999895
169.135878783,0.15032744407653809,24.1209,0.655968889601,29,169.108,0.352929587661,-173.499,617.610486239,93.0299021418,2.9894e+10,169.14,-173.638,55.84205889701843,0.655968889601,7.24546603861,169.129898305,105.878,0.0,0.13913,1662.2115364074707,8.739771842956543,123.089378663,0.655529054583,1.1421546936035156,245.322926555,353.567753442,69,0.00995355,0.999941
168.51623847,0.14725542068481445,24.1211,0.608627615139,30,168.486,-0.18184307216,-168.575,720.021829152,88.0855064275,2.9899e+10,168.522,-168.705,55.974074363708496,0.608627615139,7.18930833063,168.509352733,104.753,0.0,0.130127,1718.3217542171478,8.66466999053955,231.56856511,0.608404045245,1.1290593147277832,243.712763025,350.508995158,68,0.00982539,0.999951
167.959850913,0.15020012855529785,24.1223,0.705260314578,31,167.933,0.449568301775,-172.794,959.355767419,111.909750817,2.99357e+10,167.964,-172.901,55.603593826293945,0.705260314578,7.07360148908,167.954819262,101.584,0.0,0.106018,1774.0678956508636,8.685452938079834,128.422673935,0.704845525105,1.1446330547332764,236.908262955,339.69535943,71,0.00641662,1.00002
167.437272789,0.14715266227722168,24.1233,0.696180453426,32,167.41,0.341034605545,-165.773,684.010805623,77.9459329336,2.99644e+10,167.441,-165.912,55.701432943344116,0.696180453426,7.01886036579,167.432430824,100.68,0.0,0.138824,1829.9069697856903,8.83432936668396,186.777674719,0.696261721199,1.1449966430664062,238.202693318,337.038083287,71,0.00989941,1.00008
167.038823009,0.15116310119628906,24.1234,0.440864449298,33,167.014,-0.514990102715,-172.071,789.622334326,109.150433759,2.99685e+10,167.046,-172.199,56.04732704162598,0.440864449298,6.95274073769,167.034599117,99.0894,0.0,0.127609,1886.095573425293,8.809398174285889,168.956393391,0.440959800399,1.1224689483642578,246.051448928,357.104203111,68,0.00955402,1.00009
166.511805713,0.14833641052246094,24.1239,0.335751863888,34,166.488,-1.60755445461,-169.361,720.175483871,96.6956768552,2.99845e+10,166.514,-169.479,57.71372199058533,0.335751863888,6.87320358258,166.507865009,97.3438,0.0,0.118469,1943.951221704483,8.882969379425049,167.259514153,0.335607768085,1.144310474395752,248.453844194,359.593047534,68,0.00820661,1.00012
166.452743186,0.15070676803588867,24.1219,0.313041989422,35,166.431,-3.58414128216,-172.206,715.684284965,96.8442082254,2.99237e+10,166.456,-172.379,57.37640070915222,0.313041989422,6.79106142623,166.450228262,95.9392,0.0,0.172607,2001.470894575119,8.96066689491272,222.345964313,0.31288742993,1.1552565097808838,248.346183261,360.739982624,66,0.00950447,0.999999
166.228574038,0.1520988941192627,24.1223,0.132010553616,36,166.205,-17.1763924001,-173.25,649.67351659,91.2879701863,2.99344e+10,166.231,-173.366,58.66003608703613,0.132010553616,6.66432409104,166.224269889,92.4242,0.0,0.11557,2060.2713072299957,9.087915897369385,122.380701897,0.132026313701,1.1606709957122803,251.85295235,366.353014372,66,0.009057,1.00002
165.932630396,0.14806890487670898,24.1205,0.158015152536,37,165.909,-282.013828476,-169.176,640.062734906,87.8695453624,2.98808e+10,165.939,-169.326,57.72118878364563,0.158015152536,6.6195695121,165.928395031,91.3944,0.0,0.149857,2118.132792234421,8.919114351272583,133.799792955,0.158003622642,1.1473925113677979,250.967530318,364.114292798,66,0.00942366,0.999915
165.972644971,0.14922165870666504,24.1206,0.333726719874,38,165.949,-3.29731001668,-171.705,1004.00718925,116.456135275,2.9884e+10,165.979,-171.845,57.84854197502136,0.333726719874,6.5687300994,165.967631387,90.1823,0.0,0.140228,2176.123613834381,9.031497716903687,139.768598973,0.333544704253,1.1669237613677979,244.236592977,352.122573459,70,0.009905,0.999921
166.163280127,0.1502685546875,24.1196,0.714555547099,39,166.138,0.402906435431,-171.928,570.195312026,84.7121404955,2.98534e+10,166.167,-172.064,57.57798671722412,0.714555547099,6.53363485696,166.157421292,89.7269,0.0,0.135971,2233.8432908058167,9.022051334381104,177.086247814,0.714370140778,1.154252529144287,251.517952285,364.453527052,66,0.00983697,0.999861
166.262092974,0.15478086471557617,24.1201,0.234669691499,40,166.236,-5.00730111213,-167.642,573.840220408,83.3796644731,2.98697e+10,166.273,-167.737,58.229339599609375,0.234669691499,6.56771353839,166.255460992,91.1196,0.0,0.0953674,2292.2140550613403,9.212116956710815,192.781094104,0.234503571381,1.1652631759643555,244.135488048,349.831460527,68,0.00698843,0.999893
167.003229185,0.1519489288330078,24.1207,0.609300687407,41,166.978,0.175834830201,-178.903,643.78624796,94.5797613909,2.98872e+10,167.022,-179.039,58.24789023399353,0.609300687407,6.48854714439,166.993848644,89.906,0.0,0.136627,2350.598696231842,9.438451766967773,143.741205415,0.609143930835,1.1913659572601318,257.751288139,378.660955177,64,0.00981419,0.999928
167.477383103,0.1519927978515625,24.1233,0.166890747009,42,167.452,-26.5702109768,-175.262,696.887627388,85.1426477568,2.99637e+10,167.495,-175.396,58.75441884994507,0.166890747009,6.43720777335,167.468865815,87.6544,0.0,0.133789,2409.499383211136,9.112770080566406,229.374968319,0.166806869053,1.1570656299591064,251.494334554,364.11288562,66,0.00654459,1.00008
