MinReturn,PolicyExecTime,AverageQLoss,AbsLearnSignalOld,AverageDiscountedReturn,ProcessExecTime,LossAfter,AverageQ,AbsLearnSignalNew,StdReturn,NumTrajs,AverageY,ExplainedVariance,AverageAbsQ,Perplexity,LossBefore,Entropy,EnvExecTime,AveragePolicyStd,dLoss,Iteration,MaxReturn,AverageAbsQYDiff,Time,MeanKL,AverageAbsY,ItrTime,AverageReturn,MeanKLBefore,AbsLearnSignal
89.8423726478,1.0592291355133057,83.6324,0.551887221651,211.546187011,0.13572239875793457,-136.101,117.463,0.552812519185,94.8032802434,83,117.480384909,-0.522827853426,117.485,2.99558e+10,-135.747,24.123,8.304556846618652,1.00006,0.354248,13,518.188987519,6.50877170505,749.3268592357635,0.00999256,117.484206878,54.63826394081116,288.883875987,0.0,0.552812519185
97.8142491655,1.0539436340332031,90.2829,0.0751614885522,226.575054482,0.14005184173583984,-145.864,126.76,0.0752726862865,71.7370577134,79,126.776469562,-332.428060546,126.788,2.99558e+10,-145.551,24.123,8.290583372116089,1.00006,0.313568,14,503.136532069,6.7186437202,802.8050389289856,0.00951036,126.782681588,53.352094650268555,310.977709927,0.0,0.0752726862865
120.55438743,1.0621886253356934,98.4045,0.160394589515,237.230159553,0.1392366886138916,-155.283,135.408,0.160477145862,97.391609822,73,135.430610651,-237.191445791,135.444,2.99675e+10,-154.952,24.1234,8.582056522369385,1.00008,0.330505,15,572.105433643,6.95987603147,857.9103574752808,0.0099549,135.438244617,54.97589111328125,336.348893952,0.0,0.160477145862
82.208623879,1.0783956050872803,101.599,0.622235133739,237.723507996,0.1373591423034668,-164.051,144.253,0.622056883042,108.101597354,72,144.272356724,0.0668827315432,144.29,2.997e+10,-163.788,24.1235,8.558412790298462,1.00009,0.263535,16,692.645227981,7.04915874076,913.2141222953796,0.00998663,144.280716231,55.17831039428711,339.356183576,0.0,0.622056883042
231.585681263,1.0553252696990967,106.55,0.0775105535577,238.880822951,0.13670659065246582,-166.301,151.828,0.0775144630572,63.0686556448,73,151.850023191,-770.358411772,151.869,2.99931e+10,-166.067,24.1242,8.620499849319458,1.00013,0.234619,17,536.01288938,7.17277957406,967.0806427001953,0.00892337,151.855941278,53.74091696739197,333.857036486,0.0,0.0775144630572
100.485586911,1.0509610176086426,108.821,0.634935390488,233.466528258,0.1371593475341797,-170.881,158.825,0.636086107071,84.4096001966,75,158.840699031,0.583767905619,158.873,2.99942e+10,-170.692,24.1243,8.639869928359985,1.00014,0.189346,18,705.603749887,7.22408889888,1021.9264540672302,0.0099595,158.851552691,54.72541308403015,326.438163367,0.0,0.636086107071
97.3170169039,1.060079574584961,111.357,0.632022738237,230.162990078,0.13765406608581543,-174.997,164.275,0.632432929605,90.0722931792,76,164.290675194,0.285937210645,164.324,2.9963e+10,-174.806,24.1232,8.714956760406494,1.00008,0.191254,19,778.487272952,7.32193293089,1077.350759267807,0.00995386,164.300455055,55.303322315216064,320.50841782,0.0,0.632432929605
96.6082482267,1.0599145889282227,114.772,0.499324467604,232.156851121,0.13820266723632812,-176.833,168.892,0.498463944377,82.8668949556,76,168.908660454,0.161600934438,168.94,2.98844e+10,-176.684,24.1206,8.805732727050781,0.999921,0.148727,20,571.937474168,7.41506678488,1131.8023693561554,0.00821809,168.919961978,54.33166241645813,323.570817269,0.0,0.498463944377
195.222805774,1.047386884689331,116.19,0.686043314086,236.957007957,0.1347506046295166,-176.336,172.603,0.688535009642,86.0133783423,74,172.618856391,0.479638789279,172.652,2.98925e+10,-176.181,24.1209,8.779601812362671,0.999937,0.155136,21,659.584745359,7.46159342266,1187.2168231010437,0.00995007,172.630105479,55.29074740409851,333.343487345,0.0,0.688535009642
232.6345633,1.0824940204620361,113.513,0.633348624823,233.50191618,0.13811254501342773,-172.439,174.219,0.634834865751,60.0783140209,75,174.234967782,0.470750007334,174.266,2.99338e+10,-172.298,24.1223,9.070736646652222,1.00002,0.141296,22,481.633456005,7.38714841139,1242.8050427436829,0.00990648,174.244515119,55.46486139297485,323.435469161,0.0,0.634834865751
