ExplainedVariance,AverageY,Perplexity,LossAfter,ItrTime,AverageAbsQ,ProcessExecTime,AverageAbsQYDiff,EnvExecTime,StdReturn,AveragePolicyStd,MaxReturn,PolicyExecTime,dLoss,MeanKL,MeanKLBefore,AbsLearnSignal,AbsLearnSignalOld,Iteration,LossBefore,AverageAbsY,AverageDiscountedReturn,AverageQLoss,Entropy,AbsLearnSignalNew,AverageQ,NumTrajs,AverageReturn,MinReturn,Time
7.68773933402e-12,10.6845557354,2.99248e+10,-19.2183,53.66594052314758,10.724,0.15325665473937988,1.81440039072,7.448255777359009,34.8184307402,1.0,239.370582222,1.095226526260376,0.0745831,0.00640929,0.0,0.835564082672,0.835529133782,0,-19.1438,10.9455416995,100.110908552,11.603,24.122,0.835564082672,10.6299,213,113.162385974,71.6563704562,53.665958404541016
-280.694030436,27.4896713509,2.9901e+10,-35.8766,54.458141565322876,27.4707,0.14217543601989746,1.7160603787,7.431524991989136,43.3092501807,0.999953,257.28532912,1.0733249187469482,0.0878372,0.0080127,0.0,0.114956818307,0.114943355128,1,-35.7887,27.4905330556,105.198840336,6.31145,24.1212,0.114956818307,27.4651,199,120.31671896,71.5419340058,108.27163124084473
-1.09860275469,41.5253501712,2.99146e+10,-47.642,54.42389750480652,41.5297,0.14680767059326172,2.17462149699,7.642345428466797,41.5036537451,0.999981,281.918424565,1.0860838890075684,0.181904,0.00904053,0.0,0.44954494786,0.449568962457,2,-47.4601,41.5260493072,105.45053066,10.0203,24.1216,0.44954494786,41.5092,199,120.480559696,71.5405614367,162.8304648399353
-133.087657931,51.8593354603,2.98321e+10,-56.8164,53.981311559677124,51.8728,0.14659380912780762,2.65816021728,7.575155973434448,47.3932852392,0.999818,345.021331126,1.098045825958252,0.16412,0.00592572,0.0,0.130558459026,0.130667045363,3,-56.6523,51.8618554618,108.419146293,14.3907,24.1189,0.130558459026,51.8495,191,124.82556942,70.3407761816,216.94419288635254
-0.0236101931458,59.6344855909,2.985e+10,-65.0666,54.89793372154236,59.6363,0.14427876472473145,3.27350917239,7.662438631057739,57.8807055861,0.999854,354.290918269,1.0851752758026123,0.273254,0.00958844,0.0,0.597786077905,0.598301185027,4,-64.7933,59.6351525521,119.079724688,20.3565,24.1194,0.597786077905,59.6222,171,139.912545505,70.931324328,271.9716110229492
-1.59314199288,66.4071585898,2.98382e+10,-74.4516,54.680357456207275,66.4065,0.14222931861877441,4.00969419017,7.616101503372192,61.1135790314,0.99983,364.411788794,1.0530555248260498,0.263145,0.00641468,0.0,0.436188578124,0.438116119652,5,-74.1885,66.4088845285,129.300124698,29.8746,24.1191,0.436188578124,66.3931,156,154.069280941,77.1304645203,326.78262424468994
-27.6635763758,72.7865565441,2.98217e+10,-80.5255,53.24943828582764,72.7842,0.14164328575134277,4.61519299413,7.743400812149048,74.3870689278,0.999798,380.764200582,1.0719101428985596,0.290092,0.00639749,0.0,0.180977362203,0.181791192379,6,-80.2355,72.787423445,135.929037107,39.0763,24.1185,0.180977362203,72.769,146,165.01323483,76.7922819,380.1617064476013
-20.3106319961,79.7895712791,2.9843e+10,-92.5965,53.866273641586304,79.7866,0.14053082466125488,5.19077656704,7.71244740486145,82.3613133731,0.99984,417.5053266,1.0761394500732422,0.324081,0.00637656,0.0,0.222410445464,0.223185691356,7,-92.2725,79.7906869071,148.906171654,49.7218,24.1192,0.222410445464,79.7712,132,184.577317239,77.2857180289,434.15397453308105
-0.63675777333,86.6949820834,2.9831e+10,-96.1357,53.40882992744446,86.6959,0.14088726043701172,5.6001089447,7.840305805206299,72.4314635203,0.999816,369.449952538,1.0864062309265137,0.384499,0.00971712,0.0,0.517036505672,0.519626011986,8,-95.7512,86.6969325422,149.5434105,58.0859,24.1188,0.517036505672,86.677,131,184.336059266,76.7751377953,487.69515204429626
-197.868634946,93.7667009076,2.98162e+10,-105.826,53.565104961395264,93.7635,0.13938331604003906,5.96137347157,7.836503028869629,77.8970880587,0.999787,439.97709736,1.0848872661590576,0.381927,0.00944385,0.0,0.136127396056,0.13626938373,9,-105.444,93.7683088052,173.385576323,67.1631,24.1183,0.136127396056,93.7443,110,221.151780071,82.3171326113,541.387787103653
-2.71541091154,101.665036489,2.9812e+10,-115.155,55.0997428894043,101.665,0.13962054252624512,6.21107920197,7.946750164031982,76.0813584884,0.999778,385.367642972,1.0849342346191406,0.393623,0.00994178,0.0,0.32639392655,0.327077297438,10,-114.762,101.667554255,189.09352021,73.6366,24.1182,0.32639392655,101.645,101,245.607442326,81.6959504904,596.6294946670532
-0.284937881199,109.456662367,2.9808e+10,-127.006,53.85696578025818,109.465,0.13857579231262207,6.39645024451,7.983511686325073,87.4187023829,0.999771,438.211271322,1.0915565490722656,0.328712,0.00642778,0.0,0.553433680219,0.55228566866,11,-126.678,109.461263746,188.90391999,78.9905,24.118,0.553433680219,109.436,100,247.243770872,84.8824143701,650.6159777641296
-39.1639269692,117.378276134,2.98024e+10,-133.773,55.110129833221436,117.387,0.1389312744140625,6.58899175453,8.163799047470093,80.135157154,0.99976,436.611726585,1.0813031196594238,0.4048,0.00881352,0.0,0.156731227718,0.157245888735,12,-133.368,117.382483151,185.25207118,85.3275,24.1179,0.156731227718,117.36,104,239.901279638,80.3082833348,705.8537087440491
