EnvExecTime,AverageDiscountedReturn,AverageQLoss,ProcessExecTime,LossAfter,MinReturn,AbsLearnSignalOld,Time,AverageY,Iteration,Perplexity,AverageQ,AbsLearnSignal,AbsLearnSignalNew,StdReturn,Entropy,PolicyExecTime,AverageAbsQ,MeanKL,MeanKLBefore,ItrTime,NumTrajs,dLoss,AveragePolicyStd,AverageAbsY,MaxReturn,ExplainedVariance,LossBefore,AverageReturn,AverageAbsQYDiff
7.511353969573975,99.9569790721,13.0259,0.16111159324645996,-10.1653,71.7558973556,0.834620083586,64.62877702713013,12.0768689094,0,2.99248e+10,12.0138,0.834660083834,0.834660083834,34.6906964113,24.122,1.0463523864746094,12.0887,0.00651101,0.0,64.62875080108643,215,0.0747919,1.0,12.2296791813,252.076581379,7.63533680725e-12,-10.0906,112.869692739,1.93864171996
7.989189624786377,100.984403957,5.9964,0.1482076644897461,-20.5513,72.1608128406,0.668078766892,130.27118277549744,28.0256892168,1,2.99827e+10,27.9974,0.668006180262,0.668006180262,36.2162017723,24.1239,1.1170897483825684,28.0022,0.00922781,0.0,65.49441480636597,214,0.106726,1.00011,28.0257878068,313.37764263,0.397660565601,-20.4446,114.294071163,1.71730034459
7.88320255279541,104.652090951,8.33876,0.14859557151794434,-35.6811,71.7672202351,0.377489671037,195.03056597709656,41.1749502553,2,3.00665e+10,41.1574,0.377128705189,0.377128705189,36.9975085062,24.1267,1.1219186782836914,41.1704,0.00708826,0.0,64.62373161315918,202,0.158504,1.00028,41.1750042896,252.670881172,-1.22624617854,-35.5226,119.140313186,1.9659789545
7.88573431968689,109.669976526,11.6123,0.1461622714996338,-46.5579,74.8691347311,0.0819242133519,259.24375343322754,50.8774464544,3,3.00106e+10,50.8602,0.0815345841767,0.0815345841767,41.2049428851,24.1248,1.0960235595703125,50.8723,0.00934162,0.0,64.09301495552063,193,0.113194,1.00017,50.8782439066,263.47824964,-67.809915995,-46.4447,125.804668117,2.45986061948
7.874868869781494,109.068868358,18.496,0.14791488647460938,-55.5889,76.1039365428,0.259717799511,324.5003459453583,58.4452304748,4,3.00111e+10,58.4276,0.258332203634,0.258332203634,42.4917097102,24.1248,1.0969769954681396,58.4387,0.00839809,0.0,65.12599778175354,192,0.229076,1.00017,58.4454225408,270.872012097,-5.0617052145,-55.3599,125.234019755,3.1689581272
7.948140382766724,116.09277035,27.5962,0.14629220962524414,-64.4841,75.0870348827,0.693103727044,389.9413866996765,64.7623275388,5,2.99681e+10,64.7445,0.691649834619,0.691649834619,50.6565712756,24.1234,1.0896916389465332,64.7544,0.00643039,0.0,65.31315660476685,179,0.272278,1.00009,64.762610056,307.50296177,0.128656022713,-64.2119,135.145956426,3.89226940465
8.156112909317017,128.192215876,38.5194,0.14570021629333496,-72.9329,76.0277273502,0.480324495312,455.0097236633301,71.0152799199,6,2.9957e+10,70.9962,0.476908959954,0.476908959954,69.1995380404,24.123,1.1197056770324707,71.0087,0.00643851,0.0,64.94149470329285,159,0.308601,1.00006,71.0157618251,350.179414259,-0.74142139463,-72.6243,153.522110232,4.58662437954
8.127111673355103,133.979757812,51.8766,0.1438431739807129,-81.3001,77.0078159507,0.707749132799,519.5500519275665,77.9790395773,7,2.99648e+10,77.9592,0.704455518478,0.704455518478,75.9024893886,24.1233,1.1236646175384521,77.9759,0.00998982,0.0,64.41380500793457,150,0.447151,1.00008,77.9798410128,427.096387624,0.0897777950476,-80.8529,162.306092707,5.2771977503
8.450708627700806,154.986904136,67.6207,0.14276480674743652,-96.3296,81.6896263802,0.715366264309,584.1773316860199,86.2812711299,8,2.9942e+10,86.2616,0.711568922447,0.711568922447,82.2684689764,24.1225,1.161076545715332,86.2844,0.00999592,0.0,64.49509119987488,125,0.50853,1.00004,86.285866409,430.733124902,-0.0430104868981,-95.8211,193.672541029,5.97925550953
8.483378887176514,171.280446763,82.6734,0.1429741382598877,-105.983,76.8363623766,0.0760817931932,649.717577457428,95.951106799,9,2.99363e+10,95.9335,0.0760568441597,0.0760568441597,98.1152864032,24.1223,1.2102670669555664,95.9657,0.00968233,0.0,65.4172158241272,110,0.484489,1.00002,95.9564035721,494.760668801,-793.358470798,-105.498,221.219977753,6.51664868729
8.721769571304321,179.647557204,96.8835,0.1431741714477539,-117.733,79.1115018406,0.266922404555,715.3061218261719,105.89774,10,2.99142e+10,105.881,0.266610904948,0.266610904948,96.5126532801,24.1216,1.2009434700012207,105.923,0.00973282,0.0,65.46521091461182,104,0.460846,0.99998,105.906113189,479.652458674,-6.55584953979,-117.272,234.083729113,6.92661975126
8.819788217544556,189.991480774,108.474,0.1426703929901123,-130.311,80.9409792892,0.630377648713,780.7016172409058,115.398944049,11,2.99115e+10,115.381,0.629812636972,0.629812636972,99.2739952728,24.1215,1.2117919921875,115.434,0.00642816,0.0,65.28492903709412,97,0.3535,0.999975,115.411715687,516.395756325,-0.0763479559337,-129.957,251.499660187,7.19741797639
8.712189435958862,205.579151832,118.478,0.14984393119812012,-137.28,96.1072930263,0.472831774354,845.7375662326813,124.701527729,12,2.99155e+10,124.686,0.473912941626,0.473912941626,87.9028188019,24.1216,1.200960397720337,124.747,0.00640527,0.0,64.91833019256592,89,0.353287,0.999983,124.717607373,502.826514797,-1.08490135403,-136.927,275.511374662,7.44148871191
