AveragePolicyStd,LossAfter,ProcessExecTime,AbsLearnSignal,NumTrajs,AbsLearnSignalNew,PolicyExecTime,EnvExecTime,AverageQ,Time,ExplainedVariance,AverageAbsQYDiff,MeanKL,MinReturn,ItrTime,dLoss,Entropy,Perplexity,LossBefore,AverageY,MeanKLBefore,AbsLearnSignalOld,AverageAbsY,AverageAbsQ,StdReturn,MaxReturn,AverageReturn,Iteration,AverageQLoss,AverageDiscountedReturn
1.00049,-122.167,0.14378070831298828,0.501345264819,101,0.501345264819,1.0541441440582275,7.668744802474976,109.63,596.5330452919006,-1.35576682284,6.4253585326,0.0099237,81.3383297519,54.66751766204834,0.392982,24.1302,3.01736e+10,-121.774,109.649662347,0.0,0.502978855566,109.653755684,109.667,80.3359991704,428.096802612,240.169495947,10,83.3919,184.827619108
1.00047,-128.001,0.14454889297485352,0.256880937985,90,0.256880937985,1.0865156650543213,7.894948720932007,117.728,650.5874025821686,-4.34232751803,6.59252397038,0.0098331,77.2618636637,53.93427753448486,0.358994,24.1299,3.0165e+10,-127.642,117.747317382,0.0,0.257347306081,117.752467846,117.768,97.8003268018,558.739170082,270.569958629,11,88.7258,201.004240668
1.00048,-139.088,0.14845752716064453,0.506908781635,93,0.506908781635,1.0548677444458008,7.901540994644165,126.124,705.2921533584595,-0.468041441478,6.77155921257,0.00994263,78.1462024227,54.58335256576538,0.299271,24.13,3.01675e+10,-138.789,126.146217338,0.0,0.507467693551,126.151130925,126.163,96.52211604,566.386188827,262.601483794,12,95.2817,197.049604491
1.0005,-147.291,0.14440608024597168,0.685002928978,87,0.685002928978,1.0774743556976318,8.052022457122803,133.366,759.2330605983734,0.199826805452,6.87209351663,0.00642565,96.5616987978,53.81461429595947,0.224823,24.1304,3.01792e+10,-147.066,133.385906646,0.0,0.684794369464,133.390358152,133.405,85.5015343293,591.265457768,282.77737329,13,99.4608,210.118770652
1.00051,-151.109,0.14728474617004395,0.189515469648,88,0.189515469648,1.0542566776275635,8.048966407775879,140.021,814.0679745674133,-10.168075296,6.89474139001,0.00856952,81.9475742849,54.71289420127869,0.241882,24.1307,3.01868e+10,-150.867,140.042626579,0.0,0.189827619496,140.047385284,140.062,91.8444355701,754.728950233,279.781962413,14,101.659,207.927784508
1.00051,-154.162,0.14514446258544922,0.470964529832,85,0.470964529832,1.1242139339447021,8.215221166610718,145.793,869.7914438247681,-0.932810756851,6.83413823517,0.00959246,81.816145413,55.595381021499634,0.215317,24.1305,3.01821e+10,-153.947,145.81001483,0.0,0.471945024007,145.814619114,145.838,86.5654312908,509.799410658,292.541937792,15,100.38,215.558794781
1.00053,-157.033,0.1468675136566162,0.349639485082,81,0.349639485082,1.0906305313110352,8.228659391403198,150.672,924.927728176117,-2.30508577993,6.81449691173,0.00997313,99.0347304672,55.0170521736145,0.19194,24.1309,3.01944e+10,-156.841,150.69412965,0.0,0.350220033857,150.699466369,150.715,112.323095537,851.471528394,308.462549575,16,100.149,222.688679219
1.00038,-156.318,0.14174103736877441,0.15222838238,77,0.15222838238,1.060305118560791,8.198431491851807,154.058,979.2045519351959,-69.6734350685,6.72546902395,0.00899815,98.1321361922,54.154308795928955,0.156067,24.1285,3.01203e+10,-156.162,154.07830138,0.0,0.152175727047,154.084030222,154.103,89.9379662833,697.393526875,327.387552961,17,98.2713,234.683037383
1.00021,-157.57,0.14415311813354492,0.419219601657,81,0.419219601657,1.0652477741241455,8.089848279953003,156.735,1033.9640047550201,-0.866482878022,6.69166751505,0.0099948,182.707764838,54.636552810668945,0.175385,24.1254,3.00293e+10,-157.395,156.753805217,0.0,0.419705731367,156.759705229,156.781,67.5626563168,546.24840063,307.451836764,18,97.631,225.45091637
1.00043,-157.786,0.14899826049804688,0.616462050148,85,0.616462050148,1.0911290645599365,8.398452281951904,158.658,1088.8583612442017,0.349730338549,6.66950973307,0.00993768,84.6411366123,54.763822078704834,0.172256,24.1292,3.01438e+10,-157.613,158.673856761,0.0,0.615243410541,158.678629478,158.701,88.0636288079,679.062522343,301.775148797,19,98.5548,221.46648685
