NumTrajs,LossBefore,Perplexity,Time,AverageQ,AbsLearnSignal,MinReturn,StdReturn,PolicyExecTime,AveragePolicyStd,AverageReturn,AverageAbsQ,Iteration,ExplainedVariance,AverageQLoss,AverageAbsQYDiff,ProcessExecTime,AbsLearnSignalOld,AverageAbsY,EnvExecTime,MaxReturn,AverageY,AverageDiscountedReturn,MeanKL,LossAfter,Entropy,MeanKLBefore,AbsLearnSignalNew,dLoss,ItrTime
238,8.21408,2.99248e+10,52.09506392478943,8.36099,0.827562031456,73.7655467441,30.3250760801,1.0272164344787598,1.0,101.035058826,9.06419,0,9.09650132996e-12,23.0289,2.21185664022,0.14939141273498535,0.827565983179,9.47837683819,6.919709920883179,268.803673307,8.40889746665,90.6775807679,0.00678042,8.13436,24.122,0.0,0.827562031456,0.0797186,52.09505248069763
228,-17.5816,2.99565e+10,104.8075819015503,25.9373,0.39904744977,74.8504764436,33.8078647732,1.0300135612487793,1.00006,105.232740026,25.942,1,-0.737767026351,6.28091,1.71229144203,0.13588690757751465,0.399027162261,25.9677352802,6.921767950057983,296.249655229,25.9676836262,93.8618400012,0.00869309,-17.8967,24.123,0.0,0.39904744977,0.315119,52.58005475997925
227,-33.9894,2.99621e+10,157.38679695129395,39.0895,0.562401099473,73.6777166308,32.4106875004,0.9847590923309326,1.00007,105.939960027,39.1012,2,0.182196662273,8.69529,2.01683303572,0.13453412055969238,0.562935188376,39.1095677458,6.6858439445495605,231.463588499,39.1095440718,94.529385847,0.00882991,-34.1185,24.1232,0.0,0.562401099473,0.129124,52.46378421783447
222,-43.9996,2.98906e+10,209.96655130386353,48.2655,0.629284836593,75.8361544771,35.5826709413,0.9326891899108887,0.999934,107.909869035,48.2805,3,0.277505371847,12.0782,2.44415704301,0.12931609153747559,0.629970250415,48.2849776992,6.445329666137695,242.248705218,48.2835619988,95.8970653116,0.00963137,-44.1353,24.1208,0.0,0.629284836593,0.13567,52.46461725234985
225,-51.8614,2.98039e+10,263.15810465812683,54.0366,0.363872154725,74.6700686007,35.8016574621,0.9446067810058594,0.999763,106.909508242,54.0456,4,-1.12312776216,17.6852,3.03434601174,0.1349315643310547,0.365618962427,54.0535774923,6.570641040802002,257.768725442,54.0535215042,95.1128214918,0.00980739,-52.0504,24.1179,0.0,0.363872154725,0.188927,53.05869817733765
200,-60.3506,2.97276e+10,315.52641201019287,58.9293,0.233001049465,75.5033361902,48.1291477036,0.961104154586792,0.999613,121.126349303,58.9391,5,-9.65643979973,27.4345,3.82392642767,0.13399338722229004,0.234446229336,58.94756568,6.873087406158447,314.59915635,58.9475257356,105.630899933,0.0094759,-60.633,24.1153,0.0,0.233001049465,0.28231,52.231865644454956
186,-67.7079,2.97721e+10,367.8114914894104,63.601,0.241352693779,75.4764489401,50.1847984573,0.9637587070465088,0.999701,129.74188516,63.6133,6,-9.00314634586,37.8921,4.49837708047,0.1338791847229004,0.24260932869,63.6204277441,6.891967535018921,270.397692278,63.619666082,112.035640931,0.00995887,-68.139,24.1168,0.0,0.241352693779,0.431084,52.15644192695618
166,-74.3166,2.97976e+10,420.5216476917267,69.4062,0.697400541476,69.8659073062,60.6657112393,0.9754753112792969,0.999751,146.427907325,69.4208,7,0.330668080167,48.2315,5.06473710638,0.13287925720214844,0.699199244405,69.4299661986,7.038885116577148,368.867061009,69.4278828418,123.819601192,0.00640516,-74.6971,24.1177,0.0,0.697400541476,0.380554,52.58091926574707
160,-86.6824,2.97882e+10,473.09409952163696,76.5171,0.300947911486,79.5160252105,60.6030090676,0.9852681159973145,0.999732,153.463223903,76.5361,8,-4.83838581333,58.1485,5.52427464436,0.13613080978393555,0.303523480085,76.5384080537,7.290294647216797,344.023667586,76.5359518333,129.138142471,0.00998294,-87.1836,24.1174,0.0,0.300947911486,0.501244,52.44209933280945
144,-93.9484,2.97799e+10,525.5553150177002,84.1654,0.745076716902,77.1867269394,70.2597205368,1.0173122882843018,0.999716,172.085015341,84.1838,9,0.336202876863,68.4673,5.9407663286,0.13787388801574707,0.747118924759,84.1855642016,7.666420221328735,404.460227664,84.1838356428,141.72404654,0.00644364,-94.337,24.1171,0.0,0.745076716902,0.388634,52.332887172698975
