AverageAbsQ,AverageDiscountedReturn,MaxReturn,AbsLearnSignalOld,AverageAbsQYDiff,Time,AbsLearnSignalNew,dLoss,AverageY,AverageQLoss,Perplexity,ExplainedVariance,Iteration,NumTrajs,MeanKL,LossAfter,ProcessExecTime,MinReturn,AverageReturn,PolicyExecTime,AveragePolicyStd,LossBefore,Entropy,EnvExecTime,AverageAbsY,MeanKLBefore,StdReturn,ItrTime,AverageQ,AbsLearnSignal
1.22521,-60.4194494001,-319.117509029,0.675478215849,0.473583708893,32.24039006233215,0.675950358571,0.0536273,-1.0760237552,0.409078,4982.22,3.2482350143e-11,0,5,0.00643886,1.67559,0.0850224494934082,-471.194403151,-409.397272157,0.6756196022033691,1.0,1.72921,8.51363,1.338503360748291,1.31548082944,0.0,52.457077343,32.2403838634491,-1.07406,0.675950358571
2.518,-37.8570743456,-353.276926433,0.73896469509,0.60624587675,65.23256707191467,0.739048082297,0.0644621,-2.30825055937,0.626487,4986.68,-0.0713908678975,1,5,0.00997851,1.327,0.08399343490600586,-479.489395318,-404.785607444,0.6324045658111572,1.00015,1.39146,8.51453,1.563523530960083,2.58964885703,0.0,49.5397774658,32.857799768447876,-2.30764,0.739048082297
3.99145,-44.6345130534,-319.260839939,0.784632170937,0.803013973727,98.91237759590149,0.78470406326,0.0567179,-3.58901053838,1.11595,4949.47,0.0490716299854,2,5,0.00643293,2.42083,0.09386515617370605,-553.242072644,-382.088279227,0.6821208000183105,0.998905,2.47755,8.50704,1.5733754634857178,4.07366956693,0.0,89.1817934887,33.552963733673096,-3.58774,0.78470406326
5.10242,-31.4478966487,-249.504310484,0.801217697293,0.942480115021,132.2526969909668,0.80104524017,0.0583355,-4.66191617026,1.56342,4920.73,0.000974031608971,3,5,0.00642864,3.47945,0.08829569816589355,-380.692974679,-342.68160266,0.6793825626373291,0.997935,3.53779,8.50121,1.560166597366333,5.18738679694,0.0,48.2325026213,33.217339277267456,-4.66012,0.80104524017
5.9883,-33.5101253876,-267.243604744,0.725794266165,1.03214229571,165.574476480484,0.724519794813,0.0709143,-5.50786767432,1.94387,4926.56,0.0900298239026,4,5,0.0099277,4.48546,0.09217643737792969,-424.85336804,-334.825602636,0.6353945732116699,0.998133,4.55638,8.5024,1.5578908920288086,6.07183309384,0.0,51.7495979506,33.19771480560303,-5.5043,0.724519794813
6.61122,-14.0582885048,-230.924064148,0.759806802221,1.09897170322,198.76954698562622,0.759771566678,0.0600233,-6.10446674034,2.26941,4935.27,-0.548527836199,5,5,0.00643154,5.33633,0.08793067932128906,-403.737620116,-318.326140262,0.6568732261657715,0.998429,5.39636,8.50416,1.5778403282165527,6.69629378522,0.0,65.1641942434,33.076032400131226,-6.10117,0.759771566678
7.07527,-18.8723310276,-223.635195647,0.769471002312,1.13926868993,232.2656123638153,0.769149213881,0.0606232,-6.52828079282,2.50545,4911.25,0.0548550046477,6,5,0.00645491,5.40186,0.08468461036682129,-397.312531088,-287.525369484,0.6266944408416748,0.997617,5.46248,8.49928,1.5660037994384766,7.15928737699,0.0,58.0317320313,33.37009882926941,-6.5253,0.769149213881
7.57665,-42.4026534602,-268.005552992,0.80487775294,1.18076096099,265.7626702785492,0.804365685764,0.0592957,-6.99604594181,2.74362,4884.8,-0.941101054963,7,5,0.00643138,6.4594,0.09871363639831543,-475.811398466,-361.699855472,0.6848366260528564,0.996719,6.51869,8.49388,1.589956283569336,7.66167152509,0.0,70.7480181543,33.37371611595154,-6.9921,0.804365685764
7.92454,-20.4070773604,-242.205440653,0.73819474396,1.1825240797,300.44413137435913,0.737473098811,0.0735497,-7.33252001544,2.80071,4882.15,0.0897701505451,8,5,0.00995167,6.77755,0.10000300407409668,-417.777931845,-318.058063041,0.7187519073486328,0.996627,6.8511,8.49334,1.627009630203247,8.00744676537,0.0,80.9213529921,34.557408571243286,-7.32778,0.737473098811
8.14968,1.55709942853,-167.916994696,0.740407222251,1.17390811075,335.2787997722626,0.741057582963,0.0583954,-7.49715232227,2.78188,4829.53,0.0861423435755,9,5,0.00645517,6.14404,0.10531330108642578,-293.319631883,-221.89172261,0.8217127323150635,0.994835,6.20243,8.4825,1.6758155822753906,8.23047054383,0.0,49.8384296394,34.69832372665405,-7.49399,0.741057582963
8.26532,-23.6738167402,-155.196236838,0.772975898962,1.22609515735,369.88278007507324,0.774657194296,0.0617709,-7.510551232,3.04079,4820.9,-0.0613371195539,10,5,0.00649235,5.72253,0.09724974632263184,-376.06950914,-259.732884913,0.7101762294769287,0.994537,5.7843,8.48072,1.622685432434082,8.35155399042,0.0,75.4250586636,34.4779486656189,-7.50715,0.774657194296
8.51211,-25.0947594013,-244.774773087,0.780103554818,1.23753737371,403.7010385990143,0.779195065751,0.0606923,-7.66393104358,3.1084,4779.89,0.121625751794,11,5,0.00648389,7.39927,0.09536385536193848,-432.254289233,-313.087872773,0.7065176963806152,0.993124,7.45997,8.47217,1.631068468093872,8.59709943586,0.0,69.85613748,33.68991160392761,-7.66134,0.779195065751
