NumTrajs,Entropy,EnvExecTime,MeanKLBefore,LossBefore,LossAfter,AverageDiscountedReturn,AveragePolicyStd,AbsLearnSignal,ExplainedVariance,AverageAbsQYDiff,AbsLearnSignalNew,AverageAbsQ,MeanKL,MaxReturn,PolicyExecTime,AverageQLoss,dLoss,Perplexity,Iteration,AverageQ,AbsLearnSignalOld,AverageAbsY,Time,AverageReturn,StdReturn,MinReturn,ItrTime,AverageY,ProcessExecTime
5,8.51363,1.0064013004302979,0.0,2.312,2.24491,-33.1211621018,1.0,0.736907415661,2.05123695807e-11,0.442619686798,0.736907415661,1.61448,0.00993613,-242.194377298,0.542072057723999,0.33995,0.067086,4982.22,0,-1.521,0.737175515631,1.67425502821,31.82823657989502,-445.222582628,129.322248975,-634.459671228,31.828224658966064,-1.52405370961,0.07958841323852539
5,8.51787,1.3231439590454102,0.0,2.09319,2.02738,-43.7429970307,1.00071,0.745491400995,0.0937053213618,0.62713914719,0.745491400995,3.18596,0.00987302,-337.23585906,0.6037373542785645,0.67218,0.0658121,5003.37,1,-2.95751,0.745826718477,3.24873012749,64.3059356212616,-476.194761586,113.111165754,-644.659584731,32.33468317985535,-2.95902399537,0.10315489768981934
5,8.51853,1.307610273361206,0.0,2.08521,2.01501,-60.2620783186,1.00082,0.771757085958,0.0217742052826,0.913872941811,0.771757085958,4.47874,0.00997623,-351.915722006,0.6089961528778076,1.70278,0.0702012,5006.67,2,-3.82317,0.771351674828,4.57771931403,96.28326439857483,-430.423041978,72.1333696015,-553.789473771,31.841070652008057,-3.82263364548,0.09027457237243652
5,8.52094,1.3286864757537842,0.0,4.4274,4.35315,-37.0195102226,1.00122,0.731866610935,-0.141265528041,0.933779241005,0.731866610935,5.65231,0.00992682,-331.135190766,0.638164758682251,1.5587,0.074254,5018.75,3,-5.20825,0.731139634786,5.71746567566,127.46264290809631,-425.316535844,94.3280145144,-606.065152535,31.0504469871521,-5.20864718599,0.09315633773803711
5,8.52388,1.349576711654663,0.0,4.95789,4.89146,-29.119505241,1.00171,0.76120734394,0.250395993835,1.04941184842,0.76120734394,6.64003,0.00641116,-254.005598645,0.6134536266326904,2.03728,0.0664334,5033.55,4,-6.23305,0.761297650144,6.71633474034,158.6041510105133,-375.943929415,115.474140493,-576.683048491,31.008217573165894,-6.23344264064,0.0872642993927002
5,8.5228,1.382986307144165,0.0,5.63869,5.55913,-27.8294704524,1.00153,0.771333143062,0.122260832484,1.15017365622,0.771333143062,7.4039,0.00992269,-299.748656944,0.6881277561187744,2.51231,0.0795612,5028.12,5,-6.9244,0.770615615854,7.48925579715,190.15597820281982,-342.520896683,37.8335781439,-397.993796428,31.423301219940186,-6.92379526799,0.10046195983886719
5,8.52193,1.3458328247070312,0.0,5.97254,5.91063,-33.6977990648,1.00139,0.76596013073,0.0466720190367,1.19074016626,0.76596013073,7.91691,0.00645425,-282.761577129,0.610917329788208,2.73429,0.0619125,5023.76,6,-7.41856,0.765716075314,8.00140827173,221.3757905960083,-344.085902412,31.9499251082,-369.634071152,31.08821702003479,-7.41801941758,0.08865857124328613
5,8.51611,1.3538377285003662,0.0,5.67598,5.60645,-17.2670670362,1.00042,0.755931175582,0.075132581277,1.25397557147,0.755931175582,8.22486,0.00645224,-170.934248125,0.6206948757171631,3.07049,0.0695291,4994.57,7,-7.59849,0.755643548503,8.31648544071,252.649329662323,-266.615253619,99.5300715343,-455.557777861,31.147027015686035,-7.59736771684,0.08664727210998535
5,8.51495,1.3622541427612305,0.0,6.16033,6.09585,-21.6673365075,1.00022,0.781611676914,0.112435824712,1.2711686409,0.781611676914,8.45126,0.00649625,-228.968962816,0.6081476211547852,3.20268,0.0644813,4988.81,8,-7.69698,0.784063860353,8.54830577171,283.3609366416931,-276.070946433,32.7980681872,-305.453792739,30.58474636077881,-7.69636033236,0.08837580680847168
5,8.5116,1.366560697555542,0.0,7.27894,7.22109,-25.2791091455,0.999666,0.784508222931,0.354033332139,1.25734560479,0.784508222931,8.71757,0.00644602,-236.989664899,0.6047587394714355,3.14675,0.0578547,4972.12,9,-7.88769,0.786097685449,8.80869369076,315.1505079269409,-313.444220121,68.0267330222,-413.762732454,31.657639265060425,-7.88675820785,0.08623790740966797
5,8.50677,1.4323499202728271,0.0,6.29409,6.23583,-31.2917483387,0.998862,0.760630691744,0.414887392873,1.25081192213,0.760630691744,8.84429,0.00644026,-200.519251502,0.7051258087158203,3.13561,0.0582604,4948.17,10,-7.90544,0.760134468535,8.93394573128,347.26021361351013,-274.336274643,64.8002433531,-382.227549609,31.961605548858643,-7.90433818208,0.1034860610961914
5,8.50586,1.3575365543365479,0.0,7.61614,7.54694,-16.5145406806,0.998711,0.772849172337,0.270144588513,1.20638846339,0.772849172337,9.00124,0.00989374,-229.793929974,0.5769987106323242,2.92152,0.0691991,4943.65,11,-8.03116,0.771889155921,9.08404977745,378.00171995162964,-286.710229409,34.910061717,-318.747295387,30.61443066596985,-8.03086396583,0.08595013618469238
5,8.49524,1.3782157897949219,0.0,4.04808,3.97776,-17.1435612078,0.996944,0.784353530666,0.209472788186,1.1916576978,0.784353530666,8.85621,0.00990505,-148.923824877,0.577399492263794,2.84715,0.0703137,4891.43,12,-7.79343,0.784732805853,8.9402197251,409.6458854675293,-217.617355998,48.8987956238,-293.671827661,31.515673637390137,-7.79342645356,0.08430957794189453
