AverageDiscountedReturn,PolicyExecTime,ProcessExecTime,dLoss,MeanKLBefore,EnvExecTime,ItrTime,NumTrajs,AverageReturn,Iteration,MeanKL,LossAfter,Entropy,AveragePolicyStd,Perplexity,ExplainedVariance,Time,AbsLearnSignal,MaxReturn,LossBefore,StdReturn,MinReturn
-18.2179738299,0.8362810611724854,0.10361218452453613,0.0496227,0.0,1.705016851425171,3.5955255031585693,5,-410.453513924,30,0.00645938,-0.0496227,8.50761,0.999022,4952.33,0.184112342956,111.6828224658966,0.752632848299,-348.861340883,2.47955e-09,68.1072400295,-533.178088486
-41.7888867805,0.8405883312225342,0.10291600227355957,0.061884,0.0,1.6891343593597412,3.600674629211426,5,-406.045034111,31,0.00993037,-0.061884,8.50361,0.998362,4932.54,0.0383118766127,115.28876280784607,0.777713793941,-348.889817601,-7.62939e-10,42.7697882331,-464.976264686
-33.512712546,0.8775873184204102,0.10514497756958008,0.0612487,0.0,1.7327656745910645,3.6290762424468994,5,-374.026574572,32,0.00996448,-0.0612487,8.49976,0.997721,4913.6,0.400879021193,118.92358827590942,0.74887958756,-269.669589695,7.62939e-10,74.8057151585,-477.792392929
-21.3549141804,0.8583996295928955,0.1020359992980957,0.0472087,0.0,1.7089953422546387,3.7304117679595947,5,-339.963359543,33,0.00641368,-0.0472087,8.49794,0.997423,4904.66,0.403497751099,122.76540088653564,0.727825377983,-203.256141195,-4.59671e-08,100.552827949,-468.962028179
-29.7399711694,0.9094407558441162,0.10721182823181152,0.0586658,0.0,1.866168737411499,3.8114593029022217,5,-322.314764921,34,0.00999686,-0.0586658,8.4931,0.996621,4880.95,0.0555521612766,126.58041214942932,0.765293065404,-214.554096505,7.62939e-10,89.9329699196,-458.153221374
-41.9709425749,0.7796602249145508,0.10244274139404297,0.0657987,0.0,1.6468420028686523,3.5175509452819824,5,-390.37975062,35,0.00987068,-0.0657987,8.49424,0.996815,4886.53,0.0609859258132,130.1023247241974,0.777851128898,-217.13030538,4.76837e-09,103.531407905,-490.059012629
-30.2213935224,0.7656641006469727,0.09816598892211914,0.0619826,0.0,1.6421523094177246,3.478938341140747,5,-351.051725235,36,0.00990381,-0.0619826,8.49238,0.996516,4877.48,0.147686537293,133.68994617462158,0.743118671313,-271.806388346,3.05176e-09,55.1921200185,-422.304557835
-22.6573197629,0.7976088523864746,0.10265731811523438,0.0528494,0.0,1.6829252243041992,3.5707919597625732,5,-343.088986677,37,0.00640791,-0.0528494,8.49477,0.996911,4889.11,0.402364426196,137.2649142742157,0.751533879377,-282.530461912,-2.02179e-08,55.4406913405,-438.027923947
-29.9041806349,0.7800700664520264,0.08750271797180176,0.049296,0.0,1.6805007457733154,3.5410330295562744,5,-375.651252237,38,0.00642261,-0.0492961,8.49321,0.996662,4881.51,0.301291620505,140.81163930892944,0.751390114508,-324.788945772,-3.7384e-08,36.6973032901,-424.768835907
-29.5991461782,0.7876191139221191,0.09644842147827148,0.0467644,0.0,1.6599442958831787,3.5166893005371094,5,-349.294885504,39,0.00642279,-0.0467644,8.49136,0.99636,4872.47,0.200074557952,144.43320393562317,0.741446412619,-335.40812567,2.76566e-08,11.3035205053,-361.079630885
-26.4281951528,0.8037431240081787,0.10108494758605957,0.0613396,0.0,1.69523286819458,3.6149985790252686,5,-356.703071323,40,0.00988565,-0.0613396,8.49136,0.996354,4872.47,0.0410745894525,148.05305194854736,0.734149285619,-267.558232342,5.84126e-09,58.3960777568,-440.232589883
-22.5822439581,0.7752342224121094,0.0901942253112793,0.0611979,0.0,1.6695716381072998,3.5389389991760254,5,-354.433885044,41,0.00995977,-0.0611979,8.49526,0.997012,4891.54,0.202785657145,151.5975363254547,0.733039375976,-255.235006277,2.78473e-08,56.1858930307,-429.110349191
-25.5586261075,0.7891056537628174,0.09966897964477539,0.0501953,0.0,1.6811161041259766,3.5737216472625732,5,-377.159544486,42,0.00642096,-0.0501953,8.49712,0.997322,4900.62,0.316526898892,155.27780485153198,0.693215196566,-333.89017075,6.67572e-09,21.9497205325,-393.13921411
-38.4531532087,0.7901394367218018,0.09183454513549805,0.0594561,0.0,1.685851812362671,3.569692611694336,5,-413.553915748,43,0.00986772,-0.0594561,8.49073,0.996267,4869.42,0.184560836381,158.85232663154602,0.747438162951,-367.761696402,4.76837e-10,26.4271824854,-443.97518684
-26.0080527066,0.799302339553833,0.09349536895751953,0.0635071,0.0,1.6819324493408203,3.5975775718688965,5,-312.232680609,44,0.00996332,-0.0635071,8.49379,0.99678,4884.35,-0.280145876883,162.45403146743774,0.761617573323,-202.727035102,-2.74658e-08,59.5407116948,-368.172240169
-20.4513786868,0.8614110946655273,0.10835433006286621,0.0649835,0.0,1.7069711685180664,3.6519479751586914,5,-302.094777447,45,0.00990955,-0.0649835,8.48951,0.99607,4863.48,0.221884461341,166.21965765953064,0.759882713613,-197.106697019,3.85284e-08,76.0877432937,-411.336183347
-17.7126460825,0.842512845993042,0.10098838806152344,0.0632835,0.0,1.7239995002746582,3.703246831893921,5,-331.108612724,46,0.00994628,-0.0632835,8.49129,0.996375,4872.13,0.360147802744,169.92876648902893,0.748143833048,-228.293245657,3.15666e-08,76.405166298,-460.381166289
-16.8795357646,0.8427684307098389,0.09996819496154785,0.0607805,0.0,1.676480770111084,3.637892007827759,5,-322.285001852,47,0.00997441,-0.0607805,8.49771,0.997436,4903.5,0.0443470818858,173.571298122406,0.712695818091,-189.912324516,3.8147e-10,91.3944855833,-444.549524827
-10.4074561631,0.8729183673858643,0.10851287841796875,0.0506107,0.0,1.6697156429290771,3.621544122695923,5,-270.385504558,48,0.00645844,-0.0506106,8.4908,0.996306,4869.76,-0.512020284703,177.30334520339966,0.778271835376,-196.905018128,3.05176e-09,75.0208284186,-405.797575945
-18.4968540393,0.8482229709625244,0.09688830375671387,0.0596361,0.0,1.6869359016418457,3.6124932765960693,5,-355.576016764,49,0.00998085,-0.0596361,8.48703,0.995683,4851.44,-0.0715543164266,180.92154121398926,0.736838292057,-315.842737354,1.31607e-08,24.4545434969,-391.530076034
-18.4215731834,0.852501630783081,0.09789490699768066,0.0494535,0.0,1.7037379741668701,3.6597747802734375,5,-237.715293421,50,0.00647467,-0.0494535,8.48288,0.995006,4831.34,0.141983697408,184.5847237110138,0.751044515569,-136.174018322,4.00543e-09,68.9762955553,-340.207133818
-16.32114132,0.9015531539916992,0.1124579906463623,0.050149,0.0,1.7350382804870605,3.7753376960754395,5,-249.119077437,51,0.00645124,-0.0501491,8.48146,0.994757,4824.49,-0.676350773836,188.47131633758545,0.746954448016,-33.8908447805,-5.53131e-08,120.945603715,-402.713882609
-11.6312997821,0.8539249897003174,0.10549259185791016,0.0626443,0.0,1.7178847789764404,3.677450180053711,5,-306.098416624,52,0.00991571,-0.0626443,8.48251,0.994926,4829.54,0.368805571787,192.15255331993103,0.756922627842,-261.982602831,-3.43323e-09,27.7177147405,-348.115351947
-13.3708874016,0.8698222637176514,0.10167098045349121,0.0597571,0.0,1.7133054733276367,3.7031328678131104,5,-255.394437049,53,0.00987663,-0.0597571,8.47873,0.994306,4811.34,0.154236205737,195.85908484458923,0.754969481406,-190.018391541,9.44138e-09,39.7709292675,-296.646916672
-20.6568224843,0.8453288078308105,0.09983968734741211,0.0539773,0.0,1.6907250881195068,3.6572299003601074,5,-322.048441595,54,0.00644223,-0.0539773,8.47944,0.994403,4814.76,0.284885332536,199.61430740356445,0.742988124406,-148.835100035,1.45912e-08,107.021262397,-454.260552669
-24.5228569625,0.8722925186157227,0.09858560562133789,0.0490855,0.0,1.7191081047058105,3.6781418323516846,5,-347.169305093,55,0.00641134,-0.0490854,8.47901,0.994347,4812.69,-0.311621440857,203.29586172103882,0.785347441572,-212.979591929,2.70844e-08,82.7421691663,-438.720047982
-18.8276494871,0.8460872173309326,0.10131978988647461,0.0608458,0.0,1.7097077369689941,3.6332929134368896,5,-281.173660735,56,0.00993066,-0.0608458,8.47509,0.993695,4793.86,0.0949439754598,206.93346428871155,0.741926359309,-215.29669375,9.72748e-09,53.6887877247,-336.68044507
-31.0632525156,0.8294293880462646,0.10231280326843262,0.0613846,0.0,1.6940369606018066,3.6467857360839844,5,-357.820483771,57,0.00989864,-0.0613846,8.47773,0.994137,4806.51,-0.236645481808,210.67861032485962,0.774048363664,-310.565969664,-2.43664e-08,33.5371901583,-414.688781387
-21.4289565779,0.8443088531494141,0.10259842872619629,0.0627442,0.0,1.6924529075622559,3.629744529724121,5,-334.918503351,58,0.0098929,-0.0627442,8.47283,0.993323,4783.01,0.347395579611,214.31359314918518,0.72961784791,-204.694997253,-3.8147e-09,69.2294711642,-407.014589481
-32.0297260564,0.8561227321624756,0.09960079193115234,0.0619242,0.0,1.7006967067718506,3.618769645690918,5,-376.30262168,59,0.0098977,-0.0619242,8.46728,0.99241,4756.56,0.319447587753,217.93785119056702,0.744777146393,-240.691808022,-2.19345e-08,84.9425774154,-483.271851524
-18.8140182303,0.8677229881286621,0.10293102264404297,0.0624083,0.0,1.7115767002105713,3.6570496559143066,5,-271.502827898,60,0.00999789,-0.0624083,8.4747,0.993636,4791.99,0.356301592485,221.7066900730133,0.767617286443,1.15714749332,1.92165e-08,147.338786813,-427.993959046
-19.8639520265,0.8889384269714355,0.10575151443481445,0.0611456,0.0,1.7131431102752686,3.7398855686187744,5,-290.034716837,61,0.00992331,-0.0611456,8.4707,0.992986,4772.86,0.214742441251,225.451557636261,0.79375529614,-162.001187405,-1.46866e-08,95.2381849215,-407.699975648
-23.6434669386,0.9070308208465576,0.11070442199707031,0.0491085,0.0,1.7174391746520996,3.6936352252960205,5,-292.557957914,62,0.00640829,-0.0491085,8.46202,0.991526,4731.6,0.0516952938004,229.15077137947083,0.756909638899,-261.562673055,-2.67029e-09,37.6454800847,-351.06122359
-8.08475223065,0.8971493244171143,0.10183501243591309,0.0583414,0.0,1.7173779010772705,3.680893659591675,5,-290.635311731,63,0.00992137,-0.0583414,8.45801,0.990865,4712.67,0.0680161728544,232.95235562324524,0.729478578979,-145.699044521,-8.39233e-09,72.793156154,-334.973376199
-9.36954105752,0.8971097469329834,0.10796427726745605,0.0509305,0.0,1.7148191928863525,3.677313804626465,5,-268.864371584,64,0.00642874,-0.0509305,8.45273,0.989993,4687.85,0.162952669125,236.6378538608551,0.75936781173,-136.006364849,-1.62125e-09,75.6781223207,-348.220377052
-16.465956557,0.8965353965759277,0.10512256622314453,0.0582692,0.0,1.728945016860962,3.668926239013672,5,-348.368938473,65,0.00985611,-0.0582692,8.45139,0.989764,4681.55,0.0669342832446,240.31015539169312,0.711178308845,-256.437059834,2.11716e-08,58.36995026,-423.04494403
-21.2244822998,0.8975648880004883,0.10630369186401367,0.0653236,0.0,1.7090275287628174,3.6654272079467773,5,-337.902970294,66,0.00998234,-0.0653236,8.44739,0.989124,4662.89,0.313912992924,244.0784728527069,0.749364301526,-246.447083541,1.67847e-08,54.2883312398,-395.673761927
-11.8409129384,0.9284090995788574,0.10629510879516602,0.0609502,0.0,1.759427547454834,3.7550482749938965,5,-206.001763036,67,0.00992076,-0.0609502,8.44414,0.988598,4647.75,0.250184387252,247.839129447937,0.748536262157,42.2425910179,1.54495e-08,156.620605873,-364.468124418
-29.2035959589,0.8945367336273193,0.10128259658813477,0.0630294,0.0,1.7223472595214844,3.6502387523651123,5,-306.796376268,68,0.00989625,-0.0630294,8.44467,0.988695,4650.23,0.380294493016,251.49514961242676,0.756616522397,-105.364518509,3.14713e-09,107.391734499,-400.985890721
-19.0240947032,0.8887786865234375,0.10449433326721191,0.0489436,0.0,1.726567029953003,3.6846940517425537,5,-304.973278275,69,0.00642902,-0.0489435,8.44282,0.9884,4641.61,0.0518256370369,255.3048915863037,0.71794536529,-90.4344398776,3.94821e-08,125.595532353,-431.97639768
-5.01001601769,0.8926510810852051,0.10514092445373535,0.0651253,0.0,1.6981234550476074,3.6114213466644287,5,-297.491497652,70,0.00999974,-0.0651253,8.43892,0.987771,4623.55,0.406866772165,258.92136335372925,0.76147369706,-216.299865409,3.50952e-08,47.5278288053,-342.741736819
-30.5660370264,0.8880307674407959,0.10776758193969727,0.0480003,0.0,1.72959566116333,3.6549715995788574,5,-308.092996311,71,0.00642623,-0.0480003,8.44123,0.988147,4634.26,0.297490057868,262.58056116104126,0.7272046756,-169.879096805,1.5831e-08,99.5651920441,-412.085045236
-20.8654145899,0.8934791088104248,0.10500454902648926,0.0614885,0.0,1.737860918045044,3.6474623680114746,5,-321.449724352,72,0.00986393,-0.0614884,8.43201,0.986617,4591.71,-1.41496509698,266.33003544807434,0.785105476932,-230.098316813,1.04713e-07,60.8373897297,-416.653216658
-1.82674641612,0.9023528099060059,0.10137486457824707,0.063258,0.0,1.7427339553833008,3.6533708572387695,5,-209.045889546,73,0.00996953,-0.063258,8.43641,0.987341,4611.99,0.330055876719,269.987336397171,0.757222761933,-16.7093236694,2.32697e-08,140.497423381,-361.692516659
-20.9360716236,0.8652141094207764,0.1061258316040039,0.0578267,0.0,1.724395751953125,3.6322715282440186,5,-226.385261828,74,0.00994556,-0.0578266,8.4327,0.986763,4594.9,0.0130659222003,273.62420988082886,0.776099303423,-141.95895177,3.43323e-08,89.2835782034,-364.524985826
-11.4094509531,0.8785555362701416,0.10446739196777344,0.061575,0.0,1.712681531906128,3.63628888130188,5,-290.42177168,75,0.00996115,-0.061575,8.42899,0.986145,4577.88,-0.0353098672455,277.3672947883606,0.789078766395,-247.565750988,-8.39233e-09,35.7307585045,-348.185101337
-19.3468673729,0.8686051368713379,0.09979605674743652,0.067073,0.0,1.7037289142608643,3.5964152812957764,5,-260.130540042,76,0.00987262,-0.067073,8.42897,0.986126,4577.8,0.307742951961,280.9679789543152,0.687273172438,-82.1151375813,2.05994e-08,104.336090806,-386.34298397
-14.6224027875,0.8601968288421631,0.09866666793823242,0.0619407,0.0,1.7147431373596191,3.6177098751068115,5,-235.38410278,77,0.00991262,-0.0619407,8.43287,0.986782,4595.67,-5.04907563055,284.5899200439453,0.795493741591,-97.0768466529,5.41687e-08,98.0792300599,-390.799894668
-18.9996650532,0.8279275894165039,0.09729313850402832,0.0506662,0.0,1.6683893203735352,3.5305676460266113,5,-329.971504217,78,0.00644517,-0.0506663,8.43007,0.986332,4582.8,0.175811304009,288.23878931999207,0.744873879775,-239.676223389,-3.31879e-08,67.0675830417,-433.468931545
-33.1785078423,0.840308666229248,0.09501194953918457,0.059621,0.0,1.700143575668335,3.556105852127075,5,-325.530150808,79,0.00994512,-0.059621,8.4278,0.985963,4572.42,0.187796455002,291.80053782463074,0.76909877382,-224.585564762,-4.08173e-08,72.3172187564,-420.846183351
-42.8344336536,0.8520519733428955,0.09630370140075684,0.0574441,0.0,1.696352243423462,3.5711708068847656,5,-371.339966008,80,0.00996723,-0.0574441,8.41785,0.984331,4527.14,-0.107372533561,295.3764054775238,0.695540305584,-240.351315386,-1.95026e-08,89.5702295499,-508.052205314
-27.2139922987,0.8741557598114014,0.10206413269042969,0.0627998,0.0,1.702014684677124,3.6038029193878174,5,-247.640896179,81,0.0099275,-0.0627998,8.41601,0.984042,4518.84,0.0473588863078,299.0858314037323,0.785321371075,-177.312295583,5.14984e-09,58.8840721435,-340.415676411
-22.6283233996,0.8784432411193848,0.09997010231018066,0.0586077,0.0,1.7209534645080566,3.61918568611145,5,-260.716422996,82,0.00990286,-0.0586077,8.41805,0.984381,4528.08,0.251520923807,302.70965003967285,0.79373913746,-226.471896124,2.09808e-09,22.2201502534,-285.560918525
-36.4841482989,0.8967924118041992,0.1038973331451416,0.0657837,0.0,1.7146551609039307,3.673809051513672,5,-319.68974239,83,0.00994734,-0.0657838,8.4052,0.982285,4470.26,-0.456432609315,306.3888850212097,0.796654255401,-260.410531893,-4.17709e-08,45.3007043262,-389.043229912
-10.9871936346,0.9051010608673096,0.10962820053100586,0.0497971,0.0,1.7137045860290527,3.661257743835449,5,-280.768680636,84,0.00645685,-0.0497971,8.40629,0.982464,4475.14,0.28237195581,310.1596782207489,0.767955623994,-114.736591148,-1.90735e-10,94.8046909354,-372.91244898
-3.4638351205,0.877845287322998,0.10307550430297852,0.063569,0.0,1.7078771591186523,3.601032257080078,5,-229.010387793,85,0.00996348,-0.063569,8.40292,0.981918,4460.05,0.641450187913,313.76566672325134,0.757892251371,-115.622299544,-3.01361e-08,93.7545114469,-356.42307164
-15.0838925206,0.8784050941467285,0.09702491760253906,0.0488546,0.0,1.7104401588439941,3.6177945137023926,5,-289.905983437,86,0.00642622,-0.0488546,8.39573,0.980745,4428.14,0.451449035695,317.3880853652954,0.761244231691,-157.603481335,5.53131e-09,80.1172880701,-382.646528817
-15.0051449295,0.8615391254425049,0.10147213935852051,0.0595622,0.0,1.737008810043335,3.6004536151885986,5,-206.858738684,87,0.00983333,-0.0595623,8.39122,0.980039,4408.19,-2.33126415242,321.10201954841614,0.744659963359,-84.9792621746,-2.4271e-08,98.2572969152,-337.470379723
-15.6258784244,0.8703751564025879,0.09981369972229004,0.0494466,0.0,1.70086669921875,3.592625379562378,5,-278.992066681,88,0.00641101,-0.0494466,8.39279,0.980299,4415.13,0.244815589355,324.698096036911,0.75070380187,-164.23317719,-2.38419e-08,89.3674876532,-384.39346052
-18.8512160638,0.8726613521575928,0.09863877296447754,0.063015,0.0,1.7443351745605469,3.6432135105133057,5,-167.115545671,89,0.00993875,-0.063015,8.38837,0.97959,4395.64,-0.19774307524,328.34585881233215,0.76694493892,-101.275447421,-1.92642e-08,64.9660973151,-291.417342877
-24.3681203097,0.878838300704956,0.10811066627502441,0.0511437,0.0,1.709345817565918,3.653388261795044,5,-227.827724299,90,0.00648815,-0.0511437,8.3853,0.979108,4382.18,0.24380446431,332.1056797504425,0.786661121616,-99.0759158918,9.53674e-10,118.791209935,-401.782813748
-10.5867602134,0.8776800632476807,0.0962214469909668,0.0482908,0.0,1.7487213611602783,3.681926965713501,5,-205.774138376,91,0.00643734,-0.0482908,8.37536,0.977487,4338.84,0.479596282391,335.7921133041382,0.743405496963,-40.2000954162,-1.01566e-08,120.392943329,-356.472045341
0.687642526513,0.8493666648864746,0.09493541717529297,0.0494323,0.0,1.705625057220459,3.6005868911743164,5,-217.37237389,92,0.00646226,-0.0494323,8.37416,0.977336,4333.62,0.407001042993,339.3978042602539,0.740860482762,-74.7213339592,-1.18256e-08,83.7981379549,-324.877113648
-1.65998965815,0.8670907020568848,0.10590910911560059,0.0610297,0.0,1.7039539813995361,3.610381603240967,5,-175.414648256,93,0.00996587,-0.0610297,8.37166,0.976922,4322.79,-0.0441502789023,343.1111698150635,0.76065107691,-135.554898914,-1.43051e-08,56.0582597125,-284.645316921
-15.4097812148,0.8831555843353271,0.1015777587890625,0.0627977,0.0,1.7481961250305176,3.6506221294403076,5,-243.940082057,94,0.00984008,-0.0627976,8.37045,0.976721,4317.58,0.286585391165,346.7669289112091,0.735321599694,-127.477301536,1.10626e-08,62.9655012677,-292.928226742
