AbsLearnSignalNew,ItrTime,ExplainedVariance,AverageReturn,AverageDiscountedReturn,AverageAbsQYDiff,AverageAbsY,StdReturn,PolicyExecTime,AverageQ,AbsLearnSignal,LossAfter,ProcessExecTime,MeanKL,EnvExecTime,MinReturn,Entropy,MaxReturn,Perplexity,NumTrajs,Iteration,AverageQLoss,dLoss,LossBefore,AbsLearnSignalOld,MeanKLBefore,Time,AverageY,AveragePolicyStd,AverageAbsQ
0.756924606052,31.548959016799927,2.51937359863e-11,-414.412538618,-36.644985985,0.498972842244,1.56125904046,70.0730041133,0.5381174087524414,-1.36074,0.756924606052,-0.209753,0.07071042060852051,0.00641729,0.9949023723602295,-479.599866651,8.51363,-325.787782468,4982.22,5,0,0.420645,0.051951,-0.157802,0.757026065898,0.0,31.548970460891724,-1.36611213194,1.0,1.48007
0.783064564485,32.070295572280884,0.0252201470626,-351.982894576,-34.9521111106,0.649061613073,2.87957164717,58.0453423338,0.6010053157806396,-2.51527,0.783064564485,1.66723,0.08883047103881836,0.00997627,1.3104636669158936,-459.330607175,8.49927,-299.382815731,4911.2,5,1,0.712231,0.0642816,1.73151,0.782536148786,0.0,63.774627447128296,-2.51713771739,0.997611,2.80308
0.756589005796,31.67732810974121,0.173178948676,-396.160198617,-39.9052594115,0.804988130076,4.25922907003,107.81725064,0.5722463130950928,-3.70322,0.756589005796,2.86244,0.09145832061767578,0.00643495,1.2978382110595703,-564.746413016,8.49565,-226.625463606,4893.46,5,2,1.12436,0.0524261,2.91487,0.756522027884,0.0,95.58906412124634,-3.70671562764,0.997014,4.18158
0.748413702858,30.62017798423767,0.24878618182,-343.13705106,-49.3654446015,0.938388196955,5.4844042713,34.8842873409,0.5675854682922363,-4.75319,0.748413702858,3.71979,0.09084773063659668,0.00997639,1.3001914024353027,-375.717156163,8.48754,-282.096815939,4853.93,5,3,1.58174,0.0684373,3.78823,0.748024575939,0.0,126.34469294548035,-4.75581915675,0.995671,5.40157
0.771942671729,30.764925718307495,-0.880813974074,-312.506003747,-26.1241551937,1.04212803023,6.53648661048,78.6756619428,0.5511324405670166,-5.65774,0.771942671729,4.86893,0.08019423484802246,0.00650902,1.300180196762085,-461.209079185,8.48248,-238.280373996,4829.39,5,4,2.00257,0.0556865,4.92461,0.772464825407,0.0,157.2408401966095,-5.65994456239,0.994833,6.45041
0.765844789062,31.043013334274292,0.139076538072,-260.470498189,-22.107432273,1.16805380896,7.26529335973,64.4727152498,0.5529370307922363,-6.15791,0.765844789062,4.27206,0.08694934844970703,0.00645818,1.2869484424591064,-331.163072473,8.47566,-146.226118677,4796.6,5,5,2.57666,0.0639081,4.33597,0.765800036655,0.0,188.42184805870056,-6.15920536846,0.993702,7.16485
0.776906716418,30.914112091064453,-0.0218861609888,-314.738811602,-27.8749816025,1.24892199789,8.01603255527,54.6901626914,0.5423984527587891,-6.80585,0.776906716418,6.06269,0.07981371879577637,0.00646314,1.296539306640625,-397.658342775,8.47719,-248.652671707,4803.92,5,6,2.98109,0.0588851,6.12157,0.777475054919,0.0,219.46800875663757,-6.80707345737,0.993954,7.90647
0.713309719611,30.94943141937256,0.0225374005601,-277.844212776,-25.987032407,1.28065374479,8.63777697149,118.164365525,0.5501561164855957,-7.36131,0.713309719611,6.71847,0.08110451698303223,0.00647984,1.3182048797607422,-372.789227673,8.46941,-44.8662365785,4766.72,5,7,3.17003,0.0565209,6.77499,0.711963867724,0.0,250.54716753959656,-7.36288988905,0.992665,8.53016
0.771671688777,30.32277822494507,0.255757822502,-311.253250968,-14.4982103919,1.271716244,9.14944485112,13.1104876573,0.5506322383880615,-7.84429,0.771671688777,8.46873,0.08315348625183105,0.0099433,1.3186211585998535,-329.219758171,8.47092,-293.872409212,4773.89,5,8,3.17358,0.0724049,8.54113,0.771127256095,0.0,280.9991316795349,-7.84523022635,0.992915,9.04302
0.747160600904,31.28519582748413,0.0923634478173,-230.594887404,-26.2136767098,1.29897649855,9.3749815443,32.4879403572,0.5537872314453125,-8.00345,0.747160600904,6.76511,0.08153939247131348,0.00642742,1.3230493068695068,-284.767031422,8.46742,-196.350184361,4757.25,5,9,3.33497,0.0583882,6.8235,0.748752785914,0.0,312.4195418357849,-8.00392574038,0.992345,9.26789
0.703185221925,31.70552396774292,0.133862893528,-286.649089606,-17.1164678288,1.32095111158,9.58158545246,114.704969191,0.6796066761016846,-8.1012,0.703185221925,7.17561,0.09665250778198242,0.00644646,1.3975331783294678,-443.847725037,8.46886,-107.253226015,4764.1,5,10,3.47851,0.0587139,7.23432,0.702668475947,0.0,344.2595548629761,-8.10264934631,0.992581,9.47699
0.774091914343,30.46146059036255,0.142202202815,-264.108803807,-10.4585345163,1.32186208265,9.72300250353,27.6091303117,0.5772078037261963,-8.20823,0.774091914343,7.79095,0.08718585968017578,0.00644863,1.3508195877075195,-298.530428433,8.4705,-219.676294431,4771.9,5,11,3.50676,0.0567832,7.84774,0.773438229242,0.0,374.85650515556335,-8.20935124406,0.992844,9.62122
0.785920062314,31.0960853099823,-1.64188414182,-253.35516981,-10.0380060165,1.30358011521,9.89560428027,81.3847271524,0.5457608699798584,-8.34931,0.785920062314,8.09396,0.08290791511535645,0.00644482,1.3212523460388184,-357.112296111,8.46442,-156.529088187,4743.0,5,12,3.43347,0.0542078,8.14817,0.78558854997,0.0,406.0846245288849,-8.35113127513,0.991851,9.80097
