AverageReturn,Perplexity,AverageQ,AverageQLoss,ProcessExecTime,AbsLearnSignalNew,AverageDiscountedReturn,MinReturn,LossBefore,AverageY,MaxReturn,Entropy,AveragePolicyStd,AverageAbsQYDiff,AbsLearnSignal,AverageAbsY,ExplainedVariance,PolicyExecTime,AbsLearnSignalOld,MeanKL,dLoss,MeanKLBefore,LossAfter,Iteration,StdReturn,Time,ItrTime,EnvExecTime,NumTrajs,AverageAbsQ
102.959929673,2.99248e+10,12.4015,19.5705,0.15297961235046387,0.828238951327,92.1610656119,71.0737511429,-4.90555,12.4586710973,257.639986307,24.122,1.0,2.23446887999,0.828238951327,12.9961776873,8.55948645295e-12,0.9292290210723877,0.828237280654,0.00660838,0.081677,0.0,-4.98723,0,32.51815366,53.01725125312805,53.01724123954773,6.434509515762329,235,12.8485
108.628664848,3.00162e+10,29.1747,7.25543,0.1363520622253418,0.217166053843,96.4446386,67.1569434527,-22.1433,29.2045520228,235.671081749,24.125,1.00018,1.88094183074,0.217166053843,29.2045520228,-10.896343537,0.9677808284759521,0.217519741917,0.0053548,0.105892,0.0,-22.2492,1,36.8426311418,106.82017469406128,53.66091513633728,6.716314792633057,222,29.1793
112.075380619,2.99836e+10,41.9688,8.06657,0.13796567916870117,0.187819641944,99.2383402899,71.8255567635,-36.2646,41.9867902312,255.158597898,24.1239,1.00012,1.97695751874,0.187819641944,41.9869652283,-11.285834281,0.9361815452575684,0.188414975939,0.00915794,0.0902176,0.0,-36.3548,2,36.709322157,160.63602542877197,53.67739486694336,6.501094102859497,216,41.9832
115.291916506,2.99301e+10,51.0546,11.411,0.13992667198181152,0.540140195865,101.330942098,75.2458214164,-47.6115,51.0695742253,383.839403829,24.1221,1.00001,2.43037097173,0.540140195865,51.0701453274,-0.103102775608,0.9743971824645996,0.541776426372,0.00904777,0.199444,0.0,-47.811,3,44.4666458673,214.39010190963745,53.61672067642212,6.698279142379761,213,51.067
123.750289073,2.98311e+10,57.9957,18.1316,0.14165163040161133,0.269875356302,107.885035396,73.5697850165,-57.2462,58.0120550515,310.103328843,24.1188,0.999817,3.14313762582,0.269875356302,58.0129485734,-5.88009265516,0.9890251159667969,0.271676743373,0.00908831,0.269039,0.0,-57.5153,4,45.3502308616,268.8408524990082,54.31589961051941,6.755451440811157,197,58.0045
138.688836689,2.97948e+10,64.7427,27.337,0.1426553726196289,0.1540781288,118.449205271,76.5104119852,-65.5372,64.7619133409,293.670407491,24.1176,0.999745,3.87643106125,0.1540781288,64.762163651,-196.191339906,1.0036506652832031,0.154471539392,0.00975307,0.400787,0.0,-65.938,5,56.2684026161,322.45623326301575,53.48523211479187,7.010781288146973,176,64.7502
159.352563993,2.98266e+10,72.2436,39.8505,0.14024734497070312,0.450034873562,133.049186548,74.1677750893,-77.8482,72.2640193979,331.429089223,24.1187,0.999808,4.63256831464,0.450034873562,72.2641000681,-1.0203789996,1.011040210723877,0.452334531362,0.0064348,0.409447,0.0,-78.2576,6,64.9144073481,376.18990564346313,53.61361622810364,6.975497484207153,154,72.2531
183.975579787,2.98296e+10,80.5376,53.5157,0.14189910888671875,0.714850083331,148.541041546,80.2270138084,-87.1708,80.5602094621,442.733700177,24.1188,0.999814,5.30909457699,0.714850083331,80.5611055878,0.0850795997555,1.0281825065612793,0.717732328253,0.00642551,0.467155,0.0,-87.638,7,85.0283734838,430.1849367618561,53.880648374557495,7.269618988037109,135,80.5525
202.007431996,2.98188e+10,90.4358,68.892,0.13868451118469238,0.653573571582,160.229645199,77.5144395887,-101.821,90.4561391446,438.808096198,24.1184,0.999793,5.92399940081,0.653573571582,90.4581789415,-0.121231439608,1.0338494777679443,0.657947535261,0.00981703,0.585152,0.0,-102.406,8,90.1383341833,484.39383244514465,54.07101225852966,7.457008600234985,123,90.4555
226.522132369,2.98044e+10,100.46,84.1038,0.13835477828979492,0.381347646828,175.250701407,75.7575855014,-108.941,100.485595233,476.557972659,24.1179,0.999764,6.46291452293,0.381347646828,100.486522126,-1.70512495231,1.0547478199005127,0.381556928786,0.00977219,0.547874,0.0,-109.489,9,96.8270464704,537.9414753913879,53.41957759857178,7.670656681060791,110,100.485
251.684279334,2.9799e+10,111.476,99.0839,0.13995790481567383,0.180184441408,192.698637246,83.4192045711,-126.538,111.50138123,443.48363881,24.1177,0.999754,6.87542448592,0.180184441408,111.505578466,-38.4183626594,1.0732169151306152,0.180222465556,0.00998182,0.521751,0.0,-127.059,10,80.1089480569,591.1619801521301,53.1001558303833,7.7729456424713135,99,111.509
254.541125279,2.98022e+10,122.186,108.349,0.14066576957702637,0.420319757076,193.005169332,85.1739294383,-137.739,122.207667572,612.812088258,24.1178,0.99976,7.10894822665,0.420319757076,122.21550949,-0.815377594111,1.0860145092010498,0.42277362702,0.00642573,0.388901,0.0,-138.128,11,95.9660564926,648.0837047100067,56.778242111206055,7.956796169281006,98,122.225
