AveragePolicyStd,EnvExecTime,ExplainedVariance,StdReturn,MinReturn,Time,ItrTime,PolicyExecTime,LossBefore,ProcessExecTime,MeanKLBefore,AbsLearnSignal,dLoss,Perplexity,NumTrajs,AverageDiscountedReturn,Iteration,MeanKL,AverageReturn,LossAfter,MaxReturn,Entropy
1.0,6.9398205280303955,1.03236308391e-11,26.4128032009,73.3338221871,15.615899324417114,15.615888595581055,1.0614356994628906,-1.04737e-08,0.17223620414733887,0.0,0.839772834963,0.0887807,2.99248e+10,234,91.0512312797,0,0.00994004,101.365669284,-0.0887807,223.361789651,24.122
1.00036,7.16671085357666,0.572381671611,28.3926461227,71.8416364715,26.818503379821777,11.083749055862427,1.19065523147583,-6.06654e-09,0.13811779022216797,0.0,0.683076195992,0.0877436,3.0109e+10,232,91.8529742953,1,0.00947911,102.453733371,-0.0877437,225.576725116,24.1281
1.00032,7.380938529968262,-13.0165245465,32.1923668925,72.3594633097,38.196221351623535,11.266216516494751,1.241882562637329,-1.14258e-08,0.1450939178466797,0.0,0.179753688145,0.0451119,3.00886e+10,227,93.2988898396,2,0.00362742,104.488183371,-0.045112,234.030333229,24.1274
1.00048,7.4261474609375,-0.578453941148,26.0486564577,72.4838367273,49.4500846862793,11.14165449142456,1.1993212699890137,2.65068e-08,0.1461193561553955,0.0,0.386216559428,0.0378121,3.01671e+10,228,93.287461471,3,0.00365628,104.133038866,-0.0378121,191.758909883,24.13
1.00041,7.390948534011841,-16.3129257003,31.0951890552,70.2698176956,60.69651770591736,11.130300998687744,1.2241017818450928,7.98422e-08,0.14811348915100098,0.0,0.149353826679,0.117936,3.01308e+10,224,94.9044114238,4,0.00719964,106.446998169,-0.117936,219.802837742,24.1288
1.00019,7.256580829620361,-0.695314741942,30.3556705735,71.4427532973,71.77609658241272,10.973123550415039,1.1701409816741943,-2.21567e-08,0.1450653076171875,0.0,0.379001903134,0.0989806,3.00215e+10,227,93.4635838444,5,0.00804575,104.579771797,-0.0989806,241.159061343,24.1252
1.00052,7.289770841598511,0.480085008838,28.0767308183,71.9093006507,83.01087880134583,11.127110958099365,1.1713168621063232,7.3867e-09,0.14567184448242188,0.0,0.64936982874,0.0882499,3.01912e+10,226,93.9358869441,6,0.00850899,105.048336638,-0.0882499,217.179023767,24.1308
1.00034,7.216304063796997,-135.466356355,27.2986121323,72.3626020999,94.21057343482971,11.087502002716064,1.180856704711914,1.5198e-08,0.14501953125,0.0,0.124743911433,0.0659461,3.00984e+10,231,92.4421698322,7,0.00637152,103.113556469,-0.0659461,257.478367265,24.1277
1.00021,7.380868434906006,0.477632367529,33.2814489878,71.9030621859,105.4458475112915,11.11055302619934,1.1809189319610596,-1.77171e-08,0.14749598503112793,0.0,0.686623316161,0.0869243,3.00306e+10,221,95.6756546771,8,0.00929873,107.513751692,-0.0869244,278.661747204,24.1255
1.0,7.457258224487305,0.242564304843,30.9017139486,72.5876837131,116.5724995136261,11.007319927215576,1.1827380657196045,-4.78733e-09,0.14605951309204102,0.0,0.550560973687,0.0651046,2.99237e+10,222,95.6663896876,9,0.00939787,107.362941224,-0.0651046,253.842201664,24.1219
0.999706,7.354235649108887,-0.0908612926709,33.8797757247,71.898387141,127.64854788780212,10.961255073547363,1.1797232627868652,-2.62142e-08,0.14794182777404785,0.0,0.518060847324,0.0869879,2.97726e+10,219,96.7775449498,10,0.00692463,108.929117298,-0.0869879,266.358622536,24.1169
0.999551,7.300905704498291,0.269482967834,34.8547140583,75.6096170401,138.63433933258057,10.865697145462036,1.1715660095214844,-9.48552e-10,0.14539456367492676,0.0,0.601531406645,0.102705,2.96926e+10,213,99.3036706022,11,0.00894233,112.198206107,-0.102705,238.978455584,24.1142
0.999266,7.382019281387329,0.517664707343,30.5651000564,75.7658164469,149.53521966934204,10.780502319335938,1.1895287036895752,1.12219e-08,0.14602947235107422,0.0,0.718231395183,0.0846133,2.95483e+10,214,98.7029309068,12,0.00666054,111.158543269,-0.0846133,210.795804166,24.1093
0.999489,7.46474289894104,-4.91340504853,36.3067178699,67.0408304475,160.389666557312,10.711689949035645,1.2273948192596436,1.73465e-08,0.14577221870422363,0.0,0.232430072753,0.0686549,2.96601e+10,208,100.838023086,13,0.00536337,114.272160993,-0.0686549,239.778024622,24.1131
0.999194,7.575017690658569,0.431905873656,34.9215956953,74.3109267593,171.41245698928833,10.910183429718018,1.2274255752563477,5.95335e-09,0.14818310737609863,0.0,0.706629987881,0.0979955,2.95102e+10,207,101.50785371,14,0.00945782,115.020083979,-0.0979955,249.718535218,24.108
0.998853,7.499916315078735,-4.91767040897,36.1818898948,74.9103337235,182.27606916427612,10.743573904037476,1.2467315196990967,1.44368e-08,0.14669442176818848,0.0,0.237262248987,0.0563648,2.93395e+10,205,101.495414394,15,0.00773991,115.163808496,-0.0563647,276.35248193,24.1022
0.999249,7.363220453262329,-6.12705817733,36.5163745301,76.568471438,192.96133422851562,10.568347215652466,1.2194132804870605,-1.14899e-09,0.14598727226257324,0.0,0.205243231733,0.109328,2.95372e+10,205,101.23747795,16,0.00947209,114.871153206,-0.109328,273.633775775,24.1089
0.998663,7.368262529373169,-3.85807838578,34.5504383673,74.1234103686,203.6699001789093,10.595431804656982,1.232635736465454,-3.05176e-08,0.1433854103088379,0.0,0.286915047517,0.199223,2.92404e+10,203,102.586211033,17,0.00563713,116.400196335,-0.199223,223.597100311,24.0988
0.99876,7.395544767379761,0.605689631368,32.8073488919,73.6174093532,214.41980981826782,10.645283699035645,1.263484001159668,3.74242e-09,0.14546775817871094,0.0,0.751151712548,0.0925748,2.92876e+10,205,101.683901315,18,0.00909292,115.139760061,-0.0925748,215.0087719,24.1004
0.998471,7.479787111282349,-0.16240069847,39.228425126,71.4225190506,225.2321183681488,10.699736833572388,1.2256190776824951,1.69491e-08,0.1450798511505127,0.0,0.547216968972,0.0766855,2.91429e+10,201,103.479878228,19,0.0086014,117.86252748,-0.0766854,309.50103271,24.0955
0.998296,7.527484178543091,-0.800764033627,35.9997088361,72.1272020479,236.0906219482422,10.754748582839966,1.2583537101745605,-4.25493e-09,0.14865517616271973,0.0,0.419913745183,0.0587161,2.90548e+10,203,102.864567327,20,0.00901708,116.871370547,-0.0587161,264.391805676,24.0925
0.99763,7.592346429824829,-146.732550827,36.2659125334,72.6467480717,246.97502326965332,10.778446674346924,1.2340288162231445,-1.82939e-08,0.14810967445373535,0.0,0.0896556106353,0.0391503,2.87208e+10,199,104.246258287,21,0.0058397,118.668589656,-0.0391503,261.022435216,24.0809
0.99761,7.575565814971924,-2.20081813983,36.1524750951,74.3988116022,257.88622212409973,10.802478313446045,1.267808437347412,2.41105e-08,0.15061306953430176,0.0,0.319567761316,0.0524047,2.87116e+10,207,101.725205381,22,0.00574912,115.406596798,-0.0524046,264.855441311,24.0806
0.997583,7.580587863922119,0.187242198319,36.1080911209,76.083741102,268.74482893943787,10.75403094291687,1.2257590293884277,-2.22432e-08,0.1480402946472168,0.0,0.652954182432,0.0906613,2.86977e+10,194,107.006231413,23,0.00758972,122.189104737,-0.0906613,246.063709742,24.0801
0.997605,7.528412103652954,-1.71289232334,38.8636709496,73.0339487637,279.56095004081726,10.711767673492432,1.2259714603424072,-2.67423e-08,0.14741992950439453,0.0,0.340503134581,0.117961,2.87084e+10,201,103.482193301,24,0.00510366,117.842056471,-0.117961,295.887605886,24.0805
0.997335,7.562417268753052,0.419006984077,36.9570812492,72.9114072035,290.4319894313812,10.75785756111145,1.2286956310272217,9.09705e-09,0.14797496795654297,0.0,0.670736375196,0.0850924,2.85765e+10,194,106.586550903,25,0.0079731,121.821808052,-0.0850924,260.850664063,24.0758
0.997329,7.618492364883423,0.501162154122,41.3598520196,72.5638972129,301.40145921707153,10.859523057937622,1.26326584815979,5.8197e-09,0.14671564102172852,0.0,0.769134686947,0.0905206,2.85744e+10,192,107.753930829,26,0.00993858,123.583888152,-0.0905206,287.95554463,24.0758
0.997253,7.43394136428833,0.0346392065005,38.5178472294,73.9298458379,312.47712659835815,10.966290712356567,1.2016656398773193,5.33311e-09,0.14666032791137695,0.0,0.623337911447,0.0785075,2.85368e+10,196,106.420480665,27,0.00892002,121.528245298,-0.0785075,296.516926087,24.0745
0.99749,7.709438323974609,0.118492071221,41.7742762278,76.7101941754,323.6494734287262,11.05915355682373,1.2519736289978027,3.12016e-08,0.1456620693206787,0.0,0.561294660893,0.0620891,2.86503e+10,183,112.018397176,28,0.00847808,129.240462498,-0.0620891,260.291306924,24.0784
0.99678,7.522967338562012,0.393880318737,44.0247340402,75.7439653652,334.53100395202637,10.771287679672241,1.2187762260437012,-2.63535e-08,0.14473319053649902,0.0,0.752594095725,0.0906124,2.83056e+10,181,113.722020484,29,0.00971127,131.544099031,-0.0906124,293.826809478,24.0663
0.996234,7.455718040466309,0.362904159626,42.1723849492,73.5949151932,345.32610535621643,10.688016414642334,1.2272512912750244,1.0522e-08,0.14596962928771973,0.0,0.696448248167,0.101399,2.80413e+10,186,111.34722493,30,0.00949483,128.198179451,-0.101399,292.616107929,24.0569
0.996221,7.613226652145386,0.526380785753,37.9252390831,75.8068784259,356.3844783306122,10.949657201766968,1.2067441940307617,-2.25521e-08,0.14458775520324707,0.0,0.753363036838,0.0860953,2.80337e+10,179,114.151945575,31,0.00923203,131.7384992,-0.0860954,240.301059535,24.0567
0.995883,7.540853500366211,-234.568680298,41.7974849399,72.608330572,367.41851806640625,10.929701566696167,1.2565009593963623,9.08983e-09,0.14475226402282715,0.0,0.0644517194399,0.681187,2.78717e+10,186,111.367766097,32,0.00978515,128.291673296,-0.681187,239.729797626,24.0509
