MinReturn,ProcessExecTime,ItrTime,AverageAbsQYDiff,MaxReturn,AverageReturn,AbsLearnSignal,AverageY,StdReturn,AbsLearnSignalOld,AverageQLoss,Entropy,AverageDiscountedReturn,dLoss,Iteration,NumTrajs,AbsLearnSignalNew,AverageAbsQ,AverageAbsY,Time,AverageQ,LossAfter,AveragePolicyStd,Perplexity,ExplainedVariance,LossBefore,MeanKL,PolicyExecTime,MeanKLBefore,EnvExecTime
-476.714104363,0.11794495582580566,40.13608527183533,0.467641857037,-209.612177417,-317.584673975,0.744613910632,-0.709668525802,92.1395067049,0.744792955729,0.380996,8.51363,-25.4046954411,0.0577883,0,5,0.744613910632,1.07955,1.18573310182,40.13609862327576,-0.707453,0.892869,1.0,4982.22,2.68910449464e-11,0.950658,0.00641547,0.9443037509918213,0.0,1.5768067836761475
-402.576592718,0.11517834663391113,40.01878762245178,0.618341235029,-284.793762002,-333.071400446,0.768448863601,-1.60945368362,38.9440756593,0.768379086396,0.651882,8.50375,-16.5806605009,0.0548887,1,5,0.768448863601,2.16171,2.25203809427,80.30881834030151,-1.60777,1.74931,0.998356,4933.25,0.159591624038,1.8042,0.00641503,0.905184268951416,0.0,1.518031120300293
-474.579683828,0.11896061897277832,40.334744453430176,0.80076732184,-208.757577156,-323.979375649,0.749850561239,-2.37694824192,87.5597520387,0.749593983562,1.1201,8.49838,-21.2425168828,0.0687494,2,5,0.749850561239,3.2171,3.31568538499,120.77403330802917,-2.37596,2.51475,0.997463,4906.82,0.169436861141,2.5835,0.00992656,0.9407219886779785,0.0,1.5833399295806885
-414.044999119,0.11641621589660645,40.01215839385986,0.930013706212,-262.854108819,-355.665102974,0.707667487918,-3.22943569399,53.1171288904,0.707783553803,1.60817,8.49509,-30.3791539049,0.0740414,3,5,0.707667487918,4.0899,4.19295635162,160.91789269447327,-3.22787,4.08381,0.996917,4890.71,-0.089692126348,4.15785,0.00996427,0.9193129539489746,0.0,1.5566303730010986
-438.50640823,0.11606073379516602,39.749199867248535,0.935768902432,-258.111433223,-345.194076148,0.758583183134,-3.89730709072,59.2131222961,0.759182577966,1.61842,8.49502,-17.581855987,0.0717192,4,5,0.758583183134,4.82714,4.9146783573,200.7975947856903,-3.8964,4.22132,0.996906,4890.34,0.338052685831,4.29304,0.00992495,0.9339752197265625,0.0,1.6058743000030518
-388.722026201,0.12014508247375488,39.787473917007446,0.952475775981,-299.413884439,-342.386142254,0.738250764341,-4.56045142616,29.5029170294,0.738079438164,1.7121,8.4937,-29.2296563149,0.0708084,5,5,0.738250764341,5.50151,5.58168412491,240.71548986434937,-4.55926,5.20727,0.996687,4883.89,0.440397401628,5.27808,0.00992105,0.9662268161773682,0.0,1.6212680339813232
-382.365334963,0.11935973167419434,39.75559186935425,0.987644341657,-156.20223632,-295.57572674,0.722599562823,-5.0202594037,79.1472618331,0.723519613513,1.90024,8.48933,-9.91440973809,0.0718851,6,5,0.722599562823,6.10142,6.18182873532,280.6023271083832,-5.01842,4.78639,0.995959,4862.59,0.36639631287,4.85828,0.00991025,0.9683711528778076,0.0,1.6053557395935059
-331.801524999,0.11806893348693848,39.66559052467346,1.01598700724,-201.888100573,-260.924099432,0.741356388517,-5.40714243113,54.644262168,0.74032273016,2.04597,8.48888,-22.686361442,0.0660644,7,5,0.741356388517,6.58428,6.66635356666,320.4070098400116,-5.40445,5.22669,0.995886,4860.43,0.173430111043,5.29276,0.00993523,0.9743449687957764,0.0,1.6326768398284912
-342.397306593,0.11789393424987793,39.82870149612427,1.06794985753,-213.958197902,-286.989481432,0.7359035804,-5.72540463557,55.1724795631,0.737139923726,2.33313,8.48324,-30.1367199586,0.0678902,8,5,0.7359035804,6.96283,7.05362336681,360.36995792388916,-5.7226,5.3168,0.994949,4833.07,0.319817087926,5.38469,0.00990122,0.9893264770507812,0.0,1.6256349086761475
-331.647041741,0.11544394493103027,39.73729491233826,1.06460880693,-239.552601586,-282.485630666,0.737530311807,-5.96699563262,36.1239073576,0.739619353364,2.30101,8.47358,-10.5071744916,0.0709977,9,5,0.737530311807,7.26591,7.35181524888,400.24115324020386,-5.96438,5.54971,0.99335,4786.64,0.210204023882,5.62071,0.00998444,0.9859414100646973,0.0,1.6319539546966553
-394.030924216,0.12105202674865723,39.708396434783936,1.06687354007,-203.387460492,-299.901566784,0.728986166129,-6.24728882136,68.5974654123,0.727614186579,2.3117,8.468,-23.0409941209,0.0666013,10,5,0.728986166129,7.5327,7.61528406421,440.08402729034424,-6.24404,6.79204,0.992425,4759.98,0.00472224677305,6.85865,0.00989409,0.9870946407318115,0.0,1.6278090476989746
-305.741240637,0.12070083618164062,39.782827377319336,1.05760738796,-196.861831732,-252.503279438,0.733158677156,-6.47037819486,41.7627584005,0.735289638047,2.27442,8.45942,-8.99800783234,0.0719709,11,5,0.733158677156,7.74783,7.82675616119,480.0046179294586,-6.46831,6.66341,0.991011,4719.31,0.178754075294,6.73538,0.00998332,0.9478886127471924,0.0,1.6100144386291504
-487.287259292,0.11922502517700195,39.8554961681366,1.06871534786,-250.803998252,-330.80261973,0.743773959225,-6.62111666065,82.6091154926,0.745607120259,2.3332,8.45974,-28.2092317855,0.066524,12,5,0.743773959225,7.8698,7.9477970723,519.9992365837097,-6.61819,6.67894,0.991066,4720.82,0.00236046641681,6.74546,0.00989382,0.9537575244903564,0.0,1.6303775310516357
