ExplainedVariance,PolicyExecTime,StdReturn,LossAfter,Iteration,dLoss,Perplexity,AbsLearnSignal,EnvExecTime,LossBefore,MeanKL,AverageReturn,Time,MaxReturn,AveragePolicyStd,MinReturn,ItrTime,NumTrajs,ProcessExecTime,AverageDiscountedReturn,Entropy,MeanKLBefore
1.04618536056e-11,0.9928774833679199,26.6114130093,-0.0868663,0,0.0868663,2.99248e+10,0.83541370272,7.277865648269653,-2.6623e-09,0.00992274,98.3883433522,10.979848861694336,204.575082693,1.0,72.0870457162,10.979840755462646,244,0.15590620040893555,88.6691137538,24.122,0.0
-1426.44171509,1.0176479816436768,31.8231142183,-0.0516976,1,0.0516976,2.97372e+10,0.072163674558,7.231308698654175,3.08544e-08,0.00406082,103.146802069,21.61452317237854,245.04657319,0.999631,70.6862848696,10.491419076919556,233,0.14402294158935547,92.2950849695,24.1157,0.0
-3.46456749941,1.0438754558563232,30.2188562361,-0.0313152,2,0.0313152,2.97257e+10,0.250140555466,7.433251619338989,-2.11389e-08,0.00382865,100.66573144,32.11164331436157,229.503027491,0.999609,68.5737690924,10.370577812194824,239,0.14942264556884766,90.3662235288,24.1153,0.0
-0.879263215045,1.0618503093719482,27.3660490352,-0.1355,3,0.1355,2.96652e+10,0.33567463114,7.395887851715088,2.35844e-08,0.00482572,100.442988396,42.48469924926758,210.317798354,0.99949,69.0017831399,10.24769377708435,240,0.14494633674621582,90.3038254241,24.1132,0.0
0.56493396512,1.0401332378387451,27.4418600253,-0.10959,4,0.10959,2.97177e+10,0.657951491639,7.234922647476196,1.51889e-09,0.0086294,99.5257088949,52.58299398422241,209.598519977,0.999594,70.4941417195,9.99320101737976,242,0.14289116859436035,89.5814156338,24.115,0.0
-195.99497644,1.0790667533874512,31.7362733079,-0.135035,5,0.135035,2.97831e+10,0.140734298219,7.377601861953735,-1.71387e-09,0.00294668,104.754572979,62.827935457229614,207.367072632,0.999725,70.5124480155,10.241744041442871,229,0.1604764461517334,93.5536211611,24.1172,0.0
0.575014767835,1.0353405475616455,32.7076909192,-0.0771286,6,0.0771285,2.97226e+10,0.723747747052,7.411357879638672,-1.32085e-08,0.00725856,104.081759718,73.12752056121826,216.890071718,0.999606,71.1778034046,10.194825649261475,231,0.14629554748535156,92.9827043481,24.1152,0.0
-430.197981082,1.0432062149047852,34.6685249195,-0.0408043,7,0.0408043,2.98616e+10,0.0980132688916,7.320681810379028,1.70299e-08,0.00405113,112.889763809,83.32721948623657,225.60153511,0.999881,72.9442839727,10.097898483276367,214,0.1426103115081787,99.8808619976,24.1198,0.0
0.552729141028,1.0204832553863525,35.2894728022,-0.0866856,8,0.0866856,2.9964e+10,0.743130663661,7.368692636489868,-1.25684e-08,0.00923402,107.847377596,93.58087110519409,330.711872065,1.00008,70.986789896,10.151595830917358,223,0.1440730094909668,95.9017745353,24.1233,0.0
0.0707072119042,1.045499324798584,37.5567148923,-0.121505,9,0.121505,2.99274e+10,0.568032719767,7.388257741928101,1.42481e-08,0.00732187,106.990336458,103.90527319908142,285.670628628,1.00001,70.9199605775,10.21591591835022,226,0.14693546295166016,95.1299951167,24.122,0.0
