NumTrajs,Perplexity,LossAfter,AbsLearnSignal,AverageReturn,PolicyExecTime,AveragePolicyStd,AverageAbsY,AverageAbsQ,AverageAbsQYDiff,MeanKLBefore,EnvExecTime,Iteration,MaxReturn,dLoss,StdReturn,Entropy,AverageY,MeanKL,ProcessExecTime,Time,MinReturn,AverageQ,AverageDiscountedReturn,ItrTime,AbsLearnSignalOld,AbsLearnSignalNew,AverageQLoss,ExplainedVariance,LossBefore
5,4982.22,0.114681,0.720154658051,-373.408932446,0.503676176071167,1.0,1.18948081208,1.10457,0.39993582104,0.0,0.9129354953765869,0,-333.785214492,0.0654211,34.7318344528,8.51363,-0.825225739436,0.00991391,0.06439065933227539,28.604026556015015,-432.216120178,-0.824557,-19.089149175,28.604003190994263,0.719582176328,0.720154658051,0.291751,4.31511493204e-11,0.180102
5,4980.84,1.18891,0.788407891852,-374.56905857,0.5890047550201416,0.999966,2.42930776762,2.33623,0.626901260135,0.0,1.3369419574737549,1,-120.227547591,0.0544407,174.627070843,8.51335,-2.06457910828,0.00642558,0.09093379974365234,60.11322331428528,-615.475812369,-2.06175,-21.2832911224,31.370320081710815,0.788687767624,0.788407891852,0.696758,-0.319603586469,1.24335
5,4937.17,2.51661,0.781441784999,-381.883935648,0.6162393093109131,0.998497,3.71876734598,3.65029,0.724906349228,0.0,1.3433611392974854,2,-332.330265331,0.0676188,58.1717799341,8.50455,-3.28765295093,0.00999431,0.0992274284362793,91.37384057044983,-491.587457331,-3.28534,-48.4631217008,31.145029306411743,0.781331486321,0.781441784999,0.906348,0.0230956018425,2.58423
5,4851.27,3.59017,0.753960063018,-341.265910964,0.5793271064758301,0.995582,4.83245363423,4.7597,0.851198669131,0.0,1.3360707759857178,3,-275.362942934,0.0685921,51.0311232503,8.487,-4.34016850533,0.00988005,0.08891105651855469,122.29595947265625,-408.970151621,-4.33767,-29.7000384839,30.81494164466858,0.753167297054,0.753960063018,1.28438,0.121411536822,3.65876
5,4872.3,4.85777,0.749340393766,-376.666596318,0.5472095012664795,0.996314,5.84269902746,5.77978,0.906592967017,0.0,1.3146300315856934,4,-341.730997758,0.0661821,22.0970517006,8.49132,-5.35336470703,0.00991678,0.0873420238494873,152.8038718700409,-408.478258905,-5.35064,-33.6250069345,30.398768663406372,0.748905338439,0.749340393766,1.47812,0.298786711876,4.92395
5,4851.97,4.06482,0.760776803372,-276.49546148,0.5468904972076416,0.995607,6.58662789224,6.5087,1.02475616367,0.0,1.3146491050720215,5,-171.226250467,0.0601368,77.4755181916,8.48714,-5.95437920756,0.00643057,0.08301401138305664,183.5372383594513,-389.001051186,-5.95068,-38.8263038474,30.62143850326538,0.761042530109,0.760776803372,1.96474,0.142261784235,4.12496
5,4827.55,6.5443,0.798912426776,-323.857918095,0.5414900779724121,0.994765,7.28753928595,7.21388,1.03822762631,0.0,1.312469720840454,6,-239.764926577,0.0562901,95.4637957838,8.48209,-6.64034198953,0.00641238,0.07964253425598145,214.1385235786438,-501.049725124,-6.63713,-18.0162268013,30.49113893508911,0.798628099995,0.798912426776,2.03452,0.140773777995,6.60059
5,4778.93,6.98114,0.731978542086,-306.066601032,0.545781135559082,0.993084,7.85560584651,7.78637,1.06885919793,0.0,1.3043889999389648,7,-239.675912739,0.0576663,42.9415339555,8.47197,-7.22617955646,0.00644807,0.08277463912963867,244.94559478759766,-355.39188395,-7.22342,-27.0525894845,30.701091051101685,0.729816274741,0.731978542086,2.19229,0.420012327824,7.0388
5,4700.9,7.82382,0.745921410497,-316.674335019,0.5739037990570068,0.990365,8.35731015812,8.29385,1.06397468767,0.0,1.3200013637542725,8,-241.494140473,0.0568309,51.4783340583,8.45551,-7.75560080124,0.00646115,0.08756327629089355,275.2775456905365,-360.682936984,-7.75354,-23.0058951241,30.22166681289673,0.746755656541,0.745921410497,2.19933,0.254941001388,7.88065
5,4608.76,8.27822,0.753449565296,-349.32780084,0.5453534126281738,0.9871,8.75229818335,8.69455,1.06552546109,0.0,1.3202812671661377,9,-301.548313471,0.071044,52.1350552547,8.43571,-8.17117728373,0.00994412,0.08381867408752441,305.6867985725403,-439.564273149,-8.1685,-26.6993854103,30.303725957870483,0.752910071665,0.753449565296,2.22274,0.321197042437,8.34926
