AbsLearnSignalOld,Entropy,EnvExecTime,AverageAbsY,NumTrajs,AverageReturn,MeanKL,ExplainedVariance,LossAfter,MaxReturn,AverageQLoss,LossBefore,AverageY,ProcessExecTime,Iteration,Time,ItrTime,Perplexity,AbsLearnSignal,AbsLearnSignalNew,MinReturn,AveragePolicyStd,AverageQ,PolicyExecTime,dLoss,AverageAbsQ,MeanKLBefore,AverageDiscountedReturn,AverageAbsQYDiff,StdReturn
0.764514922131,8.51363,1.295985460281372,1.33030110057,5,-531.186451749,0.00644035,1.86516357914e-11,-0.713634,-404.229276372,0.412152,-0.663814,-0.779964628315,0.08325362205505371,0,32.29056119918823,32.290546894073486,4982.22,0.76423803054,0.76423803054,-609.916488071,1.0,-0.779385,0.6754457950592041,0.0498193,1.20265,0.0,-49.8379363564,0.497239176134,88.919365603
0.775515292622,8.50983,1.5396268367767334,3.28721605309,5,-526.799623964,0.00645025,0.199034932171,1.90861,-434.558532801,0.761296,1.95919,-2.8990070069,0.08959269523620605,1,65.53083086013794,33.1081280708313,4963.31,0.775757005773,0.775757005773,-601.480887987,0.999371,-2.89685,0.639523983001709,0.0505837,3.21443,0.0,-61.1092164668,0.674996755714,59.2024109172
0.787124217739,8.49974,1.5708668231964111,5.40221371448,5,-481.531438781,0.00643401,0.117934375435,4.09439,-369.719440259,1.23474,4.14787,-5.04358535675,0.10300254821777344,2,99.63404321670532,33.97458553314209,4913.48,0.787421801497,0.787421801497,-550.380788025,0.997704,-5.04131,0.6922485828399658,0.0534811,5.34018,0.0,-53.0661522582,0.855261206427,61.8359208917
0.724540940033,8.50625,1.5850896835327148,7.45400393824,5,-550.124556434,0.00641946,-0.891148082732,6.22348,-426.11166864,1.95763,6.28668,-7.09068984456,0.09565258026123047,3,133.25944805145264,33.499366760253906,4945.58,0.723859506647,0.723859506647,-679.419089872,0.998797,-7.08805,0.7180576324462891,0.0631986,7.38803,0.0,-63.4103530767,1.05321332639,89.1389664616
0.796927957535,8.50041,1.5360114574432373,9.12766085414,5,-446.274222523,0.00990054,0.230980560829,7.29982,-330.365201751,2.56925,7.37471,-8.73929265465,0.0886988639831543,4,166.76648545265198,33.38688135147095,4916.76,0.797091424445,0.797091424445,-544.619658142,0.997817,-8.73665,0.6722462177276611,0.0748901,9.06149,0.0,-46.6946460413,1.19844385432,82.4772858553
0.762908696388,8.49937,1.5984864234924316,10.5443745429,5,-412.102729012,0.00642452,0.112969068296,8.10337,-202.13403127,3.1002,8.16869,-10.1058258551,0.09500288963317871,5,200.34054946899414,33.45625066757202,4911.7,0.763423775119,0.763423775119,-534.39534366,0.997646,-10.1027,0.719494104385376,0.0653257,10.4703,0.0,-21.1454917914,1.30079838071,111.867769692
0.775914844522,8.50928,1.5417041778564453,11.6103001678,5,-351.987828604,0.00647991,0.0532771473165,8.82112,-122.986131281,3.64138,8.89114,-11.108801911,0.09463858604431152,6,234.09980249404907,33.63791346549988,4960.61,0.776405470496,0.776405470496,-553.400498818,0.9993,-11.1059,0.6705160140991211,0.0700264,11.5295,0.0,-43.5312652275,1.39976719277,179.39514669
0.804996689872,8.5078,1.5988879203796387,12.1778180124,5,-193.56496301,0.00646054,0.240406891621,7.88913,-18.3177655189,4.29874,7.96861,-11.5297471398,0.10174775123596191,7,267.81419920921326,33.59178185462952,4953.25,0.803965224304,0.803965224304,-351.507762444,0.999062,-11.5271,0.7218117713928223,0.0794759,12.0797,0.0,-10.8478364386,1.50992831488,113.263242067
0.797969844809,8.50549,1.5969350337982178,12.7604501695,5,-352.345879719,0.00646045,0.2671520127,11.3044,-186.903648885,4.59662,11.3707,-12.0552114195,0.09424710273742676,8,302.65040588378906,34.70479464530945,4941.84,0.796788191399,0.796788191399,-483.428123149,0.998676,-12.0516,0.7505671977996826,0.0662956,12.6548,0.0,-30.2727548138,1.54502194083,102.12206983
0.8209096172,8.50234,1.6883299350738525,12.866755472,5,-166.426359568,0.00659369,0.32828951275,7.77887,63.5043224624,5.02147,7.85605,-11.9520786955,0.1143031120300293,9,337.6145136356354,34.83064365386963,4926.27,0.819407114333,0.819407114333,-461.826967738,0.998152,-11.9501,0.8357710838317871,0.0771756,12.75,0.0,-16.080689536,1.61061525423,211.787620811
0.787987835296,8.4948,1.603257656097412,12.8916798393,5,-192.25227955,0.00656048,0.395853387045,8.6564,-39.1010865116,5.11832,8.72475,-11.7784300169,0.10021686553955078,10,372.5155289173126,34.77710509300232,4889.28,0.78905725025,0.78905725025,-409.288278099,0.996905,-11.7771,0.7361388206481934,0.0683413,12.7637,0.0,-5.87416544529,1.62329983625,124.035089325
0.785714440897,8.49977,1.5999326705932617,12.6405003684,5,-30.6721666666,0.00655589,0.465581812068,5.47917,153.928087955,5.21894,5.54812,-11.1704044702,0.09590673446655273,11,406.45978593826294,33.824883222579956,4913.65,0.785235873945,0.785235873945,-185.890132597,0.997752,-11.1694,0.7220702171325684,0.0689483,12.5032,0.0,-2.03440389104,1.64410844346,121.556694426
0.794210951585,8.48598,1.5748040676116943,12.4599194836,5,-152.139317869,0.00649008,0.216362468261,6.60583,-68.3360017204,5.36199,6.66737,-10.6732245108,0.08881998062133789,12,441.6676375865936,35.075568437576294,4846.36,0.791831855358,0.791831855358,-256.436229658,0.995454,-10.6723,0.6562550067901611,0.0615368,12.3166,0.0,-10.8156179056,1.65932854431,63.9630083357
