dLoss,ProcessExecTime,MeanKL,LossBefore,AverageReturn,AbsLearnSignal,ItrTime,LossAfter,Time,Perplexity,EnvExecTime,MeanKLBefore,AveragePolicyStd,PolicyExecTime,MinReturn,Iteration,NumTrajs,Entropy,MaxReturn,AverageDiscountedReturn,StdReturn,ExplainedVariance
0.0650547,0.09511160850524902,0.00984519,-2.5177e-08,-304.652845274,0.697504248844,3.9535770416259766,-0.0650547,3.9536752700805664,4982.22,1.4452574253082275,0.0,1.0,0.7409286499023438,-358.813231564,0,5,8.51363,-262.383935767,-17.3467851792,34.176828171,6.43957109858e-11
0.0600643,0.10498213768005371,0.00980765,-1.62125e-09,-368.639196902,0.70492865115,3.6758370399475098,-0.0600643,7.646060466766357,4979.99,1.4807047843933105,0.0,0.999927,0.8284022808074951,-422.46095524,1,5,8.51318,-333.705634189,-42.9561158767,29.6351229147,0.230535909786
0.0473785,0.11250615119934082,0.00642415,5.31197e-08,-474.906245072,0.706896072011,3.962097644805908,-0.0473784,11.612005710601807,4997.94,1.4906420707702637,0.0,1.00053,0.8608975410461426,-620.088968798,2,5,8.51678,-316.77116611,-85.8722554603,96.201398264,0.112125491136
0.0682677,0.09900879859924316,0.00978245,3.12805e-08,-364.545999939,0.722083229693,3.4955716133117676,-0.0682676,15.231970310211182,4969.1,1.4745779037475586,0.0,0.999562,0.8103635311126709,-420.709118914,3,5,8.51099,-299.801425836,-52.5639673222,43.2331106247,-0.289513606788
0.0630019,0.09518051147460938,0.00991714,-2.36511e-08,-357.075326328,0.693690701303,3.5065805912017822,-0.0630019,18.743173837661743,5019.63,1.4797406196594238,0.0,1.00125,0.8304219245910645,-456.297074633,4,5,8.52111,-283.966353754,-49.3584302815,60.2115015484,0.33446970965
0.0510101,0.09935355186462402,0.00643784,1.23978e-08,-374.955783877,0.713678660759,3.493624687194824,-0.0510101,22.240938663482666,5051.2,1.4668638706207275,0.0,1.0023,0.8440730571746826,-405.573236406,5,5,8.52738,-346.134769336,-48.1466047224,20.3717459723,-0.237589953569
0.0584747,0.09681558609008789,0.00984285,2.86102e-08,-356.73328249,0.703894947751,3.5395073890686035,-0.0584747,25.903136014938354,5044.61,1.497032880783081,0.0,1.00208,0.8429648876190186,-480.856030253,6,5,8.52608,-269.656401507,-40.3969733365,73.2075750109,0.123295298155
0.0579645,0.10350370407104492,0.00992746,-1.45912e-08,-368.435610705,0.718700492787,3.482203483581543,-0.0579646,29.388295888900757,5038.45,1.4862885475158691,0.0,1.00188,0.8348751068115234,-564.202140677,7,5,8.52485,-276.743391958,-55.1597302373,103.146070914,0.252361022205
0.0605508,0.09410834312438965,0.00991675,-3.8147e-09,-428.991308879,0.734977233774,3.4900851249694824,-0.0605508,32.88147330284119,4985.62,1.4818096160888672,0.0,1.00012,0.8395195007324219,-646.091675528,8,5,8.51431,-325.554647767,-49.9883247939,127.626790774,0.299789004629
0.0643897,0.10491776466369629,0.00991165,1.34945e-08,-385.672567996,0.689681969727,3.5202574729919434,-0.0643896,36.51131725311279,4967.81,1.4797472953796387,0.0,0.999525,0.8372311592102051,-558.184841302,9,5,8.51073,-284.010803085,-32.0315319633,98.1429395101,0.0667965796832
0.065481,0.10559558868408203,0.00990795,5.91278e-09,-344.503933375,0.718541514315,3.554868698120117,-0.065481,40.06916880607605,4958.7,1.502131462097168,0.0,0.999225,0.8544344902038574,-461.419630856,10,5,8.5089,-309.903902766,-21.445542642,58.6760463459,0.189173581958
0.0585485,0.09697151184082031,0.0099843,-1.75476e-08,-350.82234852,0.687261305555,3.559478282928467,-0.0585485,43.63137125968933,4936.76,1.5021216869354248,0.0,0.998484,0.8620073795318604,-427.409153659,11,5,8.50447,-252.031963606,-33.9694710017,58.1748526182,0.0191467691405
0.0625641,0.10671305656433105,0.00991188,1.66893e-09,-334.730484691,0.69940335258,3.535907030105591,-0.0625641,47.288370847702026,4958.47,1.4675676822662354,0.0,0.999223,0.8469562530517578,-455.295300599,12,5,8.50885,-268.594605583,-30.2200601671,63.233163846,0.145753397514
0.0618258,0.09881949424743652,0.00994703,-4.95911e-09,-324.870741724,0.711895886854,3.55143404006958,-0.0618258,50.84284234046936,4932.04,1.4854371547698975,0.0,0.99833,0.8521814346313477,-353.621986062,13,5,8.50351,-292.834413614,-34.1849048319,23.7552918424,-0.346982500466
0.0487375,0.10405826568603516,0.00644495,-8.7738e-09,-349.36543896,0.702806548588,3.614427328109741,-0.0487375,54.460872411727905,4910.31,1.4946351051330566,0.0,0.997603,0.8600685596466064,-399.584413678,14,5,8.49909,-300.077354837,-33.1280370151,42.2422180932,0.00476865145244
0.0635254,0.10418558120727539,0.0099965,3.62396e-09,-321.908969242,0.735194498155,3.492147922515869,-0.0635254,58.07910752296448,4877.61,1.4571359157562256,0.0,0.996499,0.8325371742248535,-356.031685638,15,5,8.49241,-276.887207232,-24.8247009798,27.4205658592,0.142546880692
0.04492,0.09749484062194824,0.00641833,3.59535e-08,-428.523986318,0.666498823256,3.5138156414031982,-0.0449199,61.59667682647705,4852.55,1.461400032043457,0.0,0.995651,0.8362197875976562,-483.463758757,16,5,8.48726,-304.286901529,-69.5690915968,66.122970693,0.0734868334329
0.0549203,0.09773135185241699,0.00640854,1.62125e-09,-337.634374424,0.714873498788,3.578073740005493,-0.0549203,65.17856979370117,4852.21,1.4987537860870361,0.0,0.995646,0.8627827167510986,-386.203561327,17,5,8.48719,-296.794536606,-34.9078883693,31.1275954967,-0.190469514507
0.0479785,0.10197734832763672,0.00641123,3.24249e-08,-316.711485091,0.713336536675,3.5357398986816406,-0.0479784,68.83288931846619,4837.91,1.49538254737854,0.0,0.995158,0.8460898399353027,-347.741349479,18,5,8.48424,-296.535135885,-31.6573700449,18.8787857069,0.200504557212
0.0611264,0.10624074935913086,0.00996186,1.44958e-08,-347.717077724,0.69716083742,3.58317232131958,-0.0611264,72.41878175735474,4837.79,1.4933507442474365,0.0,0.99515,0.8635187149047852,-379.668629762,19,5,8.48421,-314.333512502,-36.3801348516,22.768640065,0.110526774334
0.0533062,0.09782195091247559,0.00640783,8.39233e-09,-275.252286424,0.710737279072,3.5741238594055176,-0.0533062,75.99740743637085,4834.3,1.480201244354248,0.0,0.995027,0.8436269760131836,-311.441424459,20,5,8.48349,-209.30043628,-8.64934027768,38.3576541564,-0.0423209569064
0.0582909,0.10061287879943848,0.00988737,-3.1662e-08,-333.047187506,0.693324834585,3.542686700820923,-0.0582909,79.6490204334259,4814.35,1.5001423358917236,0.0,0.994335,0.861189603805542,-429.74966131,21,5,8.47936,-262.159623165,-31.6289815302,62.4047902167,0.144086991442
0.0601842,0.10323214530944824,0.00997533,-1.8692e-08,-323.755053712,0.709415283838,3.5246779918670654,-0.0601842,83.17695999145508,4857.95,1.483506202697754,0.0,0.995829,0.853823184967041,-411.693305662,22,5,8.48837,-281.552924199,-25.7899653574,46.2336421591,0.155256007299
0.0567411,0.1025247573852539,0.00641736,-1.72615e-08,-253.267345417,0.712710048604,3.579620838165283,-0.0567411,86.76059651374817,4829.1,1.5087034702301025,0.0,0.994841,0.8645884990692139,-384.294051508,23,5,8.48242,-197.757170897,-17.4521852604,68.2822710524,0.076806040646
0.0630437,0.10359859466552734,0.00990024,2.67982e-08,-276.445613444,0.701538296619,3.4928677082061768,-0.0630437,90.35973978042603,4818.22,1.4820752143859863,0.0,0.994466,0.8500163555145264,-299.131445289,24,5,8.48016,-242.595806679,-19.2618850913,19.0127371796,0.41407667463
0.048278,0.09708094596862793,0.00643311,7.9155e-09,-327.271095096,0.650288426918,3.5425474643707275,-0.048278,93.90682673454285,4845.81,1.472334861755371,0.0,0.995416,0.8548486232757568,-379.617549367,25,5,8.48587,-291.529776993,-34.230774797,31.2410186087,0.00394947111346
0.0590811,0.10169291496276855,0.00982366,1.04904e-08,-338.891359647,0.708096585282,3.5528407096862793,-0.0590811,97.46341800689697,4857.87,1.5017280578613281,0.0,0.995828,0.8677191734313965,-367.74780969,26,5,8.48835,-291.564216374,-49.620347948,26.1136552277,0.166886831846
0.0578793,0.1053321361541748,0.0064449,8.57353e-08,-352.868759526,0.829893144823,3.563941478729248,-0.0578792,101.15637540817261,4849.47,1.4856064319610596,0.0,0.995543,0.865952730178833,-412.600220185,27,5,8.48662,-318.933200573,-41.3896573981,33.5693395053,-15.5512334046
0.0665018,0.10436487197875977,0.00997183,2.55585e-08,-325.453930247,0.706588147698,3.5463316440582275,-0.0665017,104.70605969429016,4871.4,1.4961433410644531,0.0,0.996283,0.865807294845581,-374.983548544,28,5,8.49114,-271.884947624,-26.7453331347,41.0436500999,0.409281655574
0.0592985,0.10213160514831543,0.00999094,-3.06129e-08,-381.257375636,0.733879987691,3.549863338470459,-0.0592985,108.25949549674988,4859.22,1.4966824054718018,0.0,0.995871,0.856464147567749,-615.615797527,29,5,8.48863,-251.048879309,-46.3964981824,126.421277297,-0.113425329987
0.0765146,0.1012275218963623,0.00988025,3.12805e-08,-290.615094906,0.753979457505,3.548255681991577,-0.0765146,111.91632843017578,4885.01,1.5069448947906494,0.0,0.996754,0.8748323917388916,-362.696326527,30,5,8.49393,-237.602053429,-18.8952163442,43.3691731004,-11.8687944933
0.0496064,0.09749102592468262,0.00642614,-2.78473e-08,-340.765709986,0.660640319639,3.5867700576782227,-0.0496064,115.50575518608093,4873.52,1.486558437347412,0.0,0.996374,0.8635878562927246,-520.549941651,31,5,8.49157,-225.483068483,-38.9866722069,104.183594438,0.0301822287612
0.0660625,0.09816908836364746,0.00993716,1.47343e-08,-277.359046355,0.699982757806,3.4988536834716797,-0.0660625,119.0086042881012,4846.56,1.4866786003112793,0.0,0.995452,0.8590972423553467,-336.00100674,32,5,8.48602,-202.154843612,-21.3573014924,50.5894657338,-0.136127639162
0.0612442,0.10295963287353516,0.00991149,-1.56403e-08,-296.887173628,0.729027703039,3.6058096885681152,-0.0612442,122.7337715625763,4863.93,1.483870029449463,0.0,0.996047,0.8630397319793701,-345.769449648,33,5,8.4896,-262.323946106,-20.3765200593,31.0027356026,0.310962910143
0.058899,0.09936738014221191,0.0099615,4.3869e-09,-272.110207623,0.718092421228,3.551098108291626,-0.058899,126.28889966011047,4861.78,1.494218349456787,0.0,0.995974,0.853478193283081,-329.015860891,34,5,8.48916,-189.582832649,-25.1763585871,48.8560579676,0.0582370506986
0.0655794,0.09765315055847168,0.00997792,6.86645e-09,-301.500730955,0.728245248601,3.5933308601379395,-0.0655794,129.88655352592468,4835.82,1.5021142959594727,0.0,0.995084,0.8642237186431885,-326.977631456,35,5,8.48381,-234.368843236,-27.0545524174,34.8417451048,0.298621326838
0.0492337,0.10518479347229004,0.00642423,-2.57969e-08,-326.84364676,0.726611357898,3.5242674350738525,-0.0492337,133.53531956672668,4832.27,1.4733304977416992,0.0,0.994952,0.848642110824585,-467.170216151,36,5,8.48307,-239.006587447,-36.5338158528,77.4355483586,-3.18037133068
0.0596779,0.10040593147277832,0.00990485,-1.90735e-09,-330.544981615,0.679235507738,3.526266574859619,-0.0596779,137.0652859210968,4841.36,1.4776225090026855,0.0,0.995266,0.8625085353851318,-457.949473789,37,5,8.48495,-218.726987918,-20.563908708,77.282995963,0.165830049556
0.0518964,0.09947562217712402,0.00645373,-6.86645e-09,-322.06344203,0.665960187808,3.5231645107269287,-0.0518965,140.5920329093933,4889.94,1.4761631488800049,0.0,0.996927,0.8393459320068359,-369.479597353,38,5,8.49494,-272.041106216,-40.3992491263,39.5928128185,0.161723765223
0.0650894,0.10032796859741211,0.00985473,2.18868e-08,-298.071550446,0.703281462904,3.5027639865875244,-0.0650894,144.2226800918579,4895.92,1.4880790710449219,0.0,0.997136,0.8597564697265625,-360.197597566,39,5,8.49616,-253.063920086,-21.0689851277,34.9917142383,0.39798857879
0.0463985,0.09736180305480957,0.00644381,-1.79291e-08,-362.222707169,0.697308185185,3.5457723140716553,-0.0463985,147.77270364761353,4914.06,1.4933967590332031,0.0,0.997754,0.864121675491333,-543.576240027,40,5,8.49986,-289.739695808,-36.6652123429,92.0847238129,0.118202447663
0.0681676,0.10156726837158203,0.00995691,5.34058e-09,-289.218559208,0.714929919674,3.5092110633850098,-0.0681676,151.28533840179443,4898.48,1.478733777999878,0.0,0.997231,0.8696920871734619,-319.909597258,41,5,8.49668,-244.581797832,-25.9123759779,28.5371442086,0.17009127928
0.0476359,0.102447509765625,0.00641217,1.58787e-08,-308.505363112,0.686424542675,3.5470266342163086,-0.0476359,154.95081782341003,4888.1,1.5139055252075195,0.0,0.996889,0.8817887306213379,-361.894031746,42,5,8.49456,-226.868616088,-33.7925171466,50.7990183059,0.047317628128
0.0502696,0.10071563720703125,0.00644352,1.34468e-08,-315.99452156,0.716811560489,3.513089179992676,-0.0502695,158.4667580127716,4888.81,1.504228115081787,0.0,0.996908,0.868565559387207,-393.928021803,43,5,8.49471,-277.935003487,-36.069948152,41.2608293011,0.2264164389
0.0670213,0.10166764259338379,0.00991534,-4.19617e-09,-277.271268458,0.742144327551,3.5359902381896973,-0.0670213,162.00664806365967,4867.08,1.4896466732025146,0.0,0.996163,0.8739645481109619,-345.55078,44,5,8.49025,-226.225796279,-23.2476743691,45.1384319206,0.381785248812
0.0508751,0.10075712203979492,0.00643242,-8.67844e-09,-295.998525804,0.757709498157,3.4775121212005615,-0.0508751,165.6012098789215,4839.52,1.4885618686676025,0.0,0.995234,0.8646543025970459,-322.104640313,45,5,8.48457,-274.302026135,-23.6984864135,15.8991914598,0.278725182446
0.064812,0.09976029396057129,0.00994864,-1.297e-08,-269.399517366,0.74898367228,3.6660189628601074,-0.064812,169.2714033126831,4790.34,1.5129375457763672,0.0,0.993546,0.8845043182373047,-295.539483394,46,5,8.47436,-214.092375061,-24.2182678367,28.4102083051,0.395229978647
0.0460912,0.09870553016662598,0.00642848,5.72681e-08,-324.157999276,0.647946004207,3.5321035385131836,-0.0460912,172.8078420162201,4810.24,1.4835834503173828,0.0,0.994251,0.8630802631378174,-433.255903104,47,5,8.4785,-225.830265722,-45.88750716,77.0123487782,0.0758938324501
0.0528138,0.10226631164550781,0.00641744,1.37329e-08,-252.735438339,0.710710557411,3.5323309898376465,-0.0528138,176.48028135299683,4789.97,1.4799447059631348,0.0,0.993541,0.8572208881378174,-299.463192978,48,5,8.47428,-199.619384419,-17.3239746192,31.8199007357,0.0486764670844
0.0527526,0.10070252418518066,0.00644803,4.19617e-09,-263.285143308,0.728406341862,3.671755075454712,-0.0527526,180.1566789150238,4780.31,1.525895357131958,0.0,0.993211,0.8881144523620605,-330.211955437,49,5,8.47226,-202.108083837,-17.5888205146,45.0174816896,0.0892233806743
0.0655948,0.09896016120910645,0.00998851,-2.02179e-08,-282.529695151,0.771852063318,3.535942792892456,-0.0655948,183.69574236869812,4772.36,1.488842487335205,0.0,0.992933,0.8444976806640625,-359.634579513,50,5,8.4706,-190.90551332,-20.9502836128,57.425642563,0.365507363965
0.0617977,0.10355281829833984,0.00992258,2.67029e-09,-330.424566586,0.649529200109,3.44636869430542,-0.0617977,187.2742280960083,4743.28,1.4797022342681885,0.0,0.991939,0.8922276496887207,-374.851117249,51,5,8.46448,-295.15402495,-41.5997745854,34.4681882289,0.0443258088953
0.067201,0.10046172142028809,0.0099312,-2.84195e-08,-261.396312514,0.682765843889,3.4835879802703857,-0.067201,190.76243090629578,4725.54,1.5066421031951904,0.0,0.991321,0.8723502159118652,-342.305594145,52,5,8.46074,-172.335483705,-13.8502695105,59.0966680867,-0.340970371751
0.0594401,0.09967899322509766,0.00999595,-1.90735e-08,-280.628407591,0.70304151304,3.480827808380127,-0.0594401,194.24639248847961,4686.38,1.4977667331695557,0.0,0.989946,0.8636660575866699,-361.504482546,53,5,8.45242,-202.74405815,-25.8797149792,55.3967055461,-0.0608219601355
0.065586,0.09964179992675781,0.00995895,7.24792e-09,-283.833390426,0.686544249221,3.468425750732422,-0.065586,197.84647226333618,4660.56,1.495910882949829,0.0,0.989029,0.8826582431793213,-382.41598761,54,5,8.44689,-220.578191224,-30.2950695014,56.6195330981,0.22392366965
0.0483226,0.10161042213439941,0.00648446,-8.58307e-09,-243.377817578,0.689071721415,3.5327134132385254,-0.0483226,201.38248443603516,4651.59,1.5191073417663574,0.0,0.988728,0.8894877433776855,-290.692014352,55,5,8.44496,-204.062475641,-22.3291950118,31.6836758376,0.163560661906
0.0669596,0.1013340950012207,0.00997416,3.03268e-08,-305.929612753,0.687449524862,3.48138427734375,-0.0669596,204.86747479438782,4592.49,1.4973647594451904,0.0,0.986628,0.8844077587127686,-375.630095221,56,5,8.43218,-262.122489441,-30.4455484442,38.3236367545,0.148712426158
0.0638776,0.10040092468261719,0.00995789,-1.43051e-09,-266.264603033,0.749865008259,3.512211799621582,-0.0638776,208.49895215034485,4559.51,1.5105750560760498,0.0,0.985449,0.9156293869018555,-300.931432471,57,5,8.42497,-192.807756491,-20.7126224513,39.6765728334,0.288804403898
0.059678,0.09998440742492676,0.00978744,2.07901e-08,-274.359706379,0.633731634077,3.4975967407226562,-0.059678,212.00046157836914,4491.54,1.5062050819396973,0.0,0.983007,0.889885663986206,-366.901826908,58,5,8.40995,-134.080678932,-31.5002013997,76.4159300276,0.117654955826
0.0637992,0.1029367446899414,0.0098858,-4.95911e-09,-267.016588125,0.709252292625,3.5025041103363037,-0.0637992,215.50690126419067,4473.16,1.5111312866210938,0.0,0.982336,0.9046270847320557,-308.727206835,59,5,8.40585,-221.167242752,-24.2469023608,34.1166572737,0.168166807324
0.0657395,0.10458755493164062,0.00996374,-1.33514e-08,-272.803487521,0.736141192414,3.5382163524627686,-0.0657395,219.16474556922913,4410.4,1.507878303527832,0.0,0.980015,0.9167497158050537,-322.88526797,60,5,8.39172,-239.418664177,-16.9817107548,30.7806045613,0.0668864272114
0.0604627,0.10076355934143066,0.00993611,1.50681e-08,-266.324337568,0.680971442052,3.572570323944092,-0.0604627,222.74130535125732,4376.69,1.5305068492889404,0.0,0.978773,0.9341757297515869,-305.629409071,61,5,8.38405,-202.950850613,-41.4149351999,34.8621768651,-0.103360782504
0.0527102,0.10182905197143555,0.00647524,-4.95911e-09,-235.904754874,0.724938912669,3.5238757133483887,-0.0527102,226.26956725120544,4352.78,1.507910966873169,0.0,0.97788,0.9167017936706543,-290.924662707,62,5,8.37857,-188.615340239,-16.3660605555,33.0494694359,-0.0615290155773
0.0638191,0.0983130931854248,0.00997077,-1.54495e-08,-275.660152152,0.703795799696,3.529937267303467,-0.0638192,229.9176857471466,4314.03,1.554396390914917,0.0,0.976438,0.862983226776123,-422.129987245,63,5,8.36963,-201.156407093,-34.8837299475,76.1235337047,0.132673824797
0.0671199,0.10341334342956543,0.00994855,-1.64032e-08,-251.911680744,0.756405513531,3.4985671043395996,-0.0671199,233.4199321269989,4306.21,1.4968857765197754,0.0,0.976173,0.872333288192749,-297.889311945,64,5,8.36781,-202.530747365,-17.4737414436,40.269988878,-0.229204296973
0.0644153,0.10501217842102051,0.00984022,-1.31607e-08,-233.93923667,0.747271164326,3.5311312675476074,-0.0644153,236.9538550376892,4291.2,1.4845268726348877,0.0,0.975594,0.9401354789733887,-274.546740271,65,5,8.36432,-193.688732294,-15.696732252,27.5266522807,0.158442717457
0.0524344,0.10242867469787598,0.00640707,1.04904e-09,-239.169601324,0.748702551349,3.5337257385253906,-0.0524344,240.59828805923462,4314.9,1.503892183303833,0.0,0.976512,0.9064173698425293,-306.31393444,66,5,8.36983,-207.287938425,-27.7409572207,35.5483552501,0.124819659001
0.0499467,0.10371232032775879,0.00640996,-2.86102e-09,-253.772587414,0.690359618993,3.526311159133911,-0.0499467,244.12867259979248,4281.82,1.5005760192871094,0.0,0.975228,0.917616605758667,-342.341452809,67,5,8.36213,-164.409214939,-14.9977392376,75.1413271221,-0.225356078829
0.0620886,0.10733747482299805,0.00985474,1.44958e-08,-229.626293521,0.733396134551,3.5109167098999023,-0.0620886,247.64391446113586,4243.09,1.507232904434204,0.0,0.973771,0.9074892997741699,-295.834622689,68,5,8.35305,-204.884103044,-18.4110337168,33.7889120177,-0.0269635873699
0.0615395,0.1090536117553711,0.00991377,-5.12123e-08,-248.184867544,0.75504166115,3.5921506881713867,-0.0615395,251.35110139846802,4220.11,1.5392036437988281,0.0,0.972853,0.9281866550445557,-291.622385752,69,5,8.34762,-197.186081842,-20.26658469,32.1810331541,-0.24938673571
0.0525233,0.10140371322631836,0.00641313,-1.5831e-08,-288.641527237,0.771919793222,3.4919021129608154,-0.0525233,254.84722256660461,4222.53,1.5080668926239014,0.0,0.972956,0.8742361068725586,-299.789423089,70,5,8.34819,-277.892029877,-26.8749722814,8.56201016258,0.204484695326
0.0482234,0.10188460350036621,0.00641025,-2.07424e-08,-256.334758537,0.66416393854,3.4751062393188477,-0.0482234,258.3257439136505,4214.18,1.4895610809326172,0.0,0.972642,0.8598451614379883,-426.615341777,71,5,8.34621,-150.061660217,-30.8120287711,96.1111015783,0.0233709820733
0.0684869,0.10268664360046387,0.00978536,2.86102e-09,-257.993557393,0.733129955595,3.5412049293518066,-0.0684869,261.98594188690186,4212.65,1.5083670616149902,0.0,0.972576,0.9028773307800293,-312.572670185,72,5,8.34585,-221.645221875,-32.4303124299,33.9794133834,-0.0749139104683
0.0591615,0.10546469688415527,0.00994402,-5.01633e-08,-284.586449908,0.712593120866,3.4663708209991455,-0.0591615,265.4561743736267,4200.94,1.5021626949310303,0.0,0.972138,0.8703553676605225,-327.607686223,73,5,8.34306,-246.988968404,-36.7852279496,35.2462321032,0.163278813887
0.0681471,0.10065555572509766,0.00999545,-1.28746e-08,-215.168893997,0.71886718911,3.5294413566589355,-0.0681471,268.99122285842896,4173.93,1.4987828731536865,0.0,0.971105,0.8859305381774902,-259.54146125,74,5,8.33661,-144.551787497,-13.2514976696,40.0702169238,-0.238312987388
