StdReturn,MinReturn,EnvExecTime,PolicyExecTime,Iteration,MeanKLBefore,ItrTime,LossAfter,NumTrajs,AverageDiscountedReturn,MeanKL,Time,AveragePolicyStd,MaxReturn,AbsLearnSignal,ExplainedVariance,AverageReturn,dLoss,ProcessExecTime,Perplexity,LossBefore,Entropy
18.3318059942,75.5007923985,6.97630500793457,1.034536361694336,0,0.0,12.10219430923462,-0.0698824,247,88.5858025573,0.00667617,12.102205276489258,1.0,168.768076827,0.847051600586,1.29021238138e-11,97.8471154839,0.0698824,0.15342950820922852,2.99247e+10,1.90089e-10,24.122
18.8479470902,75.9735207436,7.346758127212524,1.2226080894470215,1,0.0,11.983348608016968,-0.0264364,241,90.3054780612,0.00701285,24.22004985809326,1.00023,158.741405909,0.065436188852,-127.211710027,99.9965915988,0.0264364,0.14105582237243652,3.0041e+10,-4.91508e-09,24.1258
19.0709010563,76.2828645015,7.123333930969238,1.1740856170654297,2,0.0,11.174219608306885,-0.154997,242,90.2315146325,0.00720893,35.5075888633728,0.999829,183.19993589,0.261092230168,-0.840608304405,99.9096143959,0.154997,0.14971399307250977,2.98371e+10,-7.97142e-09,24.119
20.3979356429,75.8673376311,7.3666980266571045,1.202695608139038,3,0.0,11.083286762237549,-0.0420207,238,91.6378858408,0.00775431,46.70853781700134,0.99997,192.358859419,0.349045662553,-0.121870512865,101.68994598,0.0420207,0.1459181308746338,2.99083e+10,7.02068e-09,24.1214
19.5953326193,75.741295554,7.078422784805298,1.191241979598999,4,0.0,10.572778224945068,-0.0249968,240,90.7785911922,0.00473458,57.395630836486816,1.00024,179.08369647,0.156602289999,-5.8403460644,100.587521793,0.0249968,0.1441037654876709,3.0045e+10,-2.62839e-09,24.126
18.4844047804,75.1586283516,7.139915227890015,1.2317941188812256,5,0.0,10.737501621246338,-0.027808,242,90.305687103,0.00358212,68.25754952430725,1.00026,174.458333684,0.148734313877,-7.18755480492,99.9384571292,0.027808,0.1448345184326172,3.00544e+10,1.31595e-09,24.1263
21.1856275467,75.6591203387,7.358950138092041,1.2363412380218506,6,0.0,10.791530847549438,-0.357492,241,90.7175156528,0.00252478,79.17252850532532,1.00023,180.097835885,0.136843765724,-7.90493220404,100.552425361,0.357492,0.14861512184143066,3.00382e+10,-1.3882e-08,24.1257
19.9505005184,76.4935477072,7.360061168670654,1.2699224948883057,7,0.0,10.889733076095581,-0.0617802,237,91.955903417,0.00599709,90.18085050582886,1.00083,189.068369677,0.417203353715,0.242292924034,102.066674608,0.0617802,0.14702486991882324,3.0346e+10,1.78493e-08,24.1359
17.606755942,75.7456433704,7.30570912361145,1.213027000427246,8,0.0,10.752869844436646,-0.086737,240,90.9694371694,0.00917947,101.0617904663086,1.00086,152.553338915,0.726642740625,0.791187979925,100.735061423,0.086737,0.14806795120239258,3.03635e+10,-2.58985e-08,24.1365
18.2781252362,76.0239163685,7.417655944824219,1.2638051509857178,9,0.0,10.767060995101929,-0.0864673,240,90.657393908,0.00943586,111.9361982345581,1.00072,177.37602861,0.656052883647,0.77073287039,100.397864136,0.0864673,0.14848971366882324,3.02871e+10,1.36467e-09,24.134
19.9931791177,76.056741899,7.432385683059692,1.2337100505828857,10,0.0,10.746679544448853,-0.141582,241,90.8577138604,0.00661361,122.7920594215393,1.00064,174.253317874,0.361603713387,-0.115496246745,100.691938987,0.141582,0.15158462524414062,3.02455e+10,4.16948e-09,24.1326
21.3282242013,75.4723380544,7.413400888442993,1.274855613708496,11,0.0,10.741231441497803,-0.0795544,232,92.9265034769,0.00643794,133.63881158828735,1.00094,211.059205665,0.417148058621,0.357377940219,103.368879035,0.0795544,0.1462397575378418,3.04016e+10,1.07244e-08,24.1378
17.8161371319,77.014988264,7.378569841384888,1.2600934505462646,12,0.0,10.723469495773315,-0.0919758,240,90.9242359407,0.00890982,144.47151160240173,1.00073,172.390927022,0.499395867417,0.577267129351,100.727842258,0.0919758,0.14995384216308594,3.0294e+10,9.02669e-09,24.1342
19.5957499497,75.1067466982,7.317678689956665,1.2181787490844727,13,0.0,10.638534307479858,-0.10571,234,92.5878850792,0.00777835,155.22741436958313,1.00109,168.089366903,0.690663438693,0.779968825238,102.862023417,0.10571,0.1475996971130371,3.04804e+10,6.74051e-09,24.1404
21.9451643913,75.5005556109,7.428280830383301,1.2493090629577637,14,0.0,10.748498916625977,-0.104461,234,92.7013471901,0.00616965,166.0908408164978,1.00129,221.056435969,0.139614301838,-17.359231093,103.069415338,0.104461,0.1505579948425293,3.05814e+10,-1.75133e-09,24.1437
25.1313041326,77.1253106402,7.469589471817017,1.227386713027954,15,0.0,10.863539457321167,-0.0448664,228,95.039953742,0.00761584,177.06402778625488,1.00098,207.744289315,0.341988278515,-0.711883467799,106.120689087,0.0448664,0.1486818790435791,3.04209e+10,1.5641e-08,24.1384
21.6093972596,76.3348252691,7.214669466018677,1.2036962509155273,16,0.0,10.57783555984497,-0.0791615,231,93.7167101187,0.0081659,187.75358843803406,1.0013,210.948235895,0.620497919062,0.667961635391,104.351540883,0.0791615,0.14722418785095215,3.05866e+10,7.54131e-10,24.1438
22.9227414125,76.9542319579,7.220329999923706,1.200467824935913,17,0.0,10.936729192733765,-0.102369,231,93.9398307442,0.00708891,198.8000500202179,1.00134,212.620025276,0.576189596158,0.580690532478,104.653238244,0.102369,0.145704984664917,3.0604e+10,1.81395e-08,24.1444
20.9291365292,76.0020194816,7.240000486373901,1.204153299331665,18,0.0,11.49488639831543,-0.0700656,235,92.344889385,0.00862915,210.41499757766724,1.00135,190.99119291,0.297068830129,-1.0020248988,102.572678536,0.0700656,0.14798593521118164,3.06127e+10,-4.57764e-09,24.1447
