MinReturn,AveragePolicyStd,dLoss,AverageReturn,ItrTime,ProcessExecTime,AbsLearnSignal,Iteration,MeanKLBefore,MaxReturn,AverageDiscountedReturn,LossAfter,PolicyExecTime,EnvExecTime,Perplexity,StdReturn,LossBefore,ExplainedVariance,Time,NumTrajs,MeanKL,Entropy
-491.650556691,1.0,0.0618764,-396.141254067,4.029331684112549,0.1015932559967041,0.736932086641,0,0.0,-275.753330821,-27.481704564,-0.0618764,0.755302906036377,1.6979084014892578,4982.22,86.1421937143,-1.56164e-08,3.02206037972e-11,4.029343128204346,5,0.00995427,8.51363
-514.58260841,0.999394,0.0600445,-405.515321422,3.7662436962127686,0.10111141204833984,0.744943322102,1,0.0,-328.733312942,-36.27872501,-0.0600445,0.7286467552185059,1.6719021797180176,4964.06,67.6231933262,6.86645e-09,-0.0298302858933,7.810719966888428,5,0.00996231,8.50998
-470.916603604,0.996435,0.0627653,-369.344929396,3.730391025543213,0.10051679611206055,0.744323514466,2,0.0,-303.468064415,-19.7140075998,-0.0627652,0.7522182464599609,1.6954460144042969,4876.37,56.2671437479,3.86e-08,0.17178355608,11.546880960464478,5,0.00996594,8.49216
-486.780674844,0.991712,0.0497854,-393.657451304,3.7593719959259033,0.10438156127929688,0.784313738106,3,0.0,-280.712160148,-38.574220707,-0.0497856,0.76712965965271,1.673231840133667,4739.14,75.0159061348,-1.59836e-07,-1.07344987709,15.41037130355835,5,0.00642151,8.46361
-449.494418967,0.991821,0.0618543,-398.806395131,3.698237180709839,0.10202646255493164,0.7805808191,4,0.0,-347.091612083,-38.3463906204,-0.0618542,0.7750093936920166,1.6883273124694824,4742.3,39.7372627364,3.62396e-08,0.333428375439,19.113845825195312,5,0.00990366,8.46428
-425.242748355,0.991095,0.0618893,-402.528660925,3.6426022052764893,0.10120987892150879,0.701857462805,5,0.0,-354.300728888,-56.2200400149,-0.0618893,0.7644093036651611,1.6738924980163574,4721.59,26.5022587455,3.24249e-09,0.216858106355,22.760899543762207,5,0.00991,8.4599
-497.089520145,0.990843,0.0492611,-424.040776348,3.6499876976013184,0.10039544105529785,0.723667131375,6,0.0,-368.839577159,-40.2015063663,-0.0492611,0.7767307758331299,1.684110164642334,4714.42,42.4467311614,5.62668e-09,0.251877694093,26.528305292129517,5,0.00646286,8.45838
-454.167584759,0.989925,0.0673259,-349.73023996,3.6019434928894043,0.1019744873046875,0.696155536747,7,0.0,-264.715132691,-17.3878108917,-0.0673259,0.7862937450408936,1.7077820301055908,4688.12,60.4520399854,-1.51634e-08,0.257718083242,30.13541603088379,5,0.00995299,8.45279
-433.912920227,0.991294,0.0467354,-350.316018189,3.6822257041931152,0.10230708122253418,0.710012479529,8,0.0,-299.791579835,-27.0424723063,-0.0467354,0.7875590324401855,1.7046704292297363,4726.68,49.4782900448,9.15527e-09,0.274489834242,33.8212525844574,5,0.00641797,8.46098
-498.337881608,0.990607,0.0531549,-368.851173268,3.6177942752838135,0.10822558403015137,0.692310881678,9,0.0,-257.646068944,-25.2498502496,-0.0531548,0.8108401298522949,1.7059359550476074,4707.02,86.5804482089,6.53267e-09,-0.00626767337357,37.547858476638794,5,0.00642888,8.45681
-464.073298955,0.99223,0.0487718,-365.829867088,3.6517393589019775,0.10486936569213867,0.717811791912,10,0.0,-293.647407424,-19.7306141697,-0.0487719,0.810422420501709,1.7075026035308838,4753.53,58.6168847271,-2.05994e-08,0.332915445249,41.20436763763428,5,0.00642582,8.46664
-475.13642375,0.991385,0.0606076,-399.49878577,3.589710235595703,0.10212039947509766,0.743198431813,11,0.0,-339.933760102,-30.8663690225,-0.0606076,0.783353328704834,1.6871693134307861,4729.29,54.8823182498,-1.57356e-08,0.209733429963,44.79806137084961,5,0.00997465,8.46153
-443.074207871,0.992527,0.0642878,-368.690933401,3.617006301879883,0.10134243965148926,0.722056366142,12,0.0,-287.588050529,-15.6325945574,-0.0642878,0.7868669033050537,1.6972177028656006,4761.34,56.7254067935,1.71661e-08,0.304216292434,48.517683029174805,5,0.00997862,8.46828
-399.90522659,0.991656,0.0599524,-308.374520994,3.6501684188842773,0.0910797119140625,0.739090695179,13,0.0,-219.188238159,-26.0881743548,-0.0599524,0.8147835731506348,1.7135093212127686,4736.38,69.248968168,-1.8692e-08,0.106228327,52.17259931564331,5,0.00984711,8.46303
-445.197407246,0.991556,0.0579031,-368.362389059,3.569164514541626,0.09870433807373047,0.751378865877,14,0.0,-301.191391158,-38.3912610351,-0.0579031,0.7881860733032227,1.6718800067901611,4733.06,47.8893570501,1.16348e-08,-1.11242444946,55.747313022613525,5,0.0099935,8.46233
-641.588324226,0.990901,0.0594807,-405.694434544,3.621541976928711,0.09312772750854492,0.720441731386,15,0.0,-222.244486866,-44.013558792,-0.0594807,0.8082060813903809,1.6983351707458496,4714.28,135.758408924,-3.8147e-10,0.0818818258865,59.486101388931274,5,0.00989192,8.45835
-490.687387671,0.990208,0.0641316,-377.73938758,3.723860740661621,0.10195779800415039,0.713256114861,16,0.0,-266.332851155,-14.0689486469,-0.0641316,0.823556661605835,1.7005283832550049,4693.57,78.2812655126,-3.43323e-09,0.0740793841405,63.21551203727722,5,0.00993432,8.45395
-460.579009619,0.992232,0.0488646,-386.599277733,3.632429838180542,0.09794831275939941,0.735287198582,17,0.0,-336.287355223,-27.6473077658,-0.0488645,0.7978963851928711,1.7328457832336426,4751.36,50.9333347532,2.76804e-08,0.0325162927496,66.85149931907654,5,0.0064092,8.46619
-443.888121362,0.992094,0.0614662,-347.798482946,3.659332275390625,0.10089707374572754,0.714307007452,18,0.0,-262.389283981,-30.2530797047,-0.0614662,0.8071272373199463,1.708832025527954,4746.81,60.1015832826,-1.43051e-08,0.179256848063,70.61147570610046,5,0.00998198,8.46523
-407.748915189,0.994071,0.0631701,-375.433623731,3.646662712097168,0.09897541999816895,0.767852079127,19,0.0,-357.503681266,-34.0388785678,-0.0631701,0.8329565525054932,1.7134242057800293,4804.15,18.2661241964,-1.37329e-08,0.356657583227,74.26267600059509,5,0.00993242,8.47724
-475.337266086,0.993199,0.0599332,-390.835537315,3.6011600494384766,0.09649872779846191,0.729883345659,20,0.0,-279.424226888,-43.6797053119,-0.0599332,0.8335943222045898,1.693662405014038,4778.68,68.5932408924,-4.61578e-08,0.128529570014,77.86878871917725,5,0.00998416,8.47192
-385.742706016,0.990708,0.0495209,-319.957380406,3.5705339908599854,0.09510517120361328,0.754330852243,21,0.0,-101.793419455,-22.2556015665,-0.0495209,0.8090128898620605,1.7050538063049316,4706.99,109.31522504,2.13623e-08,0.211439662264,81.54829144477844,5,0.00644669,8.4568
