Entropy,AbsLearnSignal,MaxReturn,ProcessExecTime,PolicyExecTime,NumTrajs,ItrTime,StdReturn,EnvExecTime,dLoss,LossBefore,AveragePolicyStd,Time,ExplainedVariance,Iteration,AverageReturn,MinReturn,AverageDiscountedReturn,LossAfter,MeanKL,MeanKLBefore,Perplexity
8.49804,0.767095240581,-171.398894732,0.10473775863647461,0.8966431617736816,5,3.484865188598633,69.4640100683,1.498258352279663,0.0585543,4.1008e-09,0.997434,75.06107544898987,0.217247142028,20,-253.659268295,-379.322572625,-14.6281741942,-0.0585543,0.00982536,0.0,4905.17
8.49516,0.791864868921,-199.149567831,0.10567331314086914,0.9650201797485352,5,3.557610511779785,54.2555091729,1.512911081314087,0.0614538,-5.81741e-09,0.996959,78.73376798629761,-0.126002661118,21,-280.376407089,-345.39026,-33.082060186,-0.0614538,0.0098784,0.0,4891.03
8.49854,0.778448507511,-141.460203706,0.10236120223999023,0.9263753890991211,5,3.5701029300689697,96.7519324237,1.5354323387145996,0.0610028,2.18391e-08,0.997523,82.30767130851746,0.10383784131,22,-241.434698632,-377.73115994,-10.4020696277,-0.0610028,0.00992391,0.0,4907.59
8.50248,0.796764303341,-79.4868012593,0.10714483261108398,0.9146425724029541,5,3.5405423641204834,108.351883573,1.509286880493164,0.0621915,3.8147e-10,0.998176,85.85248351097107,0.00713163598179,23,-261.916856555,-371.153117158,-19.957613078,-0.0621915,0.00987214,0.0,4926.97
8.4988,0.793297624404,-149.705038421,0.10640454292297363,0.912543535232544,5,3.4831724166870117,77.7099757026,1.4796936511993408,0.0596615,2.86102e-09,0.997562,89.44730544090271,0.238631810241,24,-268.833189458,-393.72621831,-28.8476268177,-0.0596615,0.0098759,0.0,4908.88
8.49656,0.772546430262,-161.807150923,0.10311698913574219,0.9045147895812988,5,3.4998865127563477,74.3424332935,1.5020172595977783,0.0490617,-3.39508e-08,0.997172,92.95103669166565,0.144391105604,25,-289.048334999,-389.402393301,-19.1073548089,-0.0490617,0.00642088,0.0,4897.88
8.49797,0.732743434562,-191.193030633,0.1004183292388916,0.8823752403259277,5,3.4642088413238525,71.0902329135,1.4816553592681885,0.0611957,-1.44005e-08,0.997403,96.41956043243408,0.144828455129,26,-308.860926254,-396.912055059,-37.8967562089,-0.0611957,0.0099188,0.0,4904.81
8.49579,0.777003358634,-147.890227784,0.10554361343383789,0.9283120632171631,5,3.5400421619415283,83.3632688522,1.5096900463104248,0.0643624,1.2207e-08,0.997039,100.07353186607361,0.275194960432,27,-308.981833013,-384.961851266,-28.905421474,-0.0643624,0.00984217,0.0,4894.1
8.48935,0.779192814696,-50.2318006158,0.10510921478271484,0.9350411891937256,5,3.5540573596954346,88.6537013192,1.525728464126587,0.0591244,7.62939e-09,0.995972,103.63198137283325,0.086795647566,28,-226.775428807,-286.411409711,-14.7615808424,-0.0591244,0.00986455,0.0,4862.71
8.48545,0.75967010202,-64.758343966,0.1061856746673584,0.9183645248413086,5,3.527764320373535,94.1665120166,1.5170056819915771,0.0618575,2.60353e-08,0.99533,107.16367244720459,0.0739045157246,29,-223.326925744,-302.790014112,-2.94519915616,-0.0618575,0.00990939,0.0,4843.78
8.48397,0.761926119626,-152.248550495,0.1045534610748291,0.9212040901184082,5,3.5628631114959717,117.695493458,1.4969801902770996,0.0524854,-1.37329e-08,0.995086,110.84546041488647,0.303172961242,30,-316.390693426,-520.100169135,-18.2992819185,-0.0524855,0.00642485,0.0,4836.6
8.48656,0.79575764384,-106.856659507,0.10404181480407715,0.9168024063110352,5,3.521963119506836,108.852714521,1.4962482452392578,0.0612545,7.05719e-09,0.995513,114.37145733833313,0.0337765259525,31,-256.371582374,-381.959502562,-13.7448538634,-0.0612545,0.00995989,0.0,4849.17
8.48269,0.781789642771,-101.186637538,0.09959244728088379,0.9152834415435791,5,3.5223586559295654,98.3758342654,1.5148108005523682,0.0633873,-1.48773e-08,0.994867,117.89707326889038,-0.000129246394952,32,-267.991859969,-368.360790914,-28.4827939103,-0.0633873,0.00990598,0.0,4830.43
8.48343,0.777681327612,-146.685680689,0.1082308292388916,0.9015905857086182,5,3.549522638320923,86.7584576588,1.5118556022644043,0.0589997,3.29971e-08,0.994996,121.5639419555664,-0.115559410884,33,-225.292513672,-341.083794844,-29.7952205625,-0.0589997,0.00994426,0.0,4834.0
8.48141,0.78526650381,-108.062135684,0.1027228832244873,0.9201140403747559,5,3.5468828678131104,57.9472101046,1.505279541015625,0.0512753,8.7738e-09,0.994661,125.11438703536987,0.0158775056959,34,-181.607151605,-275.249146385,-16.9563515921,-0.0512753,0.00646871,0.0,4824.23
8.48119,0.81593433532,-266.15394423,0.0991811752319336,0.9196302890777588,5,3.512726306915283,31.8087481768,1.5001661777496338,0.0606005,7.62939e-09,0.994634,128.6300950050354,-0.404953042804,35,-311.621331513,-364.175095112,-35.5271884946,-0.0606005,0.00975975,0.0,4823.2
8.47772,0.78599928889,-177.649562259,0.10413050651550293,0.9360611438751221,5,3.548347234725952,115.066796231,1.5134527683258057,0.0638799,3.43323e-08,0.994055,132.29461073875427,0.0789939597382,36,-275.442432402,-500.024086638,-25.0826283174,-0.0638798,0.00998488,0.0,4806.49
8.48023,0.789758467267,-132.132541662,0.10735821723937988,0.9132499694824219,5,3.5952541828155518,55.5228099536,1.505143165588379,0.0476562,5.11169e-08,0.994478,135.8929455280304,0.0604544801979,37,-223.772318618,-290.919940814,-24.2556321663,-0.0476562,0.00642461,0.0,4818.57
8.47533,0.778440246295,-25.8152968777,0.10084676742553711,0.9031941890716553,5,3.522592306137085,143.05391179,1.4967641830444336,0.0617274,2.13623e-08,0.993664,139.41844367980957,0.337811716115,38,-288.129648422,-428.493334069,-41.680411344,-0.0617274,0.00997352,0.0,4795.0
8.46932,0.781019014727,-182.849929599,0.10651445388793945,0.9240193367004395,5,3.523277997970581,69.3111663373,1.4855537414550781,0.05951,-3.03268e-08,0.992671,143.0581829547882,-0.561849918166,39,-295.640380528,-371.495038516,-21.3719224998,-0.05951,0.00988188,0.0,4766.27
8.47343,0.77190463843,-69.8874052991,0.11206912994384766,0.9233283996582031,5,3.566775321960449,84.0958969639,1.5342004299163818,0.0618934,-3.05176e-09,0.993359,146.6278007030487,0.144948290437,40,-229.122849251,-313.462378944,-16.3878250899,-0.0618934,0.00990715,0.0,4785.89
8.47023,0.792009724975,-104.791579635,0.10529303550720215,0.9255340099334717,5,3.590127468109131,98.457549664,1.5318474769592285,0.0490807,-2.2316e-08,0.992823,150.22187995910645,0.220227731255,41,-224.482136674,-344.717887545,-30.0213717125,-0.0490808,0.00643048,0.0,4770.61
8.46952,0.773471048715,-54.1733713708,0.1074686050415039,0.9232690334320068,5,3.5203139781951904,93.9943359253,1.499476432800293,0.0646253,2.05994e-08,0.992707,153.85332775115967,0.219333183308,42,-225.819293466,-310.236986232,-29.8717000609,-0.0646253,0.00992504,0.0,4767.23
8.4673,0.737069700395,-170.494687016,0.10587501525878906,0.9194879531860352,5,3.5213823318481445,98.8058369403,1.519272804260254,0.0619695,2.30789e-08,0.992336,157.37805819511414,-0.0198243048968,43,-288.244451893,-457.591497115,-16.1376976614,-0.0619694,0.00990743,0.0,4756.66
8.46364,0.762940212098,5.29238852598,0.10177135467529297,0.9217116832733154,5,3.546907901763916,97.4252811462,1.5136327743530273,0.0601669,-6.19888e-09,0.991731,160.92838430404663,-0.0193046426202,44,-135.131686843,-268.635856162,-29.1327751852,-0.0601669,0.00990893,0.0,4739.27
8.46444,0.774460427935,-180.277462587,0.11317157745361328,0.9179015159606934,5,3.526533603668213,59.5834464,1.4890971183776855,0.0612707,-1.52588e-09,0.991868,164.5713348388672,-0.0300505703663,45,-269.746618536,-338.724991029,-14.5612391364,-0.0612707,0.00993199,0.0,4743.09
8.45185,0.752457486821,-31.9837923042,0.10391449928283691,0.9371380805969238,5,3.58091402053833,84.3950495666,1.5448615550994873,0.0488934,1.33514e-09,0.989785,168.1561996936798,0.414741044135,46,-191.774339018,-276.496304275,-5.7270136832,-0.0488934,0.00641002,0.0,4683.74
8.445,0.780878378211,-52.3748402361,0.1056966781616211,0.9425835609436035,5,3.535614013671875,103.717679234,1.4864919185638428,0.0580798,1.33514e-09,0.988662,171.69558763504028,0.103896847954,47,-169.341209986,-317.691820131,-4.65334741864,-0.0580798,0.00992819,0.0,4651.76
8.45012,0.803572959852,-139.1771176,0.10409140586853027,0.9320778846740723,5,3.567317247390747,109.606128311,1.5060079097747803,0.0650958,1.5831e-08,0.989515,175.37966299057007,-1.7773543745,48,-240.640560603,-452.803618146,-28.0329879627,-0.0650958,0.00981736,0.0,4675.63
8.45965,0.795513190628,-60.0332651446,0.10440993309020996,0.9333367347717285,5,3.5444772243499756,74.2990788976,1.5041494369506836,0.0639573,-1.33514e-09,0.991091,178.92729306221008,0.277285205053,49,-194.612439981,-274.410408384,-13.811955066,-0.0639573,0.0099991,0.0,4720.42
8.46167,0.742708648208,-207.197849238,0.10370635986328125,0.9075984954833984,5,3.5104804039001465,92.1678938811,1.5066156387329102,0.064208,2.27928e-08,0.991423,182.44116640090942,0.0224026089184,50,-328.353962536,-447.446062312,-30.9113595378,-0.064208,0.00993766,0.0,4729.95
8.46079,0.780368821413,39.3391667373,0.10644030570983887,0.9115467071533203,5,3.5153777599334717,127.713108981,1.487273931503296,0.062409,5.34058e-09,0.991279,186.07299709320068,-0.175810043017,51,-182.783549612,-340.430485786,-8.83408332769,-0.062409,0.00987381,0.0,4725.78
8.45756,0.765205671924,-207.996295123,0.10782408714294434,0.9301109313964844,5,3.6043057441711426,44.6485166214,1.5575599670410156,0.0501722,1.48773e-08,0.990743,189.68026041984558,0.022006631182,52,-262.044585401,-328.423895942,-6.25088774549,-0.0501721,0.00646322,0.0,4710.54
8.4595,0.815983341176,-70.2891978579,0.10254740715026855,0.9107077121734619,5,3.548921823501587,47.7188801973,1.5358235836029053,0.0635704,7.43866e-09,0.991063,193.23262453079224,-0.26178170827,53,-126.397522529,-193.831550871,0.181356765997,-0.0635704,0.00984493,0.0,4719.72
8.45116,0.788380274198,-139.292065388,0.10583138465881348,0.9115993976593018,5,3.5230281352996826,36.2894623467,1.512620210647583,0.0511546,-2.19345e-09,0.989692,196.86903882026672,-0.134507952906,54,-189.378664829,-250.898921642,-9.71248338127,-0.0511546,0.00643815,0.0,4680.49
8.45293,0.802771249642,-84.5846258754,0.10044646263122559,0.9118349552154541,5,3.5472216606140137,45.5384868015,1.5099334716796875,0.0508861,-1.35899e-08,0.989981,200.41918063163757,-0.229570401127,55,-125.397409397,-196.789612382,-10.4654239381,-0.0508861,0.00644814,0.0,4688.81
8.45138,0.798022457208,-100.069472545,0.10279297828674316,0.8980274200439453,5,3.524916648864746,103.305123554,1.4885401725769043,0.0636122,-1.06812e-08,0.989728,203.94844794273376,0.238326003096,56,-224.06043767,-401.486949459,-6.85138617448,-0.0636122,0.00992702,0.0,4681.52
8.45154,0.783674421222,-21.7220531353,0.10958743095397949,0.9206268787384033,5,3.5343332290649414,87.4996484857,1.5114271640777588,0.0595965,-6.10352e-09,0.989748,207.59824681282043,0.472309029861,57,-176.101230229,-277.797323738,-3.76150427507,-0.0595965,0.00985919,0.0,4682.28
8.45453,0.767981053657,-19.2440675641,0.10031938552856445,0.9128186702728271,5,3.511159896850586,84.960844718,1.5121164321899414,0.0588955,1.83105e-08,0.99024,211.1128602027893,0.106219444923,58,-163.377442734,-249.936679472,-3.86750413485,-0.0588955,0.00993448,0.0,4696.3
8.45148,0.777420496602,-98.5189269619,0.09963154792785645,0.8955860137939453,5,3.5395190715789795,35.7068155647,1.5014839172363281,0.0634909,-2.47955e-09,0.989734,214.6557765007019,0.136799948184,59,-145.452298092,-194.470635641,-9.47770732339,-0.0634909,0.0099646,0.0,4682.02
8.44498,0.785736198488,124.468340325,0.1073911190032959,0.9153335094451904,5,3.571690559387207,167.882280451,1.526615858078003,0.0612312,-1.90735e-08,0.98867,218.34245777130127,0.283862623253,60,-55.3929426146,-344.487141177,-0.956901723556,-0.0612312,0.00999923,0.0,4651.67
8.44467,0.781223408516,-33.5772575816,0.10405731201171875,0.9204249382019043,5,3.5495517253875732,79.325354417,1.5356419086456299,0.0610691,2.40326e-08,0.988607,221.89523434638977,0.0919669598261,61,-107.586724746,-251.253099411,-13.5205424932,-0.061069,0.00980194,0.0,4650.23
8.44756,0.784679297164,-35.3465690682,0.10068607330322266,0.923426628112793,5,3.5349440574645996,72.8131671721,1.509016513824463,0.0629484,9.91821e-09,0.989075,225.43387603759766,0.00578269867482,62,-117.184524089,-229.376689479,9.28827172697,-0.0629484,0.00998691,0.0,4663.69
8.43893,0.787459403546,-87.3934444217,0.1028139591217041,0.9158108234405518,5,3.5348403453826904,44.8726106101,1.5219359397888184,0.0601696,3.01361e-08,0.987663,229.08483481407166,0.0866934645431,63,-144.138451653,-219.737975192,-13.4431305547,-0.0601696,0.00995943,0.0,4623.59
8.42337,0.794898626358,43.8851587748,0.10126399993896484,0.928297758102417,5,3.5494823455810547,96.5474866602,1.5261366367340088,0.0599006,-8.96454e-09,0.985098,232.63718461990356,0.00493279606855,64,-109.898538979,-202.673309458,-24.0883477909,-0.0599006,0.0098518,0.0,4552.22
8.42349,0.785260617797,-22.5042950547,0.10912489891052246,0.9434123039245605,5,3.6033239364624023,78.6432927333,1.530245304107666,0.0495322,-1.77383e-08,0.985116,236.24480414390564,0.0619200546741,65,-101.24404476,-227.779146101,-19.0432748812,-0.0495322,0.00641152,0.0,4552.76
8.42104,0.721080341566,-43.8834462917,0.10485553741455078,0.9012384414672852,5,3.509864091873169,72.1942549619,1.5046875476837158,0.0689322,-4.05788e-08,0.984728,239.87146520614624,-0.498851121926,66,-137.4267985,-258.252894477,-8.81295097173,-0.0689322,0.00997026,0.0,4541.64
8.40924,0.787930672737,44.2962104262,0.09799599647521973,1.0082197189331055,5,3.603879928588867,115.776821601,1.4970505237579346,0.047495,-2.24113e-09,0.982791,243.4797065258026,0.161053767754,67,-123.913444327,-301.083703315,-13.500744609,-0.047495,0.00645421,0.0,4488.35
8.39836,0.794495760871,0.584388011353,0.10858511924743652,0.9164688587188721,5,3.6939680576324463,78.0133572754,1.5291235446929932,0.0600707,-3.66211e-08,0.981005,247.17791557312012,-0.0188870353829,68,-91.0516123054,-186.433233793,-28.5965436248,-0.0600708,0.00996526,0.0,4439.78
8.39211,0.781101641452,84.5681805311,0.11124110221862793,0.9338877201080322,5,3.5727336406707764,139.360145817,1.5271120071411133,0.0640786,-1.41144e-08,0.979995,250.86336851119995,0.0275370633188,69,-135.339160805,-348.59797812,-6.99566354965,-0.0640786,0.00994026,0.0,4412.13
8.39026,0.802807769702,43.4268050911,0.10803580284118652,0.8978195190429688,5,3.578469753265381,78.6633986208,1.5608065128326416,0.0611705,-1.99318e-08,0.979693,254.44620633125305,0.0673524975407,70,-87.4986094326,-187.350622898,0.61686949343,-0.0611706,0.00998537,0.0,4403.95
8.38872,0.803928698142,-60.1259901599,0.10757017135620117,0.888916015625,5,3.5086472034454346,80.1481548024,1.5002167224884033,0.0605989,-2.04563e-08,0.979445,257.9581866264343,0.146891118134,71,-155.023875997,-303.01266688,-17.0625733984,-0.0605989,0.0099722,0.0,4397.18
8.38063,0.76027799936,-109.45767249,0.11046719551086426,0.9076275825500488,5,3.524693012237549,25.8187359913,1.4966328144073486,0.0637788,-1.39236e-08,0.978128,261.60243010520935,-0.310133686641,72,-142.423914253,-183.335721226,-24.8029323723,-0.0637788,0.00991525,0.0,4361.76
8.38558,0.779142834353,-42.115072825,0.10587430000305176,0.9073731899261475,5,3.5183918476104736,76.6064635715,1.5087041854858398,0.0517685,-1.52588e-09,0.978932,265.125084400177,0.107671363837,73,-128.386176348,-231.435508611,-0.580514781077,-0.0517685,0.00642699,0.0,4383.38
8.38289,0.779646547666,-47.2550826512,0.10505533218383789,0.8963212966918945,5,3.5985257625579834,105.647785977,1.5154659748077393,0.0510039,1.73569e-08,0.978517,268.7276132106781,0.102421262587,74,-144.269968944,-317.953863187,-9.51323768016,-0.0510039,0.00643713,0.0,4371.61
8.37132,0.777670288049,-44.4191806305,0.10362029075622559,0.8630082607269287,5,3.5637762546539307,20.5729195206,1.4995510578155518,0.057222,-7.24792e-09,0.976644,272.4141299724579,-0.0829780532184,75,-76.2104573535,-95.1723260682,-12.5103826054,-0.057222,0.00991213,0.0,4321.32
8.38146,0.765090648646,-51.0906000507,0.10234785079956055,0.870175838470459,5,3.5034782886505127,62.2203019585,1.5196452140808105,0.0628374,-6.48499e-09,0.978302,275.92059803009033,0.14939316483,76,-111.659194183,-189.087388739,-28.1553712253,-0.0628374,0.00986335,0.0,4365.39
8.38838,0.8001108187,21.1197099072,0.10827827453613281,0.8771243095397949,5,3.5341689586639404,109.287835791,1.5116608142852783,0.0503644,9.91821e-09,0.979462,279.45776653289795,0.420161663965,77,-142.604604683,-278.066074714,-3.54734995988,-0.0503644,0.00643718,0.0,4395.67
8.38122,0.785132184456,32.9777118908,0.10895299911499023,0.8717222213745117,5,3.5195882320404053,91.8274418379,1.5102715492248535,0.0490205,1.39236e-08,0.978299,283.10352873802185,0.204978031575,78,-128.509918111,-225.710305466,-13.8713363837,-0.0490204,0.0064129,0.0,4364.31
8.37979,0.786856522852,-64.393709137,0.10906052589416504,0.8925719261169434,5,3.510160446166992,39.2092133902,1.5061039924621582,0.0595948,-6.10352e-09,0.978067,286.61802339553833,0.150031520007,79,-116.216300316,-175.026751904,-18.5758903877,-0.0595948,0.00992458,0.0,4358.07
8.37152,0.772747733414,-24.8610599417,0.11028432846069336,0.8813819885253906,5,3.561715602874756,132.149640384,1.514880895614624,0.0479668,-2.44141e-08,0.976711,290.18407678604126,-1.76133357726,80,-158.697210859,-348.998288639,-6.34553515479,-0.0479669,0.00643644,0.0,4322.22
8.36587,0.796981221329,-13.6626240572,0.11000442504882812,0.8845810890197754,5,3.53228759765625,62.4415749238,1.5200881958007812,0.0614038,-1.69754e-08,0.975782,293.83893299102783,0.122787527351,81,-71.3339343873,-171.389294147,-16.6272085956,-0.0614038,0.00996745,0.0,4297.87
8.35769,0.699408322283,67.7471142398,0.10088014602661133,0.8999173641204834,5,3.5875675678253174,164.643129292,1.5047564506530762,0.0536063,2.21252e-08,0.974457,297.4307870864868,-1.00848425437,82,-77.0121652268,-385.529880768,-9.78836141475,-0.0536063,0.00643107,0.0,4262.84
8.35498,0.775387157991,55.7837414298,0.10712075233459473,0.8827493190765381,5,3.556135654449463,103.709826473,1.5061724185943604,0.046906,-1.50681e-08,0.974031,300.99142932891846,-0.186874216603,83,-19.4300649446,-223.286764013,-1.30325843661,-0.046906,0.00643693,0.0,4251.3
8.3529,0.782591889376,150.764780193,0.10150742530822754,0.8692257404327393,5,3.5669267177581787,70.5236702906,1.4982142448425293,0.0491321,1.90735e-10,0.973683,304.6797113418579,0.0996676242391,84,37.7139002209,-37.3079809875,1.26104317251,-0.0491321,0.0064775,0.0,4242.46
8.3372,0.758117429627,61.4609906209,0.1057732105255127,0.8663430213928223,5,3.52569317817688,63.0069365357,1.4883766174316406,0.0620643,-1.81198e-08,0.971163,308.208753824234,-0.128948293366,85,5.34641273926,-114.642258427,-19.3438677868,-0.0620643,0.00996886,0.0,4176.39
