Iteration,AverageQLoss,AbsLearnSignal,ProcessExecTime,dLoss,Time,AverageReturn,AverageAbsQYDiff,PolicyExecTime,AverageDiscountedReturn,MinReturn,AverageY,AveragePolicyStd,LossBefore,MeanKLBefore,AverageAbsQ,AbsLearnSignalNew,NumTrajs,LossAfter,Perplexity,MaxReturn,AbsLearnSignalOld,EnvExecTime,AverageQ,ExplainedVariance,Entropy,StdReturn,ItrTime,MeanKL,AverageAbsY
10,57.4669,0.694546110738,0.1452958583831787,0.362732,708.4664790630341,188.870241849,5.49110072781,1.1539554595947266,153.186439082,80.9174353412,86.2055749982,1.00035,-97.002,0.0,86.2101,0.694546110738,127,-97.3647,3.01015e+10,566.920228456,0.696296554796,8.278376817703247,86.1937,0.139640357125,24.1278,65.5170052459,64.8439531326294,0.00641473,86.2085018395
11,63.2957,0.308259639794,0.1456754207611084,0.348221,773.5023517608643,199.572958698,5.74146470999,1.146944284439087,160.255460439,83.1525288211,92.4158043123,1.00037,-101.774,0.0,92.4171,0.308259639794,121,-102.122,3.01101e+10,416.432867231,0.308618545783,8.276785850524902,92.4008,-4.37062951845,24.1281,67.7053236008,64.90072417259216,0.00641341,92.4178314612
12,69.717,0.721972838946,0.14323925971984863,0.362831,838.2244606018066,222.917161143,5.98580833706,1.1423683166503906,174.610542227,77.1386720465,99.0683232546,1.00032,-110.51,0.0,99.0694,0.721972838946,109,-110.873,3.00867e+10,477.641298489,0.722235081805,8.295374870300293,99.0536,0.201483405186,24.1273,78.1695645368,64.58978605270386,0.00644056,99.0709458687
13,73.9834,0.44159768212,0.13952112197875977,0.336472,901.9821276664734,225.72651843,6.12735226067,1.1178929805755615,175.690965507,80.2711910795,105.262210328,1.00027,-118.627,0.0,105.264,0.44159768212,107,-118.964,3.00627e+10,466.433588359,0.440840036714,8.227690935134888,105.249,-0.96679777903,24.1266,84.2237825904,63.62571334838867,0.00643932,105.26355737
14,80.9913,0.643576125114,0.14324593544006348,0.319611,966.6384246349335,251.546768222,6.36783156284,1.160550832748413,191.853708751,92.8692570272,111.671398623,1.00025,-121.561,0.0,111.671,0.643576125114,96,-121.88,3.00526e+10,528.500156524,0.645255025367,8.486087560653687,111.658,-0.00785036714015,24.1262,80.466318015,64.53352451324463,0.00642548,111.673630143
15,85.3427,0.629240411461,0.14091897010803223,0.344879,1030.6192843914032,256.814823002,6.5398923344,1.1476390361785889,194.461404997,82.1417806053,117.678812611,1.00024,-131.692,0.0,117.681,0.629240411461,95,-132.036,3.00437e+10,534.520199449,0.630602862244,8.334832668304443,117.668,-0.153308428098,24.1259,90.2696103186,63.85643148422241,0.00641368,117.680375959
16,92.1531,0.157438929229,0.1445167064666748,0.42598,1094.9713153839111,261.107406598,6.75922661318,1.18204665184021,196.763224626,86.6306271646,123.627400478,1.0002,-134.304,0.0,123.629,0.157438929229,93,-134.73,3.00279e+10,488.611811401,0.157681172049,8.593085765838623,123.614,-162.253346999,24.1254,87.9895762137,64.22841048240662,0.00971668,123.629053098
17,98.1292,0.556195146326,0.14295601844787598,0.339249,1158.911591053009,295.000110749,6.94159572144,1.1795482635498047,216.659468894,104.536577663,130.129177206,1.00018,-142.707,0.0,130.131,0.556195146326,83,-143.047,3.00128e+10,550.091826738,0.556570985624,8.730507850646973,130.113,-0.140051095399,24.1249,88.6813327341,63.81733465194702,0.00641474,130.131053772
18,106.819,0.435915672879,0.1438121795654297,0.429962,1223.191778421402,304.970300343,7.237487685,1.162874698638916,221.55225754,149.553363785,136.952541416,1.00017,-149.525,0.0,136.961,0.435915672879,80,-149.955,3.00083e+10,553.63699719,0.435438445703,8.613979578018188,136.943,-1.07916389897,24.1247,91.5192964423,64.1555540561676,0.00999001,136.95428132
19,115.096,0.164815606908,0.1443178653717041,0.357269,1288.1776056289673,299.977834907,7.51707432135,1.2184362411499023,219.573008882,112.415477383,143.741519126,1.00018,-155.923,0.0,143.747,0.164815606908,82,-156.28,3.00148e+10,548.405922132,0.164618665881,8.891538858413696,143.727,-47.1494630564,24.125,87.3989689284,64.85918354988098,0.00642555,143.74446902
20,123.78,0.291650300702,0.1484055519104004,0.340607,1352.5272710323334,302.225958875,7.7794288299,1.2197391986846924,220.533282114,78.3006008866,150.793272875,1.00017,-164.286,0.0,150.8,0.291650300702,81,-164.626,3.00115e+10,557.015462304,0.290625499476,9.043468475341797,150.778,-4.30286730686,24.1248,85.8906085129,64.22606468200684,0.00641702,150.796540642
21,129.739,0.168576001411,0.14442753791809082,0.420761,1417.5880386829376,329.443303046,7.95156601525,1.2202999591827393,234.925889441,92.3984724152,157.53170452,1.00017,-171.078,0.0,157.543,0.168576001411,74,-171.499,3.00097e+10,552.790200174,0.168816056125,9.031190156936646,157.518,-15.6186344216,24.1248,87.0919099533,64.93327355384827,0.00997004,157.535031219
22,137.734,0.363665128741,0.1414639949798584,0.322052,1480.84002327919,343.243069854,8.20771302134,1.1936392784118652,238.869027179,113.492383674,164.216042902,1.0002,-177.648,0.0,164.226,0.363665128741,72,-177.97,3.0026e+10,1078.87161894,0.362753675732,9.03073000907898,164.202,-3.35626099066,24.1253,129.130360805,63.12229371070862,0.00645319,164.220830145
23,145.295,0.680023881972,0.1378164291381836,0.321259,1543.151507139206,376.351818969,8.44045838482,1.1583056449890137,255.046600755,160.695948693,170.704390258,1.00021,-187.587,0.0,170.713,0.680023881972,66,-187.908,3.00298e+10,845.693103137,0.680053188158,8.909209966659546,170.686,-0.212817189562,24.1255,126.619971497,62.18921113014221,0.00641924,170.709086916
24,150.801,0.470687339011,0.13837552070617676,0.287949,1606.5752110481262,350.491183798,8.61149236129,1.15962553024292,244.721410712,108.866418931,177.025554555,1.00017,-196.264,0.0,177.034,0.470687339011,71,-196.551,3.00079e+10,690.723009543,0.469435158118,8.92637825012207,177.005,-1.75923685688,24.1247,103.429620896,63.29625153541565,0.0064026,177.033492236
25,161.146,0.645653689041,0.13891959190368652,0.260925,1669.5726969242096,358.030360375,8.78617456585,1.18986177444458,248.69334881,175.12086162,182.626812024,1.00017,-198.516,0.0,182.642,0.645653689041,68,-198.777,3.00107e+10,749.617385292,0.64514746904,9.04593563079834,182.602,0.400127758559,24.1248,100.403461527,62.873093366622925,0.00641016,182.633351406
26,158.172,0.717146357948,0.14733219146728516,0.223251,1733.7840270996094,350.779996641,8.86094603424,1.2048137187957764,245.213726694,169.319155356,187.715743682,1.00018,-195.538,0.0,187.729,0.717146357948,73,-195.762,3.00132e+10,667.24917993,0.716859755557,9.305482387542725,187.696,0.433071239904,24.1249,106.396294714,64.08197951316833,0.00641427,187.722937414
27,160.777,0.657658856583,0.14301657676696777,0.256912,1797.9435527324677,341.793928298,8.92481236175,1.1980502605438232,243.890675631,189.273302585,192.246756252,1.00019,-204.539,0.0,192.253,0.657658856583,74,-204.796,3.00221e+10,507.682097655,0.655516143225,9.335610389709473,192.222,0.431066562158,24.1252,63.5327005884,64.0354905128479,0.00997143,192.253605516
28,163.041,0.706854721592,0.14266419410705566,0.187347,1861.7242119312286,330.502065967,8.95635421229,1.2016217708587646,237.099488078,137.026390468,196.217879313,1.00017,-202.346,0.0,196.227,0.706854721592,76,-202.534,3.00102e+10,575.891266616,0.705168496468,9.287973880767822,196.197,0.594843411568,24.1248,84.3321441159,63.65801286697388,0.00641625,196.223171109
29,163.651,0.661689774992,0.14444994926452637,0.231873,1925.8798785209656,353.87550899,8.98013207793,1.2381384372711182,248.868567085,216.0896034,199.011888532,1.0002,-202.37,0.0,199.019,0.661689774992,71,-202.602,3.00252e+10,572.411209738,0.659724879189,9.526631832122803,198.989,0.465053074639,24.1253,84.6258223102,64.0300977230072,0.00997217,199.018247171
30,165.709,0.570797316497,0.14234542846679688,0.180695,1990.8114700317383,361.259252262,9.04105023772,1.2120537757873535,252.944939507,171.225326852,200.502530574,1.00017,-206.561,0.0,200.508,0.570797316497,70,-206.742,3.00088e+10,542.309812206,0.568241091984,9.583357572555542,200.48,0.0701336819465,24.1248,77.26925535,64.80603051185608,0.00641514,200.506869439
31,167.134,0.582830278268,0.1419816017150879,0.179077,2056.1870861053467,352.234975695,9.07118967964,1.2223577499389648,246.135237793,82.1116105112,201.663108984,1.00009,-201.392,0.0,201.668,0.582830278268,71,-201.571,2.99704e+10,637.320894094,0.581906827468,9.43828010559082,201.639,-0.0410703304235,24.1235,104.529477202,65.25207996368408,0.00642468,201.667218339
32,168.127,0.520871465482,0.1411149501800537,0.226593,2122.160662174225,363.150415583,9.10422037179,1.1951220035552979,252.940139829,210.486988264,201.964402869,1.00007,-203.767,0.0,201.968,0.520871465482,69,-203.994,2.99588e+10,671.853994622,0.519659593888,9.374650239944458,201.937,0.192419839644,24.1231,85.0420004018,65.83822965621948,0.00999408,201.969182197
33,167.9,0.083943036891,0.13907504081726074,0.215134,2188.351348400116,367.665667977,9.10638442797,1.1828076839447021,254.381802713,215.665787534,201.843198805,1.00009,-199.766,0.0,201.851,0.083943036891,68,-199.981,2.99689e+10,676.300936205,0.0839036169916,9.31903600692749,201.819,-807.440587449,24.1234,98.19095064,66.05546832084656,0.0099186,201.849363573
34,172.87,0.409955775135,0.1426713466644287,0.185577,2253.8762679100037,350.010287984,9.186531636,1.2121310234069824,247.469055424,217.847445151,201.281155113,1.00009,-204.137,0.0,201.282,0.409955775135,72,-204.322,2.99675e+10,557.176939589,0.408782921976,9.431245803833008,201.25,-0.30037683471,24.1234,78.8635252777,65.38819670677185,0.00994057,201.286936769
35,169.951,0.622464675614,0.14216303825378418,0.171036,2319.5061571598053,377.812249639,9.16854992512,1.2052202224731445,257.655815709,207.68441297,200.881381141,1.00011,-199.481,0.0,200.883,0.622464675614,65,-199.652,2.99815e+10,678.289606773,0.622252357182,9.409065246582031,200.853,0.357052853137,24.1238,106.510050846,65.51023507118225,0.0098859,200.886760122
36,171.005,0.510480035372,0.14411330223083496,0.173553,2386.1581535339355,363.163154835,9.15278977075,1.2277164459228516,252.584053245,204.338080672,199.705825134,1.00022,-203.038,0.0,199.715,0.510480035372,69,-203.212,3.0038e+10,587.141567309,0.509260356333,9.607689619064331,199.679,-0.352351661985,24.1257,91.3666846963,66.5259759426117,0.00980991,199.71244589
37,167.737,0.529390527756,0.13976502418518066,0.169785,2452.791820049286,376.436722371,9.03608215067,1.1935019493103027,256.364288759,180.922157455,198.158470167,1.00012,-195.264,0.0,198.164,0.529390527756,65,-195.433,2.99869e+10,883.159320175,0.528945920498,9.359709739685059,198.129,-0.0613361421064,24.124,111.571342485,66.49758243560791,0.00993423,198.165426655
38,165.374,0.463551243403,0.14201760292053223,0.128677,2519.539625644684,378.047512909,8.95694846089,1.197843074798584,258.35628545,217.009343705,196.996214252,1.0002,-195.712,0.0,197.008,0.463551243403,65,-195.841,3.00257e+10,671.600358418,0.46326922391,9.445954084396362,196.97,-1.72366119166,24.1253,100.159776556,66.61657524108887,0.00642251,197.002905568
39,164.454,0.529874554263,0.14792537689208984,0.156921,2587.6672542095184,416.41047555,8.91675158943,1.2837088108062744,273.495349472,220.092510994,195.486026089,1.00017,-189.195,0.0,195.494,0.529874554263,59,-189.352,3.00111e+10,845.498822269,0.529750198325,9.959896326065063,195.456,-0.287966481607,24.1248,120.962098207,67.98668193817139,0.00986157,195.491329361
40,159.533,0.128839538295,0.1465761661529541,0.167999,2654.6378498077393,390.273778697,8.77107380564,1.2497386932373047,264.137920716,235.450111546,194.013817641,1.00014,-191.842,0.0,194.023,0.128839538295,63,-192.01,2.99969e+10,625.023099555,0.128738432123,9.681077480316162,193.987,-152.518920605,24.1244,89.6351089135,66.8364143371582,0.0097589,194.020055224
41,153.262,0.247994504697,0.14447903633117676,0.134338,2722.6374287605286,414.651358461,8.5917662629,1.2388725280761719,275.122366354,255.675271903,192.9994296,1.00029,-195.337,0.0,193.011,0.247994504697,61,-195.471,3.00712e+10,797.456357359,0.247790359215,9.614189386367798,192.972,-2.21062188897,24.1268,112.953911924,67.86382603645325,0.00955219,193.006088222
42,147.878,0.132420527123,0.14282488822937012,0.1297,2786.935599088669,420.171725367,8.44721080332,1.2043211460113525,275.138308265,227.371897847,191.787446813,1.00025,-189.513,0.0,191.791,0.132420527123,58,-189.643,3.00482e+10,831.689039534,0.132412548273,9.417484521865845,191.758,-2442.39144848,24.1261,126.808685918,64.17169737815857,0.00911222,191.793758157
43,142.749,0.0879608166954,0.13770532608032227,0.14415,2851.1961736679077,421.472819876,8.30434266103,1.161926507949829,278.875511343,213.990320525,190.128844022,1.00022,-197.214,0.0,190.138,0.0879608166954,59,-197.358,3.00379e+10,687.587713248,0.0879624301987,9.122258424758911,190.108,-820.012361677,24.1257,93.1499970582,64.14237761497498,0.00947775,190.134513219
44,138.704,0.485657751818,0.1410682201385498,0.123077,2914.9307577610016,393.769004067,8.20942641175,1.1871819496154785,264.514287282,196.050648345,189.356763789,1.00033,-186.562,0.0,189.36,0.485657751818,62,-186.685,3.00932e+10,756.842991555,0.485666196025,9.297290086746216,189.333,-0.0889058677841,24.1276,108.874051065,63.60123109817505,0.0098308,189.360490663
45,141.223,0.307341414106,0.13905048370361328,0.0949402,2978.8814821243286,423.000346547,8.24654255947,1.1673202514648438,279.226560252,217.673680952,188.213244648,1.0003,-183.712,0.0,188.211,0.307341414106,59,-183.807,3.00767e+10,690.12091549,0.307017080311,9.259585857391357,188.185,-3.84479328715,24.127,98.118475012,63.82788872718811,0.0074789,188.216892714
46,135.617,0.620279975489,0.14037060737609863,0.0922394,3042.601345539093,421.126273895,8.0779700851,1.1687591075897217,279.198414186,244.489511778,186.584629971,1.00035,-185.411,0.0,186.581,0.620279975489,60,-185.503,3.01033e+10,683.566858235,0.619494683925,9.204395532608032,186.556,0.291198518236,24.1279,100.779293889,63.59747529029846,0.00648679,186.587591544
47,130.656,0.223891716776,0.13713860511779785,0.124802,3105.9514961242676,418.651364509,7.95082164453,1.1720061302185059,276.093439674,208.276964512,185.890792776,1.00011,-190.463,0.0,185.893,0.223891716776,60,-190.587,2.99782e+10,1069.6060783,0.223844237767,9.210161447525024,185.869,-9.78785437949,24.1237,124.210240091,63.22779393196106,0.00636667,185.8928464
48,131.603,0.656925305068,0.13716912269592285,0.149155,3169.3956184387207,424.689553118,7.95256060601,1.1663248538970947,280.292458235,246.098801168,185.983634184,1.0001,-186.741,0.0,185.98,0.656925305068,59,-186.891,2.99754e+10,725.809634441,0.656391592552,9.150625705718994,185.955,0.330803145554,24.1236,104.582411394,63.32029175758362,0.00974917,185.986638286
49,134.449,0.325120823953,0.14241528511047363,0.113159,3233.29678440094,410.501616823,7.98778418832,1.1983158588409424,273.42134177,248.392041729,186.504360317,1.00015,-192.642,0.0,186.51,0.325120823953,61,-192.755,3.00009e+10,721.132353375,0.324800904504,9.404223680496216,186.48,-2.2303067502,24.1245,107.116155012,63.77485537528992,0.00959476,186.508915959
50,132.477,0.374530752951,0.14382338523864746,0.122559,3298.4271183013916,417.977733226,7.94147425731,1.2307007312774658,277.364371531,229.456928672,186.413397125,1.00017,-188.806,0.0,186.42,0.374530752951,60,-188.928,3.00101e+10,852.535181658,0.374318046621,9.63118314743042,186.388,-1.57542111161,24.1248,107.434108249,65.0002818107605,0.00767632,186.419023691
51,129.96,0.47090343407,0.14343690872192383,0.107437,3363.0096118450165,398.539776584,7.86630762667,1.2136189937591553,269.211302519,267.08568228,186.763514728,1.0002,-188.641,0.0,186.78,0.47090343407,64,-188.748,3.00244e+10,713.537319036,0.470893392875,9.51003098487854,186.744,-0.64156198403,24.1253,99.835107344,64.45731782913208,0.00885405,186.771414011
52,126.257,0.706326794664,0.14107298851013184,0.130157,3428.1322741508484,401.180121975,7.74820189665,1.2041425704956055,269.832477023,183.874236191,186.704413265,1.00037,-191.245,0.0,186.716,0.706326794664,62,-191.375,3.01111e+10,822.471736656,0.706822105348,9.55361795425415,186.682,0.446444521774,24.1282,101.614798234,64.99781513214111,0.0099689,186.710158295
53,125.883,0.436561819438,0.14452075958251953,0.120636,3493.290946960449,413.554250292,7.7110523045,1.235001564025879,276.039471668,253.350185236,187.099841052,1.00019,-191.273,0.0,187.118,0.436561819438,61,-191.393,3.00185e+10,649.549714592,0.436115836107,9.507713079452515,187.081,-0.589763891909,24.1251,94.4823121225,65.03086042404175,0.00993941,187.109020215
54,124.308,0.602275825251,0.14400267601013184,0.0823975,3558.844059228897,414.877346713,7.70343033381,1.2099106311798096,277.673769627,274.259496081,188.017091467,1.0003,-193.947,0.0,188.029,0.602275825251,61,-194.029,3.00739e+10,633.508023996,0.601892823142,9.583600997924805,187.994,0.439420624993,24.1269,75.5888590108,65.41647362709045,0.00656704,188.024247573
55,122.427,0.343329761807,0.14307522773742676,0.112289,3624.525460958481,423.739716029,7.63566130655,1.20849609375,279.126459964,281.142326471,187.596810854,1.00022,-196.11,0.0,187.612,0.343329761807,59,-196.222,3.00326e+10,958.419787586,0.343085104796,9.6957688331604,187.579,-1.29805401101,24.1255,115.639902681,65.55494689941406,0.0095326,187.602131302
56,121.079,0.683689907217,0.14066600799560547,0.108856,3690.4484770298004,434.251221633,7.58726248704,1.2421460151672363,284.415472244,269.756856275,187.786015479,1.00054,-189.919,0.0,187.795,0.683689907217,58,-190.028,3.0198e+10,760.447964862,0.683349496982,9.74153184890747,187.767,0.254436033621,24.131,96.9511585873,65.79032182693481,0.0097643,187.790955257
57,117.613,0.552223044399,0.13949847221374512,0.111359,3755.210979938507,417.492274757,7.49870402066,1.1853113174438477,278.316386873,235.129064787,188.570856506,1.00024,-193.978,0.0,188.584,0.552223044399,61,-194.089,3.00453e+10,704.843243302,0.55183121604,9.306105852127075,188.553,0.293235699739,24.126,92.7237678725,64.6356463432312,0.009678,188.577441598
58,116.048,0.562568681176,0.14331889152526855,0.119736,3821.734614610672,438.495190103,7.45577817356,1.240189790725708,284.123349659,266.338873653,188.997316052,1.00011,-193.809,0.0,189.011,0.562568681176,58,-193.928,2.9979e+10,990.486210231,0.562700703466,9.614821195602417,188.981,-0.46071958539,24.1238,129.341116756,66.39258217811584,0.00998274,189.003038321
59,115.719,0.608943452582,0.1431422233581543,0.112213,3886.1326746940613,412.621226268,7.43073666763,1.2351903915405273,275.26812392,271.424346949,188.747863391,1.00017,-190.296,0.0,188.761,0.608943452582,61,-190.408,3.0009e+10,755.42508521,0.60927640996,9.682218313217163,188.731,0.0161945054934,24.1248,100.402368465,64.26622724533081,0.00990585,188.753234937
60,117.415,0.667520370957,0.13881850242614746,0.113052,3951.381181240082,415.36001198,7.46377000756,1.1909592151641846,276.155184567,264.925004704,189.619835659,1.00025,-187.401,0.0,189.635,0.667520370957,60,-187.514,3.00477e+10,938.217539211,0.667403957935,9.368922472000122,189.6,0.249982681828,24.1261,105.113575765,65.12469172477722,0.00998182,189.626196328
61,118.597,0.0592608765583,0.1396481990814209,0.0608673,4017.297943353653,428.269102547,7.49873459506,1.1652870178222656,282.486110115,233.305659721,190.323879163,1.00021,-194.305,0.0,190.347,0.0592608765583,59,-194.366,3.00295e+10,684.861028014,0.0592397938065,9.13321828842163,190.308,-726.193823697,24.1254,96.4408497893,65.79265117645264,0.00546764,190.331563673
62,116.336,0.645768171521,0.1458570957183838,0.109818,4084.107811689377,414.182851163,7.42629095022,1.244774341583252,276.071201873,245.377669911,190.110360529,1.00025,-193.232,0.0,190.137,0.645768171521,61,-193.342,3.00504e+10,768.218192872,0.645403903256,9.826858043670654,190.096,0.327827192468,24.1261,99.3826343142,66.67488861083984,0.00990532,190.118241265
63,116.786,0.678922877788,0.14563322067260742,0.102036,4149.924697399139,421.117629796,7.43989249152,1.2664902210235596,279.148112621,291.2700534,190.077260136,1.00014,-182.357,0.0,190.097,0.678922877788,60,-182.459,2.9993e+10,749.419730878,0.679414793665,9.923818349838257,190.059,0.387957834627,24.1242,98.0876300683,65.67966413497925,0.00993688,190.08516946
64,117.043,0.667896028399,0.14163875579833984,0.0998383,4216.919001340866,447.443340091,7.41387060237,1.2159790992736816,288.790387812,277.450181259,190.288456492,0.999883,-193.346,0.0,190.317,0.667896028399,56,-193.446,2.9862e+10,778.163711674,0.668441474764,9.549427032470703,190.273,0.265611107847,24.1199,118.965609448,66.8691394329071,0.00641655,190.299430462
65,113.631,0.691151261664,0.15104365348815918,0.108231,4285.638906478882,427.893680349,7.33708171779,1.3045880794525146,280.957103224,270.597127018,190.271882546,0.999779,-194.783,0.0,190.299,0.691151261664,59,-194.892,2.98092e+10,713.564388782,0.690598655856,9.846176862716675,190.258,0.152811660348,24.1181,107.19050418,68.58695268630981,0.00970173,190.284432112
66,113.876,0.403524115463,0.14490461349487305,0.100601,4353.398792266846,412.109694478,7.31680453589,1.2776410579681396,275.015624666,240.625150634,189.989944485,0.999566,-189.135,0.0,190.022,0.403524115463,61,-189.235,2.97016e+10,652.019057733,0.403335295676,9.568374872207642,189.977,-1.24598622031,24.1145,95.4251725691,67.61841225624084,0.00659975,190.001955506
67,109.549,0.612363055369,0.14756274223327637,0.102737,4422.344708204269,425.291730415,7.21544165894,1.2847673892974854,280.569172698,253.558428277,189.934336766,0.999555,-186.188,0.0,189.959,0.612363055369,59,-186.29,2.96958e+10,901.824582669,0.612377808399,9.69950795173645,189.921,0.127907327183,24.1143,110.855625093,68.79906511306763,0.00993625,189.946017682
68,110.652,0.698015371902,0.14903974533081055,0.119156,4491.130960702896,414.215105273,7.21720269037,1.3330297470092773,276.056981727,264.835896251,189.778734379,0.999539,-184.063,0.0,189.803,0.698015371902,60,-184.182,2.96885e+10,676.51178906,0.69812984455,10.051704168319702,189.762,0.0635140867408,24.114,90.7996209338,68.64629650115967,0.00999988,189.789494034
69,106.129,0.250009897082,0.14115595817565918,0.104156,4557.592842340469,441.054003045,7.07260999197,1.1921370029449463,287.760870923,299.623399245,189.138326854,0.999638,-181.627,0.0,189.17,0.250009897082,57,-181.731,2.97385e+10,700.171275927,0.250024160553,9.371509552001953,189.125,-2.96986021958,24.1157,93.5080608467,66.3305242061615,0.00922509,189.151596435
70,105.116,0.739136782152,0.14470505714416504,0.106216,4624.823174238205,419.45212961,7.03393287126,1.2230033874511719,278.537578065,270.524125243,188.575466276,0.999399,-187.689,0.0,188.608,0.739136782152,59,-187.795,2.96176e+10,802.395648476,0.73876594441,9.551567316055298,188.563,0.483307073413,24.1116,90.9101622157,67.09551692008972,0.0097063,188.587643383
71,106.087,0.672905340884,0.14265203475952148,0.125168,4693.074226140976,408.08029016,7.05053784766,1.2085793018341064,273.261320154,210.840102214,188.180592508,0.999531,-186.307,0.0,188.214,0.672905340884,61,-186.432,2.96837e+10,675.067578943,0.672894105969,9.318613052368164,188.167,0.376169479581,24.1139,91.0451954803,68.12112593650818,0.0099477,188.195485134
72,103.054,0.683689901557,0.1487283706665039,0.102829,4760.235226154327,413.902754363,6.96840221485,1.2834208011627197,276.917259931,269.056276767,187.847985805,0.999502,-184.552,0.0,187.89,0.683689901557,61,-184.654,2.96691e+10,623.459618919,0.68361190342,9.919334650039673,187.833,0.484180012517,24.1134,82.8528775286,67.02957510948181,0.00987871,187.866145099
73,102.484,0.554335183902,0.1469407081604004,0.128891,4829.299235582352,422.306427586,6.93209005251,1.2752304077148438,277.701786199,248.260576146,187.713372134,0.999601,-188.577,0.0,187.753,0.554335183902,60,-188.706,2.97191e+10,807.273611598,0.553641499299,9.895898580551147,187.7,-0.0194451155163,24.1151,120.947079359,68.92011713981628,0.00978653,187.729080259
