LossAfter,AverageAbsY,StdReturn,MinReturn,ItrTime,Entropy,AverageDiscountedReturn,Iteration,NumTrajs,dLoss,AbsLearnSignalNew,LossBefore,AbsLearnSignalOld,PolicyExecTime,MeanKL,AverageAbsQ,AverageReturn,AverageQ,AbsLearnSignal,AverageAbsQYDiff,AverageY,AveragePolicyStd,Time,EnvExecTime,MaxReturn,ProcessExecTime,ExplainedVariance,AverageQLoss,Perplexity,MeanKLBefore
9.77585,10.0262588847,77.9473347974,-461.198810623,39.296558141708374,8.49238,-21.5933948552,10,5,0.0569248,0.773834774982,9.83278,0.77601289572,0.9823894500732422,0.00642626,9.97216,-339.971613781,-9.5997,0.773834774982,1.14139658866,-9.60355876696,0.996465,437.7312617301941,1.5927495956420898,-228.097746502,0.11860179901123047,0.258618777974,2.66336,4877.44,0.0
9.25913,10.3753439863,90.7954252557,-435.654885251,39.65732288360596,8.48629,-28.839723022,11,5,0.0554771,0.777702426552,9.31461,0.778175719217,0.9325263500213623,0.00646559,10.3225,-266.006871586,-9.93013,0.777702426552,1.13981576897,-9.93267438102,0.995456,477.52222633361816,1.5730113983154297,-163.851482085,0.11713171005249023,-0.0531550404629,2.66452,4847.84,0.0
8.96994,10.6494609845,55.9911335616,-310.607343325,39.52379083633423,8.47404,-18.7654620587,12,5,0.0586605,0.760253602541,9.0286,0.760947825793,0.9473729133605957,0.00650041,10.5982,-239.606817043,-10.2044,0.760253602541,1.14607462216,-10.2065058613,0.993425,517.1834599971771,1.5870928764343262,-138.073933086,0.1141815185546875,0.00230745401868,2.68361,4788.84,0.0
9.63545,10.8964538624,65.3422323323,-283.769429288,39.33594083786011,8.46899,-10.2345865144,13,5,0.0558376,0.750879226558,9.69128,0.749709755045,0.9207286834716797,0.00640784,10.845,-200.66749645,-10.4392,0.750879226558,1.13133933011,-10.4410667479,0.992589,556.6567108631134,1.566931962966919,-86.0902029472,0.11544060707092285,0.26964234655,2.63257,4764.72,0.0
9.47226,11.0472429515,39.5621163796,-284.427701353,39.57718324661255,8.47848,-13.3526815566,14,5,0.0563345,0.755989804235,9.52859,0.757142875104,0.9487226009368896,0.00643399,10.9958,-221.86536345,-10.5765,0.755989804235,1.12444195058,-10.577821759,0.994161,596.3650422096252,1.6014459133148193,-177.968982018,0.11527156829833984,0.140069264808,2.57439,4810.15,0.0
10.0246,11.2269933197,73.1599684687,-327.670232376,39.47167611122131,8.4668,-9.75120731278,15,5,0.0549917,0.745839122224,10.0795,0.743866717708,0.9481766223907471,0.00646723,11.1755,-237.57059318,-10.719,0.745839122224,1.11811346948,-10.7205488623,0.992231,635.9713151454926,1.6046571731567383,-104.045438367,0.11757469177246094,0.241166009051,2.54183,4754.29,0.0
11.8742,11.4537024171,81.3740333311,-434.05601559,39.77266454696655,8.46004,-21.8651307197,16,5,0.0622454,0.741451674621,11.9365,0.741071420255,0.9410240650177002,0.00996453,11.4019,-272.07958386,-10.9331,0.741451674621,1.10308943603,-10.9341695157,0.991114,675.8817510604858,1.5878236293792725,-220.440086955,0.1171417236328125,-5.23864798973,2.47913,4722.27,0.0
10.1654,11.5970462294,28.7729091188,-278.643750757,39.87000632286072,8.45095,-6.25697296643,17,5,0.0543509,0.77580060533,10.2198,0.775674975841,0.9463610649108887,0.00646428,11.5469,-237.404011408,-11.0552,0.77580060533,1.09135619099,-11.0563593951,0.989613,715.8862447738647,1.614328145980835,-206.821486934,0.11857366561889648,0.137153192711,2.41143,4679.51,0.0
9.47031,11.6688274395,40.4968191405,-226.035333482,39.367125034332275,8.44717,-16.0956216763,18,5,0.0543871,0.771425452385,9.5247,0.771402981689,0.9435999393463135,0.00644372,11.6173,-194.831009465,-11.1044,0.771425452385,1.08337527092,-11.105116231,0.988998,755.3913283348083,1.6093926429748535,-117.547820634,0.11853241920471191,0.108863880299,2.37049,4661.88,0.0
10.9116,11.7342046316,77.2958893373,-328.215521409,39.5760383605957,8.43751,-18.9696701475,19,5,0.0655613,0.780353649938,10.9772,0.779269247713,0.9490199089050293,0.00994651,11.6811,-233.239390588,-11.1353,0.780353649938,1.07608160491,-11.1364292846,0.987421,795.102037191391,1.608992576599121,-97.2953606941,0.11728358268737793,0.132228218969,2.3384,4617.06,0.0
11.4356,11.8519011637,52.5617040231,-305.778685522,39.38966131210327,8.42583,-10.9619236899,20,5,0.0543213,0.767500617135,11.4899,0.767214846757,0.9683117866516113,0.00641673,11.8002,-237.255326562,-11.2667,0.767500617135,1.04732197219,-11.2678536093,0.985508,834.6288251876831,1.6148567199707031,-165.525215681,0.12042522430419922,0.307506227458,2.2051,4563.43,0.0
7.85384,11.7812687376,28.8333982468,-226.711423904,39.61660408973694,8.42585,-18.8222813005,21,5,0.0559587,0.774081420629,7.9098,0.773933875439,0.9532492160797119,0.00646968,11.7293,-174.658064518,-11.1839,0.774081420629,1.04096323547,-11.1842239224,0.98551,874.3793482780457,1.6199743747711182,-147.503211575,0.11632204055786133,0.17618050756,2.18804,4563.5,0.0
7.42879,11.6639261278,62.7078861893,-224.174898242,39.607014894485474,8.42005,-4.42364378219,22,5,0.0588269,0.786959585235,7.48761,0.786948710742,0.9411942958831787,0.006525,11.6111,-119.317892868,-11.0433,0.786959585235,1.02610036958,-11.0436187234,0.984577,914.121842622757,1.6055569648742676,-47.0687726633,0.11982464790344238,0.192497504845,2.12126,4537.14,0.0
10.5917,11.6922097017,104.414518934,-290.083166478,39.64621663093567,8.41128,-5.82866946317,23,5,0.0669928,0.764494400744,10.6587,0.765010685926,0.9579942226409912,0.0099276,11.6396,-186.428515975,-11.028,0.764494400744,1.01665912175,-11.0278616158,0.983128,953.8984925746918,1.6027750968933105,14.8602099294,0.11761093139648438,0.594567903427,2.09016,4497.53,0.0
8.83298,11.6005437771,97.3144507253,-329.444843195,39.5559139251709,8.40784,-14.5782147427,24,5,0.0548744,0.793146802629,8.88785,0.7949690251,0.9638419151306152,0.0064459,11.5456,-152.966456621,-10.8684,0.793146802629,1.01597092028,-10.8684655832,0.982592,993.5940973758698,1.6181151866912842,-73.4744036058,0.11956286430358887,0.619138617199,2.08191,4482.09,0.0
7.92002,11.510092009,91.8182489566,-196.629793256,39.75935649871826,8.39392,-8.0894893113,25,5,0.0537333,0.774094638208,7.97375,0.773166123203,0.9530110359191895,0.0064468,11.4534,-112.095993615,-10.7001,0.774094638208,1.00887672036,-10.6995162598,0.980328,1033.4890892505646,1.6127991676330566,61.7451954587,0.11870408058166504,0.327319434772,2.05459,4420.12,0.0
5.49997,11.295877392,65.8829671784,-192.414328202,39.45527005195618,8.38494,-16.2955860382,26,5,0.0558305,0.75360889136,5.5558,0.751744620478,0.9752585887908936,0.0064961,11.2369,-92.9025764724,-10.3658,0.75360889136,1.01517720146,-10.3653402224,0.978841,1073.0797939300537,1.6159610748291016,-18.9249399998,0.12003874778747559,0.0746504740899,2.09025,4380.6,0.0
7.3566,11.1521787763,96.3577141541,-197.667711934,39.45845103263855,8.3696,8.48719421961,27,5,0.0537887,0.804284184718,7.41039,0.804756774948,0.941429853439331,0.00641951,11.0893,-67.1253690211,-10.1102,0.804284184718,1.0111201353,-10.1093701234,0.976357,1112.672024488449,1.609562873840332,84.6190217029,0.1179044246673584,0.271078921412,2.06545,4313.93,0.0
2.33913,10.8656944336,62.1892348277,-105.381905087,39.64134478569031,8.35725,-9.90007497018,28,5,0.0640004,0.781090919792,2.40313,0.781585993635,0.9659647941589355,0.00655505,10.799,-6.55631885642,-9.66243,0.781090919792,1.01749658018,-9.66144852824,0.974363,1152.449895143509,1.6165087223052979,87.8070009018,0.11691093444824219,-0.223946978876,2.09154,4260.97,0.0
3.32182,10.6374946181,71.5252932568,-155.190173125,39.62482261657715,8.35006,5.23593087619,29,5,0.0626695,0.75015505155,3.38449,0.750591938097,0.9579453468322754,0.00641928,10.5656,-33.4844040021,-9.18066,0.75015505155,1.02516776973,-9.17909407399,0.973243,1192.2109320163727,1.6062757968902588,44.8620472218,0.11726641654968262,-0.426275809253,2.10482,4230.45,0.0
5.23239,10.4671470782,163.865320567,-267.309348272,39.50364708900452,8.3454,4.19860217665,30,5,0.0547233,0.786181385403,5.28711,0.786143538425,0.9472010135650635,0.006423,10.3892,-40.2478018504,-8.71226,0.786181385403,1.03570434501,-8.71021282711,0.972546,1231.8491401672363,1.5934205055236816,169.935709058,0.11739683151245117,0.286849313757,2.13058,4210.75,0.0
0.271042,10.2628081689,105.857853003,-162.631545852,39.65146017074585,8.33967,0.966067414341,31,5,0.0580473,0.786406923938,0.329089,0.786289757876,0.9574699401855469,0.00650809,10.1747,42.5947508088,-8.01276,0.786406923938,1.05812193967,-8.01031213829,0.971606,1271.6351721286774,1.6001603603363037,123.755256667,0.11895132064819336,0.412757007811,2.24958,4186.72,0.0
0.271196,10.1243491638,139.633647316,-246.261087547,39.64232850074768,8.31622,0.0307163314864,32,5,0.0588776,0.780698628652,0.330073,0.780747847047,0.9582192897796631,0.00652455,10.0307,12.0002352676,-7.29362,0.780698628652,1.06942271194,-7.29079949288,0.967867,1311.4092156887054,1.59625244140625,166.231678644,0.11678671836853027,0.406593230884,2.28329,4089.68,0.0
3.64398,10.1616325553,129.709007813,-126.930976587,39.84985160827637,8.30837,8.92696172606,33,5,0.0699296,0.767605185463,3.71391,0.76643674051,0.9606380462646484,0.00998084,10.0619,-2.03524498985,-6.60817,0.767605185463,1.07928785475,-6.60503457182,0.966681,1351.3918998241425,1.6088862419128418,174.034189364,0.11776876449584961,0.615488742757,2.30281,4057.7,0.0
2.6465,10.2941783962,103.858377844,-188.131444201,39.4103684425354,8.29342,15.0139665501,34,5,0.0738328,0.763817574722,2.72033,0.762936807188,0.954930305480957,0.00999164,10.195,-24.8600827027,-5.86003,0.763817574722,1.09169425971,-5.85695978835,0.964248,1390.9406683444977,1.6198103427886963,133.021921778,0.11772775650024414,0.313230311547,2.37324,3997.5,0.0
-4.25904,10.5788692318,142.976853901,-176.357843386,39.42487406730652,8.26812,14.4684464578,35,5,0.0600662,0.794580715351,-4.19897,0.79545754266,0.9647324085235596,0.00642504,10.4867,96.1415456039,-4.86013,0.794580715351,1.10122432456,-4.85672588317,0.960215,1430.4975032806396,1.6143784523010254,237.943287256,0.12093162536621094,0.430403767353,2.40529,3897.63,0.0
-7.41272,10.9869857587,106.332025531,65.1655252322,39.35969400405884,8.24717,19.8694076726,36,5,0.0752926,0.788450067027,-7.33743,0.788568662396,0.9455327987670898,0.00998874,10.903,189.671044663,-3.70524,0.788450067027,1.12238467574,-3.70192267436,0.956847,1469.9900879859924,1.6130895614624023,383.434921754,0.11663508415222168,0.284481942945,2.51918,3816.8,0.0
-12.7874,11.6092264147,28.4192594351,182.908470454,39.90590763092041,8.23359,18.15228268,37,5,0.0616322,0.795189544946,-12.7258,0.795959094261,0.9702508449554443,0.00650584,11.5401,228.197790834,-2.3793,0.795189544946,1.13044275037,-2.3762978477,0.954668,1510.0309691429138,1.6124792098999023,261.619889244,0.11788797378540039,0.128378653137,2.5525,3765.32,0.0
