PolicyExecTime,EnvExecTime,ProcessExecTime,AbsLearnSignalOld,AbsLearnSignalNew,AbsLearnSignal,Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss,AverageQLoss,AverageQ,AverageAbsQ,AverageY,AverageAbsY,AverageAbsQYDiff,Time,ItrTime
0.4597208499908447,0.9392898082733154,0.049489498138427734,0.698406410428,0.707609927212,0.707609927212,0,-33.0567794999,-407.545933466,4.27994306662e-11,5,8.51363,4982.22,29.6698425188,-377.606777438,-462.877859338,1.0,1.5292,1.45719,0.0,0.00985155,0.0720042,0.316245,-0.894056,1.12447,-0.898068602388,1.21084088958,0.418150549382,22.29694628715515,22.296939373016357
0.6246705055236816,1.0319576263427734,0.06007504463195801,0.776097151275,0.768149890824,0.768149890824,1,-23.9662657436,-420.452350295,0.593781571614,5,8.50731,4950.83,25.5221051428,-372.636786015,-447.795630493,0.998947,2.93781,2.86139,0.0,0.00989357,0.0764179,0.502316,-2.30233,2.46509,-2.30268660307,2.51198803085,0.544086112727,45.025596141815186,22.63404870033264
0.7076327800750732,1.0927324295043945,0.06803226470947266,0.689544548466,0.808013373555,0.808013373555,2,-10.7732782555,-337.988315376,-3.01300051946,5,8.50304,4929.72,36.5896193541,-289.151406216,-389.91844255,0.998238,3.03772,2.96512,0.0,0.00991969,0.0725987,1.15379,-3.24868,3.5215,-3.24759295841,3.60155025522,0.745745812025,70.08158540725708,24.987658262252808
0.8581967353820801,1.2189586162567139,0.059421539306640625,0.6785844693,0.741525065769,0.741525065769,3,-7.23173808334,-350.21841729,0.184702307185,5,8.50485,4938.65,95.0873824521,-191.601148401,-439.469819553,0.998538,4.67943,4.60445,0.0,0.0098759,0.0749884,1.17463,-4.2289,4.49788,-4.22946786041,4.55767752985,0.786432004787,95.42107605934143,25.258448839187622
0.8399460315704346,1.23118257522583,0.06518054008483887,0.73629229349,0.768570224251,0.768570224251,4,-35.9492652047,-403.946465816,-1.65249295967,5,8.50706,4949.57,40.7467976578,-351.440682733,-471.239918266,0.998906,5.71303,5.65398,0.0,0.00642402,0.059051,1.04341,-5.20421,5.50071,-5.2049138372,5.54366893527,0.760476760534,121.04576134681702,25.564175844192505
0.794701099395752,1.1733429431915283,0.05853557586669922,0.777027027185,0.769290407696,0.769290407696,5,-33.5752000459,-403.215066466,-0.483256219702,5,8.5053,4940.89,23.5852032216,-373.564025107,-435.939584049,0.998614,6.41049,6.35009,0.0,0.00641542,0.0604048,1.29387,-6.06418,6.36233,-6.06504584271,6.41093048599,0.834335749982,145.91574048995972,24.764192819595337
0.6931993961334229,1.1044702529907227,0.06128239631652832,0.728278690713,0.706955190706,0.706955190706,6,-31.5782217263,-384.525183779,0.15429587419,5,8.51,4964.16,71.9579897052,-300.594774452,-501.878290877,0.999396,7.1935,7.1152,0.0,0.0098421,0.078299,1.35974,-6.91043,7.1868,-6.9115520532,7.2287080876,0.853695269012,171.63871574401855,25.65332818031311
0.7856571674346924,1.2053239345550537,0.06519126892089844,0.728373177168,0.736712998854,0.736712998854,7,-17.1307506706,-340.03417859,0.139548616836,5,8.51161,4972.14,26.0977005868,-315.747936013,-388.466947597,0.999664,7.67441,7.59551,0.0,0.00998855,0.0789003,1.42439,-7.6555,7.91071,-7.65741611145,7.94945297815,0.865765503632,197.81084728240967,26.06962561607361
0.8858485221862793,1.2526829242706299,0.08118605613708496,0.684770655081,0.791481092139,0.791481092139,8,-31.6391697443,-346.04766037,-0.201751589501,5,8.51006,4964.44,28.0156960086,-313.031239231,-386.422531351,0.999406,8.35593,8.29732,0.0,0.0064614,0.0586052,1.50301,-8.28604,8.52229,-8.28731112015,8.55734250294,0.878518222955,224.06307554244995,26.16557216644287
0.7871863842010498,1.129976749420166,0.07751607894897461,0.719626219725,0.709815961429,0.709815961429,9,-27.0894494456,-324.000231306,-0.42569128841,5,8.50734,4950.96,54.2690528109,-272.091314106,-391.577124217,0.998953,9.16862,9.10996,0.0,0.00643331,0.0586681,1.55109,-8.83277,9.04903,-8.8353234407,9.08324401305,0.882630532273,249.95250797271729,25.802388191223145
0.8340253829956055,1.1710658073425293,0.07004761695861816,0.695449708163,0.742155643838,0.742155643838,10,-28.1499588045,-338.819947106,0.264297568174,5,8.50712,4949.89,18.2208751321,-310.542154838,-357.021596732,0.998918,9.05011,8.97559,0.0,0.00995343,0.0745134,1.62812,-9.30494,9.5289,-9.30668833848,9.56141990769,0.888823155091,275.3837435245514,25.35947275161743
0.7738006114959717,1.162402629852295,0.05357861518859863,0.764643164503,0.82024347147,0.82024347147,11,-30.5093693783,-319.68349381,-2.01261675441,5,8.50793,4953.88,21.8428125035,-287.468188657,-350.947784997,0.999052,10.1149,10.0408,0.0,0.00990757,0.0740995,1.62586,-9.78304,9.96466,-9.78494759562,9.99250703621,0.883764600749,300.98340249061584,25.49039387702942
0.724733829498291,1.1150505542755127,0.06498384475708008,0.702489715074,0.752460420335,0.752460420335,12,-27.4234716666,-336.593325065,0.315070525632,5,8.50595,4944.1,43.7265702681,-277.483721116,-407.430668113,0.998723,9.63888,9.57998,0.0,0.00647235,0.0589008,1.65106,-10.1401,10.2982,-10.1423862017,10.3249280984,0.87672128046,326.51223158836365,25.443727731704712
0.8325653076171875,1.205167293548584,0.07605123519897461,0.721930768754,0.747579884855,0.747579884855,13,-38.019904966,-330.175695922,0.192533612512,5,8.5013,4921.18,29.2255074754,-272.303680774,-350.663071762,0.99795,9.73443,9.67221,0.0,0.00642296,0.0622244,1.61008,-10.4208,10.5678,-10.4228228741,10.5931987128,0.864796411968,351.7456302642822,25.111464500427246
0.8125531673431396,1.1412255764007568,0.06465673446655273,0.751038449797,0.706149239438,0.706149239438,14,-21.2560182977,-278.639425165,0.141682578692,5,8.49722,4901.1,35.6145388558,-212.376361268,-311.005728678,0.997272,9.83809,9.76287,0.0,0.00991536,0.0752258,1.60887,-10.6186,10.7559,-10.6210296715,10.7797830968,0.86161225156,378.01311445236206,26.197659015655518
0.8889434337615967,1.1926443576812744,0.06932663917541504,0.724760860765,0.755846218976,0.755846218976,15,-19.9723153772,-277.800531585,0.00272105556211,5,8.49668,4898.48,43.1683174851,-232.95674245,-359.150943458,0.997182,9.88422,9.80904,0.0,0.00997012,0.0751801,1.63115,-10.7873,10.9166,-10.7892199737,10.9396534743,0.862032151269,403.15869641304016,25.01954483985901
0.8309106826782227,1.2423315048217773,0.0699775218963623,0.696726479713,0.789034404931,0.789034404931,16,-15.6254726828,-273.492140559,-0.0195913847746,5,8.49727,4901.35,34.7156864976,-226.551988024,-333.487655659,0.997281,9.48795,9.4305,0.0,0.0064083,0.0574532,1.61109,-10.8705,10.9979,-10.8723209846,11.0193622681,0.852668223816,428.9921507835388,25.763497591018677
0.8083662986755371,1.1625659465789795,0.05980324745178223,0.746413315146,0.749967396446,0.749967396446,17,-14.4358924371,-239.37430687,0.345561384701,5,8.50069,4918.17,8.13325216869,-230.895036542,-252.949099744,0.997853,9.52851,9.46986,0.0,0.00642874,0.0586548,1.5914,-10.8765,10.9889,-10.8779815735,11.0099900257,0.849175633923,453.84906578063965,24.782208919525146
0.7322201728820801,1.1036405563354492,0.05683493614196777,0.737817221442,0.772526836357,0.772526836357,18,-16.1120118811,-237.623345433,0.249678363013,5,8.49937,4911.67,38.9659820382,-196.16802771,-305.790853221,0.997634,9.59526,9.52304,0.0,0.00993609,0.0722141,1.55853,-10.8562,10.9668,-10.8576202514,10.9870861416,0.835730021353,479.36088037490845,25.43926167488098
