MinReturn,MeanKLBefore,AbsLearnSignal,Perplexity,Entropy,ProcessExecTime,LossAfter,ExplainedVariance,AverageReturn,Time,PolicyExecTime,AverageDiscountedReturn,Iteration,MaxReturn,NumTrajs,MeanKL,StdReturn,EnvExecTime,LossBefore,dLoss,ItrTime,AveragePolicyStd
-529.504505901,0.0,0.78019024009,4982.22,8.51363,0.1022179126739502,-0.0495342,2.80828693633e-11,-422.653498014,4.028228759765625,0.749408483505249,-34.7687497078,0,-280.101562338,5,0.00642112,85.0507861434,1.706411600112915,-1.15156e-08,0.0495342,4.028216600418091,1.0
-571.022845474,0.0,0.777313087019,4966.9,8.51055,0.09094047546386719,-0.0652502,0.144738839784,-442.407691769,7.7629523277282715,0.7236337661743164,-41.6978964094,1,-209.93198135,5,0.00995135,129.81438244,1.6652119159698486,-5.11169e-08,0.0652502,3.7165799140930176,0.999487
-568.590204502,0.0,0.77647725885,4984.56,8.5141,0.09150886535644531,-0.0516662,0.188908757034,-425.572055755,11.368487358093262,0.7131068706512451,-35.0020324028,2,-307.800468655,5,0.0064247,94.7749935021,1.6245355606079102,1.46866e-08,0.0516662,3.6018476486206055,1.00008
-446.954188864,0.0,0.773872280215,4979.17,8.51302,0.10581612586975098,-0.0654864,-0.0432408214826,-380.240177427,15.071872234344482,0.7138011455535889,-36.9774313617,3,-313.528129131,5,0.00994938,44.8785571985,1.637314796447754,2.09808e-08,0.0654864,3.585911512374878,0.999898
-467.36146016,0.0,0.760894770945,4971.18,8.51141,0.09766650199890137,-0.0645416,-0.0201794238899,-386.028101801,18.78483510017395,0.7557573318481445,-28.3242434916,4,-232.737333735,5,0.00992496,85.3096079773,1.6770761013031006,1.03951e-08,0.0645416,3.7082598209381104,0.999632
-516.143964643,0.0,0.741157480328,4975.89,8.51236,0.09674215316772461,-0.0670369,0.0898029396729,-407.970046635,22.390820264816284,0.7520911693572998,-32.7718508434,5,-280.902886355,5,0.00986564,80.3609475492,1.658259630203247,-1.44005e-08,0.0670369,3.6002209186553955,0.999789
-486.531229616,0.0,0.732173228822,4978.19,8.51282,0.09790706634521484,-0.0626784,0.287402660048,-394.954919487,26.121517181396484,0.7345166206359863,-33.1284339269,6,-308.064567661,5,0.00987513,66.4018006342,1.6184666156768799,-3.0899e-08,0.0626784,3.6111013889312744,0.999866
-616.490209084,0.0,0.760923444086,4964.55,8.51008,0.09448051452636719,-0.0632153,0.0668101227185,-462.850001257,29.677046298980713,0.7708876132965088,-48.705557052,7,-343.726859194,5,0.00983745,89.7871396375,1.6659793853759766,1.17302e-08,0.0632153,3.5497539043426514,0.999409
-560.979052472,0.0,0.785503589334,4964.25,8.51002,0.10410761833190918,-0.0656518,0.0744480551907,-462.50865553,33.29014778137207,0.800534725189209,-47.7004559257,8,-383.648569609,5,0.00992949,63.2706878006,1.6961920261383057,7.53403e-09,0.0656518,3.608041524887085,0.9994
-674.027915007,0.0,0.732787084742,4963.18,8.5098,0.10260629653930664,-0.0662682,0.179337042435,-419.2440073,36.978744983673096,0.8025646209716797,-26.7025391508,9,-287.322962404,5,0.00998135,136.906164286,1.6827936172485352,-7.24792e-09,0.0662682,3.5760018825531006,0.999365
-484.309144679,0.0,0.782880447173,4989.97,8.51519,0.0955808162689209,-0.0691495,0.387602883048,-409.708001075,40.61125111579895,0.8245651721954346,-37.8614970163,10,-356.392048567,5,0.00994477,49.3924737662,1.683452844619751,-2.13623e-08,0.0691495,3.6279826164245605,1.00026
-530.186957646,0.0,0.708448545895,4980.41,8.51327,0.0985107421875,-0.0655286,0.327163505349,-425.149927859,44.1950900554657,0.7995858192443848,-34.0110336804,11,-380.017889308,5,0.00987933,56.5891298272,1.6815240383148193,-2.55585e-08,0.0655286,3.5806992053985596,0.999951
-514.090484291,0.0,0.70583681811,4978.15,8.51281,0.09641289710998535,-0.0636124,0.177530665931,-425.16239089,47.83474636077881,0.7890625,-43.399785158,12,-296.144741248,5,0.00999786,80.5407746179,1.6617074012756348,-6.10352e-09,0.0636124,3.5196876525878906,0.999873
-480.898123005,0.0,0.738761799609,4987.0,8.51459,0.09644913673400879,-0.0674196,-0.0448675617401,-294.464626627,51.35904240608215,0.8002185821533203,-15.4223089648,13,-213.401609676,5,0.00992779,99.0825494412,1.665029525756836,6.92606e-09,0.0674196,3.520758867263794,1.00017
-540.810932543,0.0,0.767505922056,4990.71,8.51533,0.09424281120300293,-0.0642793,0.109566837767,-381.820254317,54.95319175720215,0.7997186183929443,-27.0183728742,14,-312.23368563,5,0.00987742,84.2946147277,1.6925804615020752,-1.8692e-08,0.0642793,3.5883820056915283,1.0003
-528.003041658,0.0,0.772150718926,5009.07,8.519,0.10292458534240723,-0.0645033,0.141196396112,-440.770874435,58.590839862823486,0.791419506072998,-39.5750446718,15,-351.029997048,5,0.00993489,68.5816817397,1.6229205131530762,-7.62939e-10,0.0645033,3.521571159362793,1.00091
-505.873798842,0.0,0.731351795022,5004.91,8.51817,0.09475564956665039,-0.0676763,0.058932963995,-376.870379415,62.11669206619263,0.8061301708221436,-35.1245990911,16,-180.139812611,5,0.00996372,111.243613188,1.6670572757720947,-1.88828e-08,0.0676763,3.5205860137939453,1.00077
-515.744162402,0.0,0.730341838755,4993.87,8.51597,0.09238767623901367,-0.0643666,0.43850037566,-403.010099132,65.57100439071655,0.7898213863372803,-42.1073154589,17,-224.588315505,5,0.00992114,97.2878443567,1.65041184425354,-1.01089e-08,0.0643666,3.4495835304260254,1.0004
-455.495212708,0.0,0.754815253125,4979.01,8.51299,0.09130144119262695,-0.0639439,0.417156382894,-367.332160839,69.18591547012329,0.8024005889892578,-46.339980438,18,-256.249336114,5,0.00994595,71.8316653096,1.6873481273651123,-1.41621e-08,0.0639438,3.5004398822784424,0.999909
