EnvExecTime,AverageY,NumTrajs,dLoss,Perplexity,AverageAbsQYDiff,AverageQLoss,Iteration,AverageQ,LossAfter,Entropy,MeanKLBefore,MinReturn,ProcessExecTime,AverageReturn,ItrTime,AbsLearnSignal,StdReturn,AveragePolicyStd,AverageDiscountedReturn,AbsLearnSignalOld,AverageAbsY,MaxReturn,LossBefore,ExplainedVariance,AbsLearnSignalNew,AverageAbsQ,Time,MeanKL,PolicyExecTime
7.709578275680542,10.3132504287,200,0.096611,2.99247e+10,1.89402754719,12.3825,0,10.2593,-4.97233,24.122,0.0,72.1536071313,0.1625988483428955,120.84359692,64.72130560874939,0.839424486263,39.6808592786,1.0,105.829854005,0.839567025602,10.6718222672,270.498172289,-4.87572,6.70352662269e-12,0.839424486263,10.379,64.72131776809692,0.00981008,1.1040925979614258
7.925398111343384,27.2737410279,196,0.0692577,3.00089e+10,1.71309277869,6.32558,1,27.2492,-18.4811,24.1248,0.0,73.6434057233,0.15035343170166016,122.42114874,65.29892945289612,0.246183074601,49.8190944893,1.00017,106.434423697,0.24608584581,27.2737835508,370.426398679,-18.4118,-7.26282179079,0.246183074601,27.254,130.1592288017273,0.0086815,1.1545648574829102
7.771583795547485,41.8573427993,196,0.132359,2.9698e+10,2.23822030138,10.9756,2,41.8376,-35.6662,24.1143,0.0,72.5960593871,0.15018033981323242,122.443746338,64.38383674621582,0.471348941152,48.1286947708,0.999554,106.507788628,0.471904927303,41.8579388209,309.018075382,-35.5339,-0.812902338322,0.471348941152,41.8565,194.66225671768188,0.0082568,1.138627529144287
7.839540243148804,52.6288959171,187,0.121014,2.96181e+10,2.76432484893,15.775,3,52.6139,-49.3328,24.1117,0.0,76.2526395488,0.14762187004089355,129.179694413,64.01704216003418,0.702550088254,51.9080595888,0.999396,111.563582114,0.703003308901,52.6309306436,288.991391327,-49.2118,0.331112648331,0.702550088254,52.6362,258.80201745033264,0.00640724,1.1372346878051758
7.765994310379028,60.7025043782,179,0.191837,2.95684e+10,3.46048637758,23.5085,4,60.6884,-59.4553,24.11,0.0,77.0442299912,0.14796733856201172,134.181401072,64.88596296310425,0.317257034698,52.650158909,0.999297,115.231174866,0.318289682323,60.7065437936,418.395006551,-59.2635,-3.88914753961,0.317257034698,60.7071,323.8105618953705,0.00867539,1.1349618434906006
7.78543758392334,67.5852902961,177,0.305168,2.95237e+10,4.18256650223,33.8082,5,67.569,-67.4584,24.1085,0.0,75.8894134664,0.1441812515258789,137.03919566,64.85428547859192,0.231591557291,58.6656511086,0.999208,116.965845753,0.232532769062,67.5871186037,313.825771682,-67.1533,-17.1597767254,0.231591557291,67.589,388.78853464126587,0.00977295,1.1093876361846924
7.954562425613403,74.289827783,161,0.27108,2.95531e+10,4.86096885776,44.4792,6,74.2733,-75.0861,24.1095,0.0,76.8254862986,0.14576172828674316,149.454081191,64.50122046470642,0.0889357845434,59.5551554798,0.999267,126.029678021,0.0889877502134,74.2917232626,313.133802607,-74.815,-1708.20629302,0.0889357845434,74.2924,453.4132754802704,0.00640474,1.1285958290100098
7.911140203475952,81.0157042226,148,0.398117,2.95317e+10,5.43411352098,55.4914,7,80.9972,-84.2492,24.1087,0.0,76.4001381551,0.14270806312561035,163.948557242,64.13056421279907,0.123900804117,74.2007560861,0.999224,135.434609897,0.124406031883,81.0177882938,456.439555245,-83.8511,-127.45949712,0.123900804117,81.0206,517.667174577713,0.00989375,1.117988109588623
8.133150100708008,87.9977697167,132,0.478302,2.95228e+10,6.06141168338,70.5557,8,87.9742,-92.7916,24.1084,0.0,80.4081162152,0.14523530006408691,187.339839674,64.72341561317444,0.454736028335,72.6656519466,0.999207,151.936974586,0.456145042718,88.0011826978,383.342361722,-92.3133,-1.80903482419,0.454736028335,87.9975,582.5264327526093,0.00992245,1.156670331954956
8.106494665145874,95.3927484747,134,0.388824,2.95077e+10,6.53061564591,82.6661,9,95.3721,-97.332,24.1079,0.0,77.3822150293,0.14181232452392578,184.457060758,65.32296299934387,0.631654710579,72.9140498927,0.999177,149.908313345,0.633852283441,95.3959742668,388.497375748,-96.9432,-0.0608350026886,0.631654710579,95.3987,647.972818851471,0.00642742,1.1513018608093262
