ItrTime,PolicyExecTime,Time,AverageDiscountedReturn,AverageAbsQ,EnvExecTime,MaxReturn,NumTrajs,AverageQ,ExplainedVariance,AverageQLoss,StdReturn,AverageY,AverageAbsY,ProcessExecTime,AverageReturn,Perplexity,AverageAbsQYDiff,LossBefore,MinReturn,MeanKLBefore,AbsLearnSignal,AbsLearnSignalOld,LossAfter,MeanKL,AveragePolicyStd,Iteration,dLoss,AbsLearnSignalNew,Entropy
53.25259351730347,1.0429482460021973,53.252623319625854,85.809641673,13.1445,6.655799388885498,181.699045907,255,13.0966,1.42640343981e-11,20.005,15.7606173057,13.1693219225,13.1911193834,0.15100789070129395,94.388096507,2.99248e+10,1.9809507976,-21.3035,72.1877321997,0.0,0.848883809017,0.848766279426,-21.3809,0.00644348,1.0,0,0.0773849,0.848883809017,24.122
53.503565073013306,1.0267376899719238,106.89994645118713,90.8504700931,29.3738,6.634502649307251,256.565017053,238,29.3671,0.00180695020281,6.23564,23.4418461286,29.394470138,29.3945213464,0.1341688632965088,100.889328109,2.99996e+10,1.71059790507,-35.4642,71.7141017844,0.0,0.382157910038,0.382138591621,-35.5551,0.00569727,1.00015,1,0.0909119,0.382157910038,24.1244
53.150588512420654,1.038240909576416,160.18660950660706,91.1903613487,41.0706,6.629678726196289,236.747659222,237,41.0585,0.496376550275,7.56629,23.9393951364,41.0745693057,41.0754576833,0.13585329055786133,101.333374838,2.99787e+10,1.87878689549,-45.2093,70.8902195489,0.0,0.579520888926,0.580016964862,-45.3715,0.00905917,1.00011,2,0.162193,0.579520888926,24.1238
54.083205461502075,1.0343616008758545,214.40473818778992,94.1587226908,48.3608,6.699034929275513,195.001882175,230,48.3524,-6.0193254105,9.19456,21.6352963349,48.3662114535,48.3664919152,0.13929486274719238,104.919216086,3.00254e+10,2.16169803854,-52.0517,75.8252891723,0.0,0.223349528038,0.224210675095,-52.262,0.00811555,1.0002,3,0.21027,0.223349528038,24.1253
53.08086919784546,1.0018796920776367,267.6359679698944,96.7715238388,52.6743,6.584407806396484,213.275040667,222,52.6708,-36.6272976595,12.3739,23.8517377712,52.6832378393,52.6832378408,0.13464665412902832,108.265973503,3.0074e+10,2.5572858657,-55.6288,73.8606091072,0.0,0.127729751256,0.128424802593,-55.8521,0.00646474,1.00029,4,0.223312,0.127729751256,24.1269
53.1338050365448,1.0460729598999023,320.9114842414856,104.130792597,55.9004,6.672670125961304,230.426822789,204,55.8962,-6.30117173667,15.836,29.0046905106,55.9096877235,55.9096890189,0.1346290111541748,117.898429737,3.00532e+10,2.9228988884,-60.0189,77.1135220512,0.0,0.17826149054,0.180140744115,-60.306,0.00776623,1.00025,5,0.287163,0.17826149054,24.1262
53.400980710983276,1.077967882156372,374.4562084674835,105.918179381,58.6154,6.877600193023682,222.069736936,198,58.6119,0.350486022001,19.0807,32.1563058757,58.6255567336,58.6255567336,0.13954782485961914,120.468090816,3.00776e+10,3.20314463012,-63.1754,75.6451038619,0.0,0.55966718798,0.562557255036,-63.4494,0.00642193,1.0003,6,0.273987,0.55966718798,24.127
54.080703258514404,1.0902729034423828,428.67873668670654,112.309898305,61.6106,6.995465517044067,252.241145438,185,61.6045,0.536514028046,21.9028,39.6120373015,61.618902749,61.6191633239,0.13866376876831055,129.279196853,3.00693e+10,3.42227782862,-68.0896,81.1019475137,0.0,0.726300905833,0.725859865091,-68.3937,0.00641385,1.00028,7,0.304085,0.726300905833,24.1268
54.16438579559326,1.0858709812164307,482.98705792427063,116.346127267,64.772,7.158836126327515,332.409339585,179,64.7652,0.27899266459,25.6554,40.7434495796,64.7770743537,64.7775586722,0.14019465446472168,134.610211519,3.00751e+10,3.70573561615,-70.3491,81.9718876783,0.0,0.666869509627,0.670640232887,-70.646,0.00643123,1.0003,8,0.296883,0.666869509627,24.127
53.883758544921875,1.0949344635009766,537.0112211704254,127.331460374,68.4437,7.144707918167114,278.13214236,159,68.4356,-17.629867396,30.6854,47.2904350038,68.4500344578,68.4506366637,0.13800859451293945,150.029268675,3.00404e+10,4.0262297138,-77.7379,76.9908165474,0.0,0.158623816758,0.159450548371,-78.1449,0.00991324,1.00023,9,0.40696,0.158623816758,24.1258
55.12431263923645,1.1248350143432617,592.2824130058289,131.503692404,72.914,7.3787946701049805,351.981430203,154,72.905,0.459300117064,35.6097,50.2727463612,72.91947733,72.9202108896,0.14032864570617676,156.033094077,3.00151e+10,4.31996573453,-83.6865,77.2315550234,0.0,0.735661986211,0.739251896754,-84.0169,0.00642368,1.00018,10,0.330399,0.735661986211,24.125
55.9018669128418,1.1385142803192139,648.3239367008209,134.81134051,77.7691,7.574609041213989,345.049463239,150,77.7592,-0.259682987247,41.63,47.2336982348,77.7732695593,77.7736778265,0.14019012451171875,160.235451667,2.99969e+10,4.654709686,-89.0696,84.5168785936,0.0,0.514978338408,0.51713220777,-89.3801,0.0064335,1.00014,11,0.310463,0.514978338408,24.1244
55.96064805984497,1.1381094455718994,704.4285662174225,143.724070711,82.8358,7.567743539810181,343.652623036,138,82.826,0.392673847652,45.279,47.6390843399,82.8379999609,82.8387839174,0.14096355438232422,173.138776612,3.00079e+10,4.85859523545,-95.3665,81.4333754576,0.0,0.660686984006,0.661782541907,-95.6631,0.00640933,1.00016,12,0.296593,0.660686984006,24.1247
