AverageQ,AverageAbsY,EnvExecTime,MaxReturn,PolicyExecTime,AbsLearnSignalNew,StdReturn,MinReturn,LossAfter,AverageDiscountedReturn,Entropy,AbsLearnSignal,AverageAbsQ,NumTrajs,ItrTime,Iteration,ProcessExecTime,LossBefore,ExplainedVariance,dLoss,MeanKL,AbsLearnSignalOld,Perplexity,AverageQLoss,Time,MeanKLBefore,AverageY,AveragePolicyStd,AverageAbsQYDiff,AverageReturn
87.1693,87.186527872,7.829802751541138,419.415334226,1.0331270694732666,0.665540108689,78.5239316944,79.199866268,-100.287,155.757668943,24.1263,0.665540108689,87.177,124,52.043503522872925,10,0.14453554153442383,-99.846,-0.139420192772,0.440727,0.00644133,0.668165081539,3.00546e+10,57.4248,580.9050216674805,0.0,87.1857242127,1.00025,5.39497035556,194.341029121
96.0218,96.0397538236,7.867981195449829,579.768342027,1.0264081954956055,0.699877460971,87.3244920647,86.5283134209,-112.028,168.773799605,24.1256,0.699877460971,96.0356,114,54.249072790145874,11,0.1437230110168457,-111.561,0.0884271013036,0.466476,0.00643713,0.702386446823,3.00341e+10,72.3329,635.2905509471893,0.0,96.037531245,1.00021,5.94722353055,214.819956955
105.164,105.178424711,8.385769128799438,462.482961564,1.1725785732269287,0.0803819468364,84.1414913233,85.353998097,-125.372,173.359071212,24.1251,0.0803819468364,105.185,109,57.595961570739746,12,0.15927386283874512,-124.911,-128.840661268,0.460899,0.00643603,0.0805768087657,3.00203e+10,85.8913,693.0668239593506,0.0,105.176962433,1.00019,6.45066339809,222.042440808
115.425,115.440809858,8.33879280090332,521.032572726,1.1466789245605469,0.725875234596,79.2852730409,81.9345063767,-139.834,193.878473854,24.1256,0.725875234596,115.453,98,54.93058800697327,13,0.15589499473571777,-139.412,0.205274028202,0.42276,0.00645771,0.726938459892,3.00345e+10,100.345,748.1380853652954,0.0,115.434922629,1.00022,6.89195448966,254.112927872
125.649,125.674330207,8.05881643295288,550.828707577,1.0285835266113281,0.623438988314,86.5655939531,83.287459513,-146.246,202.314999213,24.1258,0.623438988314,125.696,89,53.23620343208313,14,0.13913822174072266,-145.793,0.048556756048,0.452652,0.00944046,0.622784034985,3.0039e+10,112.778,801.5083270072937,0.0,125.65982599,1.00022,7.2480540406,270.39824368
136.229,136.256548769,8.11352825164795,622.441266532,1.0358283519744873,0.727914854137,85.2417680752,109.40043308,-152.548,197.07532386,24.1257,0.727914854137,136.288,94,53.80363965034485,15,0.14162135124206543,-152.252,0.0757979234737,0.295639,0.00643044,0.728011729135,3.00377e+10,119.426,855.4495091438293,0.0,136.236723634,1.00022,7.44419587428,260.527333799
145.546,145.57901112,7.905066967010498,512.966429784,0.9842832088470459,0.246250565684,86.4600263847,96.8705682799,-163.765,213.08431015,24.1248,0.246250565684,145.614,84,52.71632409095764,16,0.1341838836669922,-163.494,-5.11551287889,0.271423,0.00997518,0.246234290502,3.00092e+10,123.191,908.3003995418549,0.0,145.552869405,1.00017,7.51749916692,289.227047671
153.174,153.220489405,8.539008140563965,596.966107665,1.0736548900604248,0.381846709455,94.3434497841,87.4676077095,-164.064,215.580727907,24.1247,0.381846709455,153.254,83,54.31862473487854,17,0.1455845832824707,-163.822,-1.66580056163,0.242004,0.00987139,0.381397125793,3.00073e+10,126.394,962.7599442005157,0.0,153.182397965,1.00016,7.59520475252,294.567803805
159.113,159.154273764,8.384106636047363,540.041834342,1.0516297817230225,0.64319580302,80.7564209914,101.639085528,-168.248,213.031136575,24.1233,0.64319580302,159.192,86,53.64287757873535,18,0.14170384407043457,-168.028,0.176044604345,0.22052,0.00994551,0.643626934238,2.99647e+10,125.851,1016.5365462303162,0.0,159.121634065,1.00008,7.58454257562,287.365257979
164.242,164.288513341,8.440694808959961,828.002804544,1.0592632293701172,0.617310883325,107.858339717,114.630856326,-173.493,226.643910029,24.1219,0.617310883325,164.314,77,53.79793357849121,19,0.14284372329711914,-173.278,-0.232228580138,0.215332,0.00646295,0.615568511636,2.99237e+10,124.478,1070.4722697734833,0.0,164.25631482,0.999999,7.56122504148,316.664139624
167.64,167.678399095,8.312726020812988,690.754755668,1.0265662670135498,0.572962694373,83.6927366492,154.290946396,-169.428,228.489830339,24.1224,0.572962694373,167.704,79,53.28355097770691,20,0.13855528831481934,-169.205,-0.073991018895,0.222672,0.00978556,0.573735975281,2.99379e+10,121.59,1123.8916945457458,0.0,167.652970096,1.00003,7.4854469017,316.508219616
170.833,170.865034106,8.230132341384888,619.714358949,1.0234324932098389,0.551073015394,80.2627873879,107.984814295,-171.646,234.228751747,24.1241,0.551073015394,170.885,76,53.286110401153564,21,0.13974356651306152,-171.433,0.163278529437,0.213013,0.00995331,0.550868548443,2.99904e+10,122.247,1177.3165843486786,0.0,170.848185771,1.00013,7.48329431263,326.22655604
173.667,173.694225206,8.290962934494019,617.822714978,1.009669542312622,0.68702811062,80.1713852324,189.17322596,-179.088,233.794466624,24.1226,0.68702811062,173.712,77,53.19107913970947,22,0.1361558437347412,-178.892,0.491192222171,0.195969,0.00642797,0.68571792802,2.99447e+10,118.469,1230.6490166187286,0.0,173.681843228,1.00004,7.44496402132,325.033975861
