LossBefore,ProcessExecTime,ExplainedVariance,dLoss,AverageReturn,Time,Iteration,MeanKL,EnvExecTime,MinReturn,NumTrajs,MeanKLBefore,Perplexity,AbsLearnSignal,LossAfter,AverageDiscountedReturn,AveragePolicyStd,MaxReturn,Entropy,ItrTime,StdReturn,PolicyExecTime
-6.58035e-09,0.11520099639892578,4.53672654999e-11,0.0509778,-321.96467004,4.105971097946167,0,0.00640767,1.5299568176269531,-358.420066917,5,0.0,4982.22,0.777620370155,-0.0509778,-28.1292326725,1.0,-224.886310003,8.51363,4.105956792831421,51.0417534848,0.8341574668884277
-2.05994e-08,0.11043167114257812,0.135371604313,0.0633548,-291.178084416,7.71302604675293,1,0.00998621,1.4835267066955566,-405.186215636,5,0.0,4989.11,0.770735408619,-0.0633548,-20.5388161918,1.00023,-161.352549947,8.51501,3.5921504497528076,82.2566878569,0.8806884288787842
2.04086e-08,0.11101102828979492,0.122135514052,0.0642369,-331.66156942,11.546635866165161,2,0.0099455,1.4230947494506836,-435.35584842,5,0.0,4965.08,0.753771518061,-0.0642368,-30.1757436248,0.999428,-188.541348431,8.51019,3.8292276859283447,91.594186322,0.7938873767852783
-7.05719e-09,0.11111903190612793,0.173735960605,0.0523448,-297.690511128,15.242449283599854,3,0.00642371,1.4871528148651123,-373.444992199,5,0.0,4956.1,0.760228506838,-0.0523448,-26.3227976623,0.999127,-250.071500502,8.50837,3.581228256225586,43.7547263719,0.852461576461792
-3.94344e-08,0.10131001472473145,0.386789672332,0.0652164,-268.241388991,18.769516944885254,4,0.00994825,1.5030193328857422,-360.484044212,5,0.0,4950.57,0.771952012112,-0.0652164,-22.1253076348,0.998942,-159.060304779,8.50726,3.522993564605713,67.1171527668,0.8450641632080078
-3.24249e-08,0.11304807662963867,-0.472762426572,0.0608112,-299.828230993,22.349072217941284,5,0.00998358,1.5038981437683105,-431.45604207,5,0.0,4929.59,0.789987325804,-0.0608113,-32.4347054897,0.998235,-140.051715452,8.50301,3.5762126445770264,96.4852044454,0.8683838844299316
1.02997e-08,0.10208320617675781,0.0487697996219,0.0662365,-334.399593525,26.00126814842224,6,0.00989455,1.4827301502227783,-399.668346954,5,0.0,4924.92,0.760306189475,-0.0662365,-27.3713626003,0.998082,-255.434657923,8.50206,3.533299446105957,46.6263935942,0.8476583957672119
3.14713e-08,0.09692096710205078,0.195220880574,0.0493818,-356.655020061,29.513421058654785,7,0.00641824,1.4910826683044434,-547.72615344,5,0.0,4938.75,0.720387201912,-0.0493818,-30.5915363021,0.998547,-235.270263828,8.50487,3.5078604221343994,113.450842414,0.8418126106262207
2.28882e-09,0.10801315307617188,-0.057931505674,0.0623918,-347.650584826,33.05559587478638,8,0.00998648,1.499422311782837,-407.452751559,5,0.0,4933.8,0.731125474335,-0.0623918,-25.8515646412,0.998387,-292.356966237,8.50386,3.5389490127563477,48.8426951143,0.8377611637115479
-1.46866e-08,0.11032915115356445,0.0748536039606,0.0635244,-321.0910697,36.72784423828125,9,0.00994984,1.501007080078125,-393.981682371,5,0.0,4930.06,0.76531766753,-0.0635244,-29.8015154491,0.99826,-212.856733451,8.50311,3.557366371154785,61.4913917984,0.8634181022644043
-4.57764e-09,0.10739994049072266,0.121093859003,0.0621914,-305.886969567,40.36660671234131,10,0.00989039,1.5050466060638428,-375.669672327,5,0.0,4932.31,0.781407880508,-0.0621914,-24.750200441,0.998334,-208.842602112,8.50356,3.6355462074279785,59.4852063882,0.8633193969726562
1.39236e-08,0.09568643569946289,0.12304994904,0.061527,-314.264294955,43.89809322357178,11,0.00999372,1.5069918632507324,-362.607496474,5,0.0,4924.79,0.79222141454,-0.061527,-23.6063523002,0.998077,-255.739678147,8.50204,3.528273582458496,38.1029812897,0.8527002334594727
-2.09808e-08,0.09923410415649414,0.310203442431,0.0521958,-247.729277791,47.55534076690674,12,0.00642417,1.5031914710998535,-342.007864665,5,0.0,4921.63,0.756002449463,-0.0521958,-20.1609828818,0.997968,-167.133295002,8.50139,3.543567657470703,63.011172816,0.8640704154968262
4.05312e-08,0.10265707969665527,-3.4426906745,0.0601664,-293.287848649,51.10631227493286,13,0.00997639,1.4988882541656494,-404.095705079,5,0.0,4895.87,0.716051698078,-0.0601664,-27.3993522999,0.997099,-179.856434305,8.49615,3.5466079711914062,72.4353354829,0.8696732521057129
