NumTrajs,ItrTime,AverageDiscountedReturn,LossBefore,LossAfter,MinReturn,StdReturn,ExplainedVariance,PolicyExecTime,MeanKLBefore,Iteration,EnvExecTime,MaxReturn,Perplexity,Entropy,ProcessExecTime,Time,dLoss,AveragePolicyStd,AverageReturn,AbsLearnSignal,MeanKL
214,11.845711469650269,99.2188863523,1.52496e-09,-0.0817221,73.1618324761,32.0307835561,8.25750579025e-12,1.01316237449646,0.0,0,6.894811391830444,232.474571675,2.99248e+10,24.122,0.15543770790100098,11.845717668533325,0.0817221,1.0,111.838248927,0.836961807029,0.00973016
212,10.966885328292847,100.754871169,2.84362e-08,-0.139567,74.3890860079,29.3236581543,-1.60878608393,1.3505725860595703,0.0,1,6.789121627807617,216.274742987,2.99118e+10,24.1215,0.13682198524475098,22.93306303024292,0.139567,0.999975,113.598268824,0.3253256299,0.00704507
200,10.89182186126709,104.803528124,-4.59229e-09,-0.0374368,77.0707846236,37.0339313546,-0.814080019742,1.207838773727417,0.0,2,7.221925497055054,293.777861641,2.98326e+10,24.1189,0.15622520446777344,33.9443838596344,0.0374368,0.999819,119.33994388,0.345360823517,0.00556768
214,10.838064193725586,99.3783824822,1.53004e-08,-0.0917168,74.4574786685,29.5426574963,0.238155995001,1.2116327285766602,0.0,3,7.500039339065552,209.555810509,2.97912e+10,24.1175,0.1492912769317627,44.90598154067993,0.0917168,0.999738,111.914838684,0.60168838374,0.00861519
202,10.68025517463684,104.340190019,-5.3635e-09,-0.0910164,76.8205366262,33.5101127194,-0.827869964612,1.2019991874694824,0.0,4,7.441760540008545,284.249426884,2.98516e+10,24.1195,0.15387344360351562,55.721455335617065,0.0910164,0.999857,118.515905084,0.371502293287,0.00846196
199,10.695867538452148,106.410792711,1.41463e-08,-0.0777639,75.6518343942,38.7183393604,0.453763271624,1.267726182937622,0.0,5,7.276128053665161,287.888070121,3.01859e+10,24.1306,0.14577937126159668,66.54080605506897,0.0777639,1.00051,121.433399056,0.724220299082,0.0086498
194,10.696168422698975,108.02264126,-2.0292e-08,-0.0946091,76.927763178,39.7996760778,0.472458931451,1.213263988494873,0.0,6,7.3975207805633545,260.348670039,3.01046e+10,24.1279,0.14727568626403809,77.36350274085999,0.0946091,1.00036,123.675469052,0.741481294982,0.00997686
197,10.81710410118103,106.370911544,-1.78031e-09,-0.05333,76.4439420774,39.3572423225,-7.83801398823,1.2384555339813232,0.0,7,7.483863115310669,267.821236869,3.00773e+10,24.127,0.14725542068481445,88.28984093666077,0.05333,1.0003,121.556311241,0.206083892985,0.00787149
192,10.66962718963623,108.909916855,2.69236e-08,-0.0651654,75.6302048566,42.9762909105,0.454857636418,1.2954797744750977,0.0,8,7.371344804763794,299.987427485,2.99177e+10,24.1217,0.1455540657043457,99.07146668434143,0.0651654,0.99999,125.061486826,0.710377527914,0.00607536
201,10.63455319404602,104.891977517,-2.65965e-09,-0.0861881,76.1464118065,36.1131723915,0.458615220535,1.2473464012145996,0.0,9,7.380323171615601,271.548004532,2.98954e+10,24.121,0.1505281925201416,109.84402656555176,0.0861881,0.999946,119.364717863,0.735794278497,0.00888429
181,10.66022276878357,114.446646715,6.43507e-09,-0.0620962,77.2635463691,39.5902392288,-16.1990493972,1.221799373626709,0.0,10,7.448407888412476,272.620420218,2.98796e+10,24.1204,0.1464536190032959,120.60936641693115,0.0620962,0.999916,132.104715684,0.153175009363,0.00855545
191,10.814459323883057,109.721828946,2.46681e-08,-0.082017,74.4333049626,38.7169789675,0.19932744523,1.2621657848358154,0.0,11,7.6088316440582275,248.349963664,2.98321e+10,24.1189,0.1468043327331543,131.54075455665588,0.082017,0.999823,125.779124613,0.557260959377,0.00869156
191,10.915675401687622,109.148121016,-6.10352e-09,-0.0651834,76.853927268,41.2368987896,-2.33337974309,1.2651536464691162,0.0,12,7.62760591506958,289.408156488,2.96754e+10,24.1136,0.1484699249267578,142.5706913471222,0.0651834,0.999513,125.271443486,0.319022301725,0.00411933
195,10.649049520492554,107.291988961,-1.6377e-08,-0.0993105,77.2070584294,34.9009250483,0.495839055286,1.2412810325622559,0.0,13,7.451664447784424,248.917621694,2.96493e+10,24.1127,0.14755940437316895,153.35027194023132,0.0993105,0.999463,122.421093241,0.728734095964,0.00930252
183,10.730347871780396,113.817714534,-1.62706e-08,-0.0449576,76.2349918303,45.9022455584,0.29670810651,1.2255702018737793,0.0,14,7.4381115436553955,295.296214145,2.96456e+10,24.1126,0.1452031135559082,164.21433806419373,0.0449576,0.999456,131.7454261,0.604154872959,0.0027969
177,11.017980337142944,116.308004615,6.19221e-09,-0.0284643,77.4544771866,49.9660486872,-12.2697777313,1.2331318855285645,0.0,15,7.4184958934783936,354.33219333,2.95615e+10,24.1097,0.1440567970275879,175.35846590995789,0.0284643,0.999288,135.411621578,0.172054242405,0.00240815
179,10.819462299346924,114.827718475,-2.08468e-08,-0.0992526,77.3142298369,45.2425828178,0.00891627836818,1.20322585105896,0.0,16,7.413592100143433,331.930119737,2.95863e+10,24.1106,0.14533019065856934,186.29205775260925,0.0992526,0.999338,133.13569344,0.660917282443,0.00862249
182,11.41429090499878,113.92782995,-1.8937e-08,-0.0111815,76.2451056773,48.8551754669,-3.3905365514,1.1889231204986572,0.0,17,7.3607330322265625,390.450047738,2.95747e+10,24.1102,0.14282846450805664,197.82582592964172,0.0111815,0.999316,132.160024757,0.292642219105,0.000555113
180,11.50824236869812,114.434419851,5.21973e-09,-0.0733988,77.0543190758,44.4017341236,-10.634747359,1.189223289489746,0.0,18,7.29909348487854,285.50646121,2.95336e+10,24.1088,0.14251446723937988,209.45009183883667,0.0733989,0.999235,132.503038876,0.222562920659,0.00312385
181,11.10801649093628,115.052641114,2.28874e-08,-0.0955028,80.2721371502,42.2273341361,0.413256902003,1.2012333869934082,0.0,19,7.472368240356445,242.528609253,2.95233e+10,24.1084,0.14529871940612793,220.68572068214417,0.0955028,0.999215,133.07070623,0.722204924706,0.00913688
177,10.849576950073242,115.888246951,-1.06641e-08,-0.0796946,77.3535856887,48.9386320041,0.348553641361,1.2139596939086914,0.0,20,7.506358623504639,339.092433691,2.94966e+10,24.1075,0.14408397674560547,231.6708207130432,0.0796946,0.999162,134.826342574,0.669492926329,0.00921742
169,10.604702234268188,121.830592106,-1.28968e-08,-0.0873391,77.5396982906,48.4441963827,0.335554105852,1.2631778717041016,0.0,21,7.389559745788574,319.235389059,2.92628e+10,24.0996,0.1417865753173828,242.3950400352478,0.0873391,0.998694,142.628674947,0.733471967029,0.00993871
176,10.892451047897339,116.990366261,-1.33408e-08,-0.0895172,76.664347418,51.9341963646,0.0402292713278,1.252532958984375,0.0,22,7.629227638244629,296.644787108,2.91869e+10,24.097,0.1469559669494629,253.39789080619812,0.0895172,0.998542,136.442554484,0.640882732293,0.00962196
171,10.669681072235107,119.707556085,-1.57861e-08,-0.0550917,75.8431614231,50.6718957467,0.104784980452,1.2478606700897217,0.0,23,7.424385070800781,309.741972598,2.90474e+10,24.0922,0.14422321319580078,264.17400574684143,0.0550917,0.99826,140.060362228,0.621266967341,0.0045416
174,10.788303852081299,118.543999104,-8.74582e-09,-0.094797,77.0075343283,49.1995274866,0.236688610585,1.284301519393921,0.0,24,7.515607118606567,323.51049349,2.89899e+10,24.0902,0.1456143856048584,275.0749237537384,0.094797,0.998145,138.295142513,0.683191568688,0.00928121
163,10.79718542098999,125.206276298,-1.4217e-08,-0.0807044,81.7476790863,49.8858974621,0.386794750194,1.2269461154937744,0.0,25,7.532838344573975,270.6196836,2.89378e+10,24.0884,0.14648890495300293,285.9902276992798,0.0807044,0.99804,147.447138736,0.744057995166,0.00747743
163,10.897542715072632,125.566352952,3.79345e-08,-0.0462907,77.2309452105,54.496518623,0.187795367255,1.245715856552124,0.0,26,7.551814556121826,411.698006233,2.88944e+10,24.0869,0.14394450187683105,296.9994328022003,0.0462907,0.997952,148.226219083,0.582593678214,0.0049313
151,10.866324186325073,132.150701928,3.1081e-08,-0.0814092,81.5705034823,57.3260989683,0.0491290896757,1.2645673751831055,0.0,27,7.617915153503418,368.505527317,2.88099e+10,24.084,0.14337921142578125,307.9792559146881,0.0814092,0.997782,157.739815326,0.616023714666,0.00999637
153,10.975935935974121,130.790727087,-1.70367e-08,-0.0699729,81.9149897121,51.0458039295,0.10180791256,1.2392377853393555,0.0,28,7.530514240264893,315.458761346,2.85278e+10,24.0741,0.14347457885742188,319.0696222782135,0.0699729,0.997204,155.331434198,0.662797193374,0.00900373
155,10.970509052276611,130.566487671,-4.8623e-09,-0.0863817,75.8674344448,60.1351446719,0.382646427264,1.2365474700927734,0.0,29,7.660175085067749,339.568956988,2.84448e+10,24.0712,0.14435434341430664,330.1632101535797,0.0863817,0.997036,155.73542237,0.755391536098,0.00991777
149,11.168757438659668,133.611823128,-6.67172e-09,-0.118464,81.5601720233,56.5558579011,-5.56507668058,1.2304103374481201,0.0,30,7.563971757888794,320.125613802,2.83649e+10,24.0684,0.14596343040466309,341.44217443466187,0.118464,0.996871,159.702936233,0.260140690407,0.00680884
150,11.173523902893066,133.617096586,-3.21083e-08,-0.134678,77.2024650067,58.5655594988,0.167287435058,1.2022147178649902,0.0,31,7.556631088256836,317.277570002,2.82161e+10,24.0632,0.14641690254211426,352.7280089855194,0.134678,0.996563,159.929083962,0.689716119798,0.0080774
152,11.419824838638306,131.934360086,-9.02695e-09,-0.0759823,79.5002926554,61.0289242316,0.0366454253545,1.225325584411621,0.0,32,7.7162206172943115,372.819262969,2.80862e+10,24.0585,0.14538955688476562,364.2697458267212,0.0759823,0.996292,157.790832939,0.660698345913,0.00944963
148,11.47460150718689,136.228074263,-3.09341e-08,-0.0583599,76.1278831582,61.5199115482,-0.490338497948,1.1937041282653809,0.0,33,7.614189386367798,353.441346923,2.78721e+10,24.0509,0.14445900917053223,375.8583345413208,0.0583598,0.995845,163.862047708,0.520003846341,0.00593805
135,11.88631534576416,145.454985533,-2.61863e-08,-0.0855184,80.7856829205,63.8313411939,0.129636055759,1.1973297595977783,0.0,34,7.624602317810059,400.700696479,2.78334e+10,24.0495,0.14201998710632324,387.85746335983276,0.0855183,0.995767,177.33512512,0.689897521053,0.00989791
144,11.604387521743774,137.611921305,1.51889e-08,-0.0859256,77.4695084619,59.553045186,0.264176536759,1.1892759799957275,0.0,35,7.628055095672607,365.369792566,2.77434e+10,24.0463,0.14498424530029297,399.57999634742737,0.0859256,0.995578,165.632735341,0.721292436397,0.00950429
135,11.80601692199707,145.508011739,-1.29886e-08,-0.0679633,77.2328343658,72.5706439124,-2.20925611234,1.1911554336547852,0.0,36,7.553675413131714,415.028257257,2.77105e+10,24.0451,0.14141345024108887,411.49826312065125,0.0679633,0.995509,178.334438767,0.360907774199,0.007201
145,11.55002760887146,137.250255213,1.89975e-10,-0.113427,81.9943746897,65.2887428994,-91.6331617904,1.1916661262512207,0.0,37,7.652214050292969,409.558966763,2.78265e+10,24.0493,0.14079594612121582,423.1684157848358,0.113427,0.995751,165.710104409,0.10890722682,0.00611558
140,11.108079671859741,140.070987255,2.95361e-08,-0.11519,77.3532944754,66.4301159409,-364.276456632,1.1816718578338623,0.0,38,7.543272018432617,361.769073928,2.79249e+10,24.0528,0.13907074928283691,434.3976995944977,0.11519,0.99596,170.093138153,0.0785038994348,0.00664154
149,11.099472761154175,134.893587192,8.55886e-09,-0.0848959,77.2250239156,63.1111374817,-0.0171305347263,1.1972901821136475,0.0,39,7.711987257003784,373.64917181,2.8103e+10,24.0591,0.14380097389221191,445.6199543476105,0.0848959,0.996333,162.109848718,0.612727438629,0.00962425
132,10.95852017402649,148.18439301,3.02241e-08,-0.0805585,86.997048012,71.0439081943,0.106476163335,1.2878713607788086,0.0,40,7.713962554931641,380.809090526,2.80627e+10,24.0577,0.14110279083251953,456.6950032711029,0.0805585,0.996248,182.175969758,0.668781378883,0.0089628
145,10.82466197013855,137.468616634,-4.84147e-09,-0.0975516,81.7558426842,64.8879718662,0.265764702822,1.2578487396240234,0.0,41,7.605876207351685,444.14844443,2.78797e+10,24.0512,0.14458322525024414,467.6389079093933,0.0975516,0.995865,165.819267498,0.738134108448,0.00861997
