AverageAbsY,AbsLearnSignal,EnvExecTime,NumTrajs,PolicyExecTime,AverageQLoss,LossAfter,Perplexity,AverageDiscountedReturn,ItrTime,AverageAbsQYDiff,ProcessExecTime,MinReturn,AverageReturn,MaxReturn,StdReturn,Time,AverageAbsQ,LossBefore,AbsLearnSignalNew,MeanKL,MeanKLBefore,AverageQ,Iteration,AbsLearnSignalOld,AveragePolicyStd,AverageY,ExplainedVariance,dLoss,Entropy
13.0718507486,0.837140695956,6.13031792640686,248,1.0092129707336426,9.29475,-21.9156,2.99247e+10,87.3866648838,52.24843502044678,1.71506980892,0.16140222549438477,66.9419192362,96.6939183194,251.361652312,24.1444084065,52.24844789505005,13.0346,-21.8292,0.837140695956,0.00671454,0.0,12.9983,0,0.837438917968,1.0,13.051967699,1.12404530128e-11,0.0864162,24.122
28.9713182692,0.117387362204,7.041643142700195,228,1.027796983718872,6.929,-36.5647,2.99942e+10,93.5726974021,53.964377641677856,1.82134064341,0.14307045936584473,72.0044119504,104.622715305,250.946830662,28.6665963119,106.35528039932251,28.9479,-36.3587,0.117387362204,0.00667666,0.0,28.9406,1,0.117448066501,1.00014,28.9712696194,-187.556995463,0.206001,24.1243
41.0121611643,0.252500067782,7.152117967605591,230,1.0351674556732178,8.6627,-46.6009,3.00625e+10,93.223037658,54.32633018493652,2.04083174023,0.1520829200744629,71.3239360957,104.175429392,230.016565985,29.4068860858,160.80540251731873,41.0072,-46.4734,0.252500067782,0.0087782,0.0,40.9936,2,0.25289055688,1.00027,41.0121589939,-3.22379603118,0.127434,24.1265
48.9753765463,0.489878186723,7.181650876998901,225,1.029576063156128,11.7689,-51.609,3.01299e+10,95.3214296591,54.10119557380676,2.4352480935,0.1477799415588379,71.1928837776,106.66981973,221.517491911,27.944677405,215.02788615226746,48.9712,-51.392,0.489878186723,0.00931988,0.0,48.9572,3,0.491920396258,1.0004,48.9745238986,0.0630964979973,0.217003,24.1288
54.1564558346,0.269806540544,7.301989555358887,209,1.0600042343139648,16.5696,-57.4816,2.9984e+10,101.982002423,54.633206605911255,2.94001417743,0.15273118019104004,71.9027730497,115.437363758,212.382579496,33.381037972,269.78359746932983,54.1492,-57.2279,0.269806540544,0.00923287,0.0,54.1368,4,0.271917093626,1.00012,54.1561432302,-2.71745881369,0.253677,24.1239
58.2393997945,0.383911234194,7.368399381637573,188,1.0615019798278809,21.0702,-63.5238,3.0031e+10,110.575378609,53.98759126663208,3.38905971743,0.14553523063659668,75.7867963489,127.047698144,251.591165607,39.8486929202,323.894690990448,58.2291,-63.0143,0.383911234194,0.00949661,0.0,58.2202,5,0.386319688658,1.00021,58.2392580872,-1.20823734241,0.509506,24.1255
61.9162476211,0.522463774743,7.468200922012329,178,1.065906047821045,25.9052,-67.4276,3.00564e+10,116.673526026,53.57207202911377,3.77959758041,0.15060710906982422,77.3472467968,135.485574824,434.661672612,47.9367195306,377.59008955955505,61.9064,-67.1509,0.522463774743,0.00640726,0.0,61.8973,6,0.527062109134,1.00026,61.9161298064,0.0479837521082,0.276756,24.1263
65.5367585537,0.396033230175,7.374987840652466,169,1.061276912689209,29.8425,-72.5833,3.00559e+10,122.255072736,53.35867691040039,4.06313982809,0.14544320106506348,77.0647466696,142.968586488,300.187600996,47.1176610194,431.0729970932007,65.5279,-72.1985,0.396033230175,0.00998188,0.0,65.5181,7,0.399732768067,1.00026,65.5367376341,-1.16866467888,0.384735,24.1263
69.5042667756,0.669266943956,7.4297661781311035,151,1.0714924335479736,34.1267,-76.2869,3.0044e+10,133.963031259,53.879114389419556,4.35145711459,0.14767885208129883,72.76292771,159.892099664,332.033125925,55.8281751682,485.0792841911316,69.4959,-75.8816,0.669266943956,0.00961889,0.0,69.4851,8,0.670761368626,1.00023,69.503921431,0.144423173711,0.405289,24.1259
74.2967156082,0.793725737711,7.522535562515259,143,1.0757341384887695,39.9952,-83.6482,3.0035e+10,141.807030297,53.29202103614807,4.69167779408,0.14471650123596191,67.5745528652,171.293630087,372.089024726,60.7928344458,538.4987185001373,74.2887,-83.3002,0.793725737711,0.00642296,0.0,74.276,9,0.793106196396,1.00022,74.2964104172,0.399316154633,0.347977,24.1256
79.4041194671,0.744773416259,7.629770040512085,146,1.080230951309204,46.9421,-90.1429,3.00386e+10,138.997221938,54.51741552352905,5.05339275221,0.14747953414916992,76.6502057991,167.066706899,354.00337236,58.1573589301,593.1410720348358,79.3958,-89.772,0.744773416259,0.00642665,0.0,79.3814,10,0.747692654875,1.00022,79.402742053,0.329101054362,0.370926,24.1257
84.8840525241,0.715728492733,7.779076337814331,126,1.0826609134674072,52.3982,-97.2656,3.00459e+10,157.818335211,53.8556227684021,5.3279854401,0.14544057846069336,76.8188818872,195.004059502,405.003716937,65.6850009842,647.1218640804291,84.8764,-96.9126,0.715728492733,0.00642217,0.0,84.859,11,0.717407920488,1.00024,84.8799957766,0.238265072539,0.352989,24.126
90.5179906898,0.645784415166,7.784357070922852,113,1.1161277294158936,60.1556,-107.098,3.00414e+10,172.534630625,54.28737783432007,5.66937808479,0.1456587314605713,87.208010284,217.310201625,376.162152182,63.7995245617,701.533303976059,90.512,-106.743,0.645784415166,0.00641629,0.0,90.4904,12,0.646705260998,1.00023,90.5149252901,0.0405881788021,0.354218,24.1258
96.6908204275,0.674378218302,8.001677989959717,99,1.103116512298584,67.6314,-113.814,3.00447e+10,190.199321653,54.071861267089844,5.9897583192,0.14524316787719727,81.7256686102,249.283162563,568.569124305,92.7713051236,755.7323782444,96.6889,-113.483,0.674378218302,0.00642847,0.0,96.6662,13,0.675665567522,1.00024,96.6862346651,-0.061215712385,0.3302,24.126
103.198152757,0.723038666731,7.818756818771362,102,1.0855379104614258,76.2786,-120.106,3.00258e+10,184.540644923,53.81579804420471,6.32841581535,0.14300537109375,87.4643469584,238.402857372,628.205061698,81.0632791582,809.6721086502075,103.207,-119.785,0.723038666731,0.00642711,0.0,103.172,14,0.723061553472,1.0002,103.191199912,0.104957324215,0.320511,24.1253
109.893031585,0.596825436088,8.043704271316528,101,1.0973906517028809,84.535,-127.93,3.00165e+10,188.797929676,55.785187005996704,6.62620490502,0.1463332176208496,81.8834946245,246.105675555,464.244127443,87.7617651518,865.5862355232239,109.908,-127.54,0.596825436088,0.00969654,0.0,109.863,15,0.595911623541,1.00018,109.882187452,0.0399122604397,0.389511,24.125
117.174563839,0.657110693021,8.160415649414062,98,1.101445198059082,93.8069,-136.589,2.99892e+10,193.841294896,55.2331120967865,6.91652670148,0.14448070526123047,81.5984284651,253.369042874,593.906653991,81.8251899326,920.9463844299316,117.192,-136.29,0.657110693021,0.00641974,0.0,117.143,16,0.658182816445,1.00013,117.164462502,-0.0849105448376,0.298904,24.1241
124.211334073,0.605797952338,7.989753484725952,91,1.0784449577331543,101.513,-146.371,2.99721e+10,207.714419523,54.233216762542725,7.13502144544,0.14291644096374512,82.2750128778,276.412932121,494.585590696,82.0802480381,975.3099162578583,124.23,-146.081,0.605797952338,0.00644563,0.0,124.173,17,0.606867618622,1.00009,124.193248231,0.0521152836488,0.289413,24.1235
130.823307864,0.339526933357,8.144965648651123,87,1.094271183013916,109.18,-149.928,2.99447e+10,215.157786616,54.87454295158386,7.39906361906,0.14588189125061035,85.3587880038,290.02009605,510.340438649,85.0003510846,1030.313091993332,130.847,-149.624,0.339526933357,0.00937749,0.0,130.779,18,0.339448951753,1.00004,130.798277973,-2.00404449544,0.304276,24.1226
137.462485301,0.731293298342,8.418001174926758,85,1.1207377910614014,115.479,-156.166,2.9968e+10,219.061902401,54.88147211074829,7.58473376733,0.14456391334533691,87.4131432161,296.245828462,605.38068432,82.510048331,1085.3174188137054,137.486,-155.869,0.731293298342,0.00998271,0.0,137.422,19,0.730376832126,1.00009,137.442328583,0.271627904778,0.296265,24.1234
