LossBefore,PolicyExecTime,dLoss,AverageDiscountedReturn,AveragePolicyStd,Perplexity,AverageQ,AbsLearnSignalOld,AverageQLoss,AverageAbsQYDiff,StdReturn,AverageY,MeanKLBefore,AverageReturn,LossAfter,MaxReturn,MeanKL,EnvExecTime,NumTrajs,ExplainedVariance,Iteration,Entropy,AverageAbsQ,AverageAbsY,ItrTime,MinReturn,AbsLearnSignal,Time,AbsLearnSignalNew,ProcessExecTime
-20.8249,0.9868984222412109,0.0708771,89.2316265073,1.0,2.99248e+10,12.7212,0.84868907326,9.42679,1.77361118308,19.1419185028,12.7745152982,0.0,98.6853236203,-20.8958,157.678655376,0.00646522,6.471200466156006,245,1.26646471088e-11,0,24.122,12.7966,12.8696125069,53.57140374183655,70.4757962793,0.848757034008,53.571398973464966,0.848757034008,0.15322613716125488
-35.838,1.028738021850586,0.086441,89.7115007852,0.999892,2.98699e+10,28.9351,0.393947846071,6.27978,1.72904605879,19.4128355304,28.9618242618,0.0,99.2968429001,-35.9245,188.671170177,0.00491888,6.583694934844971,243,0.128587889142,1,24.1201,28.9418,28.9618242618,52.9652361869812,75.3897334426,0.39385082636,106.69387626647949,0.39385082636,0.1412670612335205
-44.4523,1.1215095520019531,0.159767,93.4343900311,0.99997,2.99092e+10,40.686,0.161308408763,7.31136,1.84845242791,21.9867702414,40.7033959656,0.0,104.013015938,-44.612,187.944740963,0.0092108,6.780800819396973,232,-4.92859080845,2,24.1214,40.6972,40.7040638155,53.54995679855347,72.0103872113,0.160823591196,160.385356426239,0.160823591196,0.14652776718139648
-51.2908,1.1207170486450195,0.161335,94.7436344476,0.999988,2.99188e+10,48.0883,0.622466587697,8.86093,2.11593889469,21.9340438261,48.1005973153,0.0,105.648320526,-51.4521,186.933358499,0.00654258,6.814701080322266,228,0.622239390086,3,24.1218,48.0944,48.1009081595,53.65404772758484,76.460851914,0.620914259552,214.17558574676514,0.620914259552,0.1461164951324463
-56.228,1.158940315246582,0.197861,97.4497588257,1.00005,2.99499e+10,52.5887,0.25453072903,11.8167,2.5156708462,21.7538872002,52.6014010206,0.0,109.005384867,-56.4259,190.991586819,0.00735194,6.871181964874268,221,-2.16345703328,4,24.1228,52.5942,52.6022288465,53.77389693260193,75.7969067053,0.252281051946,268.08572816848755,0.252281051946,0.14669322967529297
-57.8107,1.120743989944458,0.266125,99.3131905957,1.00009,2.99727e+10,55.1619,0.346151968661,14.5301,2.82428057537,23.3924533073,55.1729612847,0.0,111.453526205,-58.0768,181.646805801,0.00986197,6.957247018814087,216,-0.617341542555,5,24.1236,55.1666,55.1729612847,53.277578353881836,72.4089057514,0.34299340958,321.50260972976685,0.34299340958,0.14891576766967773
-60.1756,1.092226266860962,0.282585,104.654690919,1.00009,2.99726e+10,57.2094,0.654667711081,15.7274,2.96274464665,28.7380433728,57.2204404996,0.0,118.496879801,-60.4582,232.634901154,0.00932685,6.998026609420776,204,0.587142067277,6,24.1235,57.2132,57.2204404996,53.74594020843506,77.1303388782,0.651575913195,375.38349533081055,0.651575913195,0.14957880973815918
-64.2702,1.134049892425537,0.312088,110.831506924,1.00008,2.99649e+10,59.3716,0.0868964465504,16.9217,3.05796495416,31.4582890315,59.3820032941,0.0,126.717275896,-64.5823,218.612452167,0.00967396,7.123183488845825,190,-335.358112036,7,24.1233,59.3762,59.3822181918,53.788920164108276,77.2536889576,0.0866836611934,429.31126260757446,0.0866836611934,0.14921998977661133
-68.6628,1.1238892078399658,0.341537,119.621548131,1.00006,2.99535e+10,62.1674,0.669464030475,19.0535,3.22861795186,38.2731323856,62.1791642164,0.0,138.747396489,-69.0043,275.010422036,0.0099714,7.31215763092041,175,0.515750734369,8,24.1229,62.1706,62.1791666463,54.58417892456055,77.3637915336,0.664446871545,484.02920961380005,0.664446871545,0.1506023406982422
-73.6742,1.1265020370483398,0.366432,120.413886827,1.00002,2.99349e+10,65.5541,0.48472017602,22.123,3.47148562427,42.4790674363,65.5647353146,0.0,140.085904478,-74.0406,320.522812368,0.00997781,7.315581798553467,172,-0.0734364644657,9,24.1223,65.5588,65.5664788098,53.97097086906433,80.3135323255,0.479979494806,538.1340954303741,0.479979494806,0.15435266494750977
-80.4665,1.1498215198516846,0.448715,137.290916383,0.999956,2.99022e+10,70.0209,0.365128341582,26.4771,3.80465834428,61.4026040037,70.0350504851,0.0,165.064708002,-80.9152,469.331501103,0.00989704,7.546893835067749,147,-2.0405669573,10,24.1212,70.0251,70.0355416905,55.754480600357056,81.9789222185,0.363914965631,594.0267713069916,0.363914965631,0.14943933486938477
-87.5916,1.138401746749878,0.428787,143.719769021,0.999951,2.98995e+10,75.4881,0.707357729166,32.2653,4.18189557827,60.0031286549,75.5006641807,0.0,174.047169833,-88.0204,404.98195754,0.00977882,7.571544170379639,140,0.0987088005733,11,24.1211,75.4943,75.5007723197,55.68421959877014,81.853026514,0.706272954619,649.8499233722687,0.706272954619,0.14876294136047363
-100.101,1.1434767246246338,0.343803,158.611561098,0.99994,2.98941e+10,82.5305,0.670005169935,40.7246,4.66498885545,78.327991836,82.5464269484,0.0,198.297565115,-100.445,456.792547149,0.00643082,7.709281921386719,123,0.1177912644,12,24.1209,82.5374,82.5477238071,56.35862946510315,84.9256556207,0.668165682127,706.3425405025482,0.668165682127,0.14980721473693848
