LossAfter,AverageAbsQYDiff,AbsLearnSignalOld,MaxReturn,AverageAbsQ,MeanKLBefore,MinReturn,AverageQLoss,StdReturn,AbsLearnSignalNew,AverageQ,MeanKL,AbsLearnSignal,PolicyExecTime,Iteration,Time,NumTrajs,AverageAbsY,ProcessExecTime,Entropy,AveragePolicyStd,LossBefore,AverageDiscountedReturn,ExplainedVariance,EnvExecTime,dLoss,AverageReturn,ItrTime,AverageY,Perplexity
-1.90041,0.437367580129,0.685754738123,-360.547116035,1.62684,0.0,-553.37144697,0.340651,71.9343278648,0.686220441957,-1.5548,0.00996435,0.686220441957,0.6412734985351562,0,32.333356857299805,5,1.6864602391,0.0857095718383789,8.51363,1.0,-1.83627,-56.5056705047,2.6443847112e-11,1.479956865310669,0.0641304,-455.381215898,32.333348751068115,-1.55997278896,4982.22
2.32815,0.6656218445,0.72869502536,-264.753224503,3.4798,0.0,-570.987747428,0.871374,98.9465170309,0.728464967671,-3.42352,0.00988252,0.728464967671,0.6476125717163086,1,64.99129605293274,5,3.5314203617,0.08825182914733887,8.50925,0.999276,2.39709,-51.9184979958,0.265822299963,1.5680954456329346,0.0689466,-427.842730316,32.52189564704895,-3.42786840573,4960.46
4.38979,0.725176254545,0.649336937259,-351.978792096,5.12264,0.0,-564.460790756,0.928544,79.9517563619,0.650558107857,-4.99855,0.00998057,0.650558107857,0.6965947151184082,2,98.43370985984802,5,5.16200997057,0.09102129936218262,8.50951,0.99932,4.45779,-31.115935145,0.183716475991,1.6025745868682861,0.0679998,-416.881954659,33.32170486450195,-4.99989601306,4961.75
5.68103,0.814246926968,0.739477620452,-351.012381025,6.49984,0.0,-552.634196387,1.21235,67.8995586441,0.738904343363,-6.35506,0.00644236,0.738904343363,0.7156169414520264,3,131.3260772228241,5,6.53455772661,0.09594941139221191,8.50652,0.998826,5.73653,-30.1260124606,0.335637106619,1.6049304008483887,0.0554957,-429.661696374,32.765565156936646,-6.35685656909,4946.91
6.6931,0.95299511709,0.728913457106,-352.344210603,7.74729,0.0,-527.034148423,1.7706,56.3521146306,0.728257130088,-7.56876,0.00640984,0.728257130088,0.6361410617828369,4,164.3994390964508,5,7.78989171403,0.08757662773132324,8.50181,0.998046,6.75396,-41.9800306242,0.13164003467,1.5656366348266602,0.0608611,-435.619444893,32.949321031570435,-7.57213739576,4923.66
7.59831,0.973588958492,0.763998271695,-309.169370008,8.71574,0.0,-467.204434319,1.89492,57.0481513827,0.76431297623,-8.53018,0.00998774,0.76431297623,0.6614346504211426,5,197.27985501289368,5,8.75380178432,0.0942683219909668,8.49916,0.997608,7.66696,-44.7253359013,-0.178460239435,1.5916633605957031,0.0686502,-388.484270688,32.761037826538086,-8.53383021643,4910.64
8.12707,1.05074081695,0.713350268708,-317.939599293,9.62104,0.0,-510.003031928,2.31523,69.5169090643,0.71354631087,-9.42946,0.00991712,0.71354631087,0.688300371170044,6,230.49453473091125,5,9.66092329346,0.09405159950256348,8.49854,0.997504,8.19489,-36.4002280043,0.151570708237,1.5897459983825684,0.0678205,-397.388014592,33.09032392501831,-9.43297466765,4907.6
9.6888,1.06593155619,0.654461249074,-329.703258925,10.4719,0.0,-620.108573164,2.45966,105.947766834,0.654499895961,-10.2901,0.00644481,0.654499895961,0.6585016250610352,7,263.52320408821106,5,10.5056416219,0.0900881290435791,8.4999,0.99774,9.7424,-47.3044805203,0.211338939393,1.5536980628967285,0.0536079,-416.104072226,32.90641713142395,-10.2933165892,4914.29
9.21098,1.0765612505,0.674142456575,-199.599768706,11.0803,0.0,-382.802455287,2.57883,61.6185658655,0.675318422593,-10.8649,0.009986,0.675318422593,0.6660206317901611,8,297.9522159099579,5,11.1161566464,0.0918722152709961,8.49484,0.9969,9.28579,-19.8857388323,-0.1581824352,1.5756745338439941,0.0748138,-307.104821301,34.304417848587036,-10.8686047409,4889.45
10.3385,1.0780436639,0.755474195887,-292.327460534,11.5989,0.0,-372.545827104,2.66317,26.2075651714,0.754892182144,-11.4067,0.00640666,0.754892182144,0.8439919948577881,9,332.17004919052124,5,11.6296375601,0.10830950736999512,8.49795,0.99742,10.3913,-17.4362121194,0.335432556108,1.6888079643249512,0.0527925,-334.580082834,34.08915829658508,-11.4102112078,4904.7
