LossAfter,Time,dLoss,Perplexity,EnvExecTime,Entropy,MeanKL,AbsLearnSignal,MaxReturn,Iteration,AbsLearnSignalNew,AverageReturn,AveragePolicyStd,AbsLearnSignalOld,LossBefore,AverageAbsY,AverageY,PolicyExecTime,MinReturn,ProcessExecTime,AverageAbsQYDiff,AverageQLoss,ItrTime,AverageDiscountedReturn,AverageQ,StdReturn,NumTrajs,ExplainedVariance,MeanKLBefore,AverageAbsQ
-2.59273,31.900856018066406,0.063736,4982.22,1.3627560138702393,8.51363,0.0098153,0.745047219395,-375.714080362,0,0.745047219395,-476.616488715,1.0,0.745242373945,-2.529,1.6477039293,-1.43825647984,0.6192052364349365,-632.913011908,0.09232044219970703,0.49838562789,0.42805,31.900842428207397,-44.712408201,-1.43212,84.817000742,5,2.58698618083e-11,0.0,1.56954
2.11326,63.65586495399475,0.0532479,5008.94,1.35554838180542,8.51898,0.0064194,0.741776419116,-381.594193215,1,0.741776419116,-458.491263508,1.00089,0.742374600087,2.16651,3.29320928986,-3.13363988716,0.5989408493041992,-559.595651129,0.09340858459472656,0.622601497259,0.659672,31.616286754608154,-35.0696521613,-3.13154,71.4753807103,5,0.266783407567,0.0,3.24628
3.66098,95.05715441703796,0.0539069,5016.84,1.3572871685028076,8.52056,0.00645845,0.735943303872,-351.011300948,2,0.735943303872,-406.708996691,1.00116,0.736060633015,3.71489,5.01402665295,-4.82232154633,0.5810155868530273,-503.480161186,0.08490586280822754,0.773920695004,1.04448,31.279122829437256,-29.5650827101,-4.82133,59.2053097324,5,0.36846618149,0.0,4.97077
5.30648,125.41050267219543,0.067553,5012.65,1.3436076641082764,8.51972,0.00999476,0.712921908034,-372.509445775,3,0.712921908034,-444.036584261,1.00102,0.713041201881,5.37403,6.60670085364,-6.38395608589,0.5643630027770996,-544.429886867,0.08211708068847656,0.92005300508,1.53776,30.234018087387085,-41.5123480961,-6.38169,61.6922905472,5,0.208639711934,0.0,6.55931
6.89074,156.24721002578735,0.0560069,4997.11,1.3339273929595947,8.51662,0.00650982,0.72659589134,-357.836012921,4,0.72659589134,-409.578338007,1.0005,0.72719580757,6.94675,8.11855937377,-7.87211564138,0.5666217803955078,-491.396209135,0.08386707305908203,0.966069518856,1.70212,30.716867923736572,-27.9847268414,-7.86951,49.3071920339,5,0.488412837117,0.0,8.07404
9.59292,187.25873064994812,0.0759678,4998.86,1.3552134037017822,8.51696,0.0099751,0.716508328988,-239.75290719,5,0.716508328988,-345.36156082,1.00056,0.715635629501,9.66889,9.64394557206,-9.34507901181,0.5716874599456787,-442.486399194,0.08638238906860352,1.07012960284,2.28502,30.893121242523193,-7.4317658049,-9.33981,80.5646328875,5,0.342204932458,0.0,9.58694
8.98016,217.9598331451416,0.0574903,4998.97,1.3635928630828857,8.51699,0.00644106,0.788363650366,-241.396651847,6,0.788363650366,-367.420423359,1.00057,0.787712593849,9.03765,10.6102229013,-10.3222889218,0.6174557209014893,-507.058694923,0.08600616455078125,1.07259874175,2.28121,30.580344200134277,-31.5101079293,-10.3178,85.7251537079,5,-2.77923098494,0.0,10.5535
9.70869,248.80536484718323,0.0592995,5000.23,1.3376154899597168,8.51724,0.00641045,0.738836905859,-170.248374192,7,0.738836905859,-316.270530991,1.00061,0.739338351285,9.76799,11.5156651415,-11.2139121119,0.5533747673034668,-435.373051908,0.08103704452514648,1.09615123765,2.41524,30.724795818328857,-21.021859386,-11.21,103.40563233,5,0.259648871231,0.0,11.461
13.4844,279.0389394760132,0.0725985,5034.89,1.3534502983093262,8.52415,0.00644052,0.70909488323,-316.264615496,8,0.70909488323,-373.284378269,1.00176,0.709135393268,13.557,12.6695022977,-12.3862097795,0.5528304576873779,-424.135705909,0.07908415794372559,1.10349973047,2.47614,30.112929821014404,-23.2679071815,-12.3816,37.8116016885,5,-6.19667002142,0.0,12.6177
12.4945,310.3877809047699,0.0569172,5038.04,1.3416564464569092,8.52477,0.00640765,0.754866155329,-315.296093319,9,0.754866155329,-383.1072846,1.00186,0.755203886246,12.5514,13.4879341103,-13.2394407329,0.5499863624572754,-450.590002019,0.07850456237792969,1.12649130367,2.61542,31.228885173797607,-32.1865975436,-13.2354,57.39151237,5,0.0865438794005,0.0,13.4409
13.2574,341.6012456417084,0.0587301,5044.7,1.408113718032837,8.52609,0.0064056,0.729196205714,-268.114213815,10,0.729196205714,-327.935273986,1.00209,0.729809483514,13.3161,14.2011823835,-13.976570418,0.6977660655975342,-386.634045533,0.09389591217041016,1.13192898372,2.64373,31.0914249420166,-29.6139081899,-13.9724,39.4543505858,5,-0.349055687501,0.0,14.1598
13.2421,371.8776180744171,0.0747871,5014.4,1.346980094909668,8.52007,0.00997614,0.707148525278,-234.805409918,11,0.707148525278,-298.536000373,1.00108,0.708081826504,13.3169,14.6961239098,-14.4711022697,0.5801866054534912,-379.063486546,0.0816960334777832,1.13736834815,2.70173,30.151178121566772,-18.9906172327,-14.4671,53.3687815828,5,0.297279893102,0.0,14.6564
15.2109,403.1382546424866,0.0578194,5010.17,1.3342576026916504,8.51923,0.00642091,0.724542136539,-258.004592299,12,0.724542136539,-337.760237889,1.00094,0.724668810646,15.2687,15.2168720278,-15.0088668642,0.5841772556304932,-380.483940082,0.0784139633178711,1.1199439567,2.63003,31.1422221660614,-22.1692258803,-15.006,42.6639660996,5,0.31075294618,0.0,15.1829
