AverageAbsQYDiff,AverageDiscountedReturn,ProcessExecTime,AveragePolicyStd,PolicyExecTime,AverageReturn,AverageQ,AverageAbsQ,EnvExecTime,LossAfter,Entropy,Time,AbsLearnSignalNew,AverageAbsY,LossBefore,AverageY,ItrTime,ExplainedVariance,Perplexity,MinReturn,dLoss,AbsLearnSignalOld,Iteration,MaxReturn,NumTrajs,AverageQLoss,MeanKLBefore,AbsLearnSignal,StdReturn,MeanKL
0.447823687887,-25.0358700283,0.07075905799865723,1.0,0.5456454753875732,-310.425869726,-0.212847,0.854631,0.9950523376464844,-1.61547,8.51363,31.732218265533447,0.713359717943,0.965003474807,-1.54859,-0.214815419592,31.732204914093018,8.04554201039e-11,4982.22,-371.27582962,0.0668805,0.713459990629,0,-248.304324124,5,0.35344,0.0,0.713359717943,53.4774513896,0.00994508
0.566790679109,-27.294980982,0.08914327621459961,0.998795,0.592700719833374,-279.583974117,-1.29543,1.66317,1.3022234439849854,0.752795,8.50639,64.00973606109619,0.759309864335,1.75697902213,0.816852,-1.29782740978,32.13422966003418,0.12848752837,4946.28,-330.029320021,0.0640571,0.759281546012,1,-236.388406789,5,0.549033,0.0,0.759309864335,37.1979006318,0.00990187
0.68513759136,-23.4992247687,0.0880429744720459,0.998751,0.5643410682678223,-266.69181285,-2.18451,2.62475,1.2799623012542725,1.68093,8.50612,96.06462264060974,0.72756175871,2.7082699411,1.73276,-2.18645448638,31.922384023666382,0.11997639823,4944.95,-314.094530275,0.0518301,0.727167702756,2,-203.032318312,5,0.820048,0.0,0.72756175871,40.0515508309,0.00641834
0.794912637723,-49.5551622391,0.0932009220123291,0.997555,0.6100361347198486,-326.360468451,-3.08658,3.54801,1.2929515838623047,2.56114,8.49892,126.91477918624878,0.680194717479,3.62770042427,2.62877,-3.0883919128,30.719214916229248,-0.0886897497435,4909.48,-456.553994731,0.0676329,0.680496265884,3,-204.41263075,5,1.14399,0.0,0.680194717479,101.346728857,0.00991353
0.877853621502,-17.1035281174,0.08587265014648438,0.998594,0.5722846984863281,-282.185766272,-3.77038,4.31534,1.297792911529541,3.175,8.50514,157.74713850021362,0.692078383753,4.39084373162,3.24779,-3.77234483177,30.70625376701355,-0.151906874927,4940.11,-375.791285467,0.0727909,0.692634361468,4,-98.3026100874,5,1.44357,0.0,0.692078383753,102.89941232,0.00984149
0.913000125799,-25.5509133951,0.08730483055114746,0.999548,0.5996642112731934,-297.588025153,-4.37812,4.92218,1.301849365234375,3.68678,8.51089,189.12845540046692,0.742455210254,4.99023564206,3.75424,-4.37995168715,31.247472763061523,0.200375833453,4968.58,-378.694246152,0.0674622,0.741633680767,5,-232.287049094,5,1.57579,0.0,0.742455210254,49.7762381562,0.00988804
0.927740124487,-11.4594371543,0.07806277275085449,0.999385,0.5685396194458008,-221.912630558,-4.82247,5.36768,1.2882559299468994,4.08827,8.50987,220.24048900604248,0.730761826701,5.43149199466,4.16153,-4.82442440502,30.979816675186157,-0.182298824434,4963.52,-248.254838167,0.0732522,0.731817694667,6,-191.052524908,5,1.64703,0.0,0.730761826701,24.2956135314,0.00992297
0.94023014792,-14.2127921554,0.08485579490661621,0.999708,0.5692875385284424,-208.357443715,-5.12234,5.67168,1.3070120811462402,4.51873,8.51183,251.39266657829285,0.746791208837,5.73289202324,4.57726,-5.12388681699,31.02383017539978,0.120399313064,4973.24,-274.016734326,0.0585341,0.747945363175,7,-147.563988883,5,1.7065,0.0,0.746791208837,50.0990220811,0.00642725
0.962767715941,-33.7178029032,0.07692265510559082,0.998447,0.5723607540130615,-271.168843942,-5.33748,5.86831,1.2932274341583252,5.06466,8.50425,281.7844126224518,0.751508177504,5.92823697561,5.1309,-5.33896348634,30.256605863571167,0.0221614443401,4935.7,-339.165178925,0.0662408,0.75143219872,8,-172.49911919,5,1.82512,0.0,0.751508177504,62.0561588701,0.00992402
0.956282497226,-26.5923442791,0.08113479614257812,0.998941,0.570976972579956,-222.81363027,-5.40008,5.91392,1.3117003440856934,4.79514,8.50722,313.27298855781555,0.763141750543,5.97060217158,4.86875,-5.40111731133,31.359745502471924,0.0282013590283,4950.4,-272.619883337,0.0736041,0.764402609879,9,-168.982286893,5,1.81459,0.0,0.763141750543,41.2594181123,0.00990225
0.974995208798,-27.5260500952,0.10259318351745605,0.99785,0.7007663249969482,-238.100167411,-5.37906,5.89136,1.3615236282348633,4.81645,8.50064,345.0819547176361,0.763066680146,5.94891061208,4.88194,-5.38027110528,31.675282955169678,-0.483772805924,4917.93,-338.598681469,0.0654864,0.76100890955,10,-183.045321594,5,1.91952,0.0,0.763066680146,62.5803791162,0.00999131
0.966544069415,-8.11434220101,0.08523035049438477,0.994357,0.616865873336792,-182.888978716,-5.29857,5.78267,1.3390827178955078,4.64047,8.47951,375.7116312980652,0.67362604402,5.83921872451,4.7148,-5.29962727777,30.499605655670166,-0.163631691842,4815.11,-249.329191469,0.0743361,0.673681610049,11,-91.0487331654,5,1.86701,0.0,0.67362604402,51.26818486,0.00996883
0.980205823884,-34.4435199072,0.08022260665893555,0.991504,0.5720169544219971,-220.830524406,-5.19114,5.63553,1.3115458488464355,5.13452,8.46229,407.0598232746124,0.740863393008,5.69118041955,5.18796,-5.19181930739,31.219764709472656,0.102652543277,4732.9,-318.515875815,0.0534348,0.741030449656,12,-131.03596398,5,1.91472,0.0,0.740863393008,59.9883926323,0.00644242
