AverageReturn,AbsLearnSignalNew,AverageAbsQ,AverageY,Entropy,dLoss,AverageAbsY,Perplexity,MeanKLBefore,AverageQ,LossAfter,ItrTime,ExplainedVariance,EnvExecTime,StdReturn,Time,MinReturn,AbsLearnSignalOld,PolicyExecTime,AverageQLoss,MaxReturn,AverageAbsQYDiff,Iteration,AbsLearnSignal,MeanKL,AverageDiscountedReturn,ProcessExecTime,AveragePolicyStd,NumTrajs,LossBefore
154.411212153,0.361730681807,72.7332,72.7343917503,24.1165,0.297058,72.7351848969,2.97616e+10,0.0,72.7233,-80.5219,52.78224062919617,-1.90130841557,7.267565727233887,48.7997041877,589.0902590751648,81.9731278371,0.363434120009,0.979158878326416,34.1362,334.122061654,4.22215348051,10,0.361730681807,0.00642251,130.286271797,0.14337778091430664,0.999679,154,-80.2248
167.55035272,0.532197795956,77.2504,77.2492168674,24.1159,0.306122,77.2510213732,2.97431e+10,0.0,77.2368,-86.9182,55.884713888168335,-0.130678086558,7.2865941524505615,50.1970524166,645.1100912094116,78.685075447,0.534827140988,0.9923532009124756,38.0923,343.58513433,4.45006062617,11,0.532197795956,0.00645609,139.705267481,0.14228224754333496,0.999643,143,-86.6121
173.033831809,0.66037569497,81.8014,81.7948236978,24.115,0.332664,81.7990537246,2.97166e+10,0.0,81.7831,-89.2346,56.45520377159119,0.233826001206,7.751134395599365,53.6266544383,701.7730038166046,82.3278305386,0.662231224202,1.153425693511963,43.1797,403.092521504,4.71256529237,12,0.66037569497,0.00643698,143.382293399,0.16376638412475586,0.99959,139,-88.9019
181.823368648,0.751592759191,86.8695,86.8583230988,24.1147,0.343628,86.86485874,2.97089e+10,0.0,86.8449,-100.956,53.95655536651611,0.294615396731,7.555605173110962,64.8701956798,755.9071063995361,80.9363264042,0.752362025124,1.0887644290924072,48.6635,414.015358892,4.98350047722,13,0.751592759191,0.00643812,148.565704916,0.1546320915222168,0.999575,132,-100.612
214.983122783,0.525747528343,92.1343,92.1194520009,24.1137,0.351746,92.1251561472,2.96791e+10,0.0,92.1072,-102.714,53.88598918914795,-0.443938323093,7.580837249755859,70.969662862,809.9333884716034,95.674036301,0.527668129687,1.0084848403930664,53.3091,431.958851386,5.18294624773,14,0.525747528343,0.00643361,170.150022973,0.14159560203552246,0.999516,113,-102.362
217.510846914,0.552070816945,97.7244,97.7075617223,24.1135,0.344604,97.71476759,2.96736e+10,0.0,97.6945,-106.664,53.06283450126648,-0.948289495918,7.593146324157715,70.2119141241,863.1431348323822,81.1274228961,0.553068251681,1.0033271312713623,58.65,428.71217047,5.4258941731,15,0.552070816945,0.00642067,171.887130041,0.14339900016784668,0.999505,111,-106.319
230.459028054,0.750032299817,103.526,103.512929704,24.1134,0.358597,103.517852463,2.96705e+10,0.0,103.499,-113.715,54.45100998878479,0.360736308288,7.8020288944244385,68.713018689,917.7374219894409,92.8655654643,0.751083737097,1.0177102088928223,64.1106,418.317072934,5.65580321538,16,0.750032299817,0.00643913,179.940323723,0.14308643341064453,0.999499,105,-113.357
240.959006316,0.673287915466,109.872,109.855878846,24.1132,0.390648,109.862776331,2.96632e+10,0.0,109.843,-125.538,54.00669765472412,-0.0819156809556,7.723337411880493,73.4029126057,971.882167339325,86.2718154906,0.675951394176,0.9994304180145264,70.1568,427.114134683,5.86745899441,17,0.673287915466,0.00645986,186.179558609,0.1398792266845703,0.999484,101,-125.147
263.617820197,0.606728475578,116.919,116.90529821,24.1122,0.383286,116.909883488,2.96334e+10,0.0,116.894,-131.934,55.01704931259155,0.0126748316631,7.79702091217041,73.8583822665,1027.0334486961365,112.997597811,0.604548765263,1.019418478012085,78.1463,549.198303534,6.13888931015,18,0.606728475578,0.00643036,199.892909876,0.14310717582702637,0.999425,94,-131.551
279.918262817,0.13961452316,124.495,124.482973239,24.1118,0.460983,124.487791772,2.96214e+10,0.0,124.472,-142.023,53.60678696632385,-74.7104507576,7.710503339767456,73.9370173869,1080.7784662246704,119.60204776,0.139408807326,1.0110118389129639,84.1021,479.542887302,6.3387166274,19,0.13961452316,0.00991276,209.172886388,0.14027690887451172,0.999402,87,-141.562
