ExplainedVariance,LossBefore,MeanKL,ProcessExecTime,PolicyExecTime,AverageQ,AverageAbsQYDiff,Time,MaxReturn,ItrTime,NumTrajs,Perplexity,AverageY,Iteration,AverageAbsY,AveragePolicyStd,AverageReturn,AverageAbsQ,Entropy,MeanKLBefore,AverageDiscountedReturn,LossAfter,StdReturn,MinReturn,AbsLearnSignal,EnvExecTime,AverageQLoss,AbsLearnSignalOld,dLoss,AbsLearnSignalNew
5.0771942206e-11,0.344193,0.00992945,0.08576202392578125,0.636582612991333,-0.989724,0.450251173333,32.63301420211792,-433.386643566,32.63300609588623,5,4982.22,-0.99272173707,0,1.29106049993,1.0,-476.359470166,1.18969,8.51363,0.0,-40.5923786522,0.279,27.424119337,-503.941714859,0.747164189783,1.5756194591522217,0.35176,0.747191653993,0.0651931,0.747164189783
0.306805112721,1.80786,0.00985855,0.08486175537109375,0.636960506439209,-2.79995,0.611719596008,65.45552372932434,-299.927834772,32.69889569282532,5,4975.7,-2.80264692388,1,2.99229815553,0.999783,-478.596154198,2.93725,8.51232,0.0,-51.9751903721,1.74294,102.815052858,-613.761844088,0.764302015228,1.5778782367706299,0.638164,0.763833410817,0.0649287,0.764302015228
-0.0378242408401,3.5551,0.00996791,0.09483480453491211,0.6694092750549316,-4.65753,0.80474868098,98.89859890937805,-310.357981583,33.33333134651184,5,4991.14,-4.66109031644,2,4.90149098036,1.0003,-508.74119914,4.84488,8.51542,0.0,-44.3162349292,3.49161,153.448091861,-774.334987091,0.756081300397,1.616586446762085,1.12005,0.75604060266,0.0634954,0.756081300397
0.176721932551,5.04761,0.00982813,0.08791446685791016,0.6269793510437012,-6.23398,0.972448178618,131.46745014190674,-207.574670234,32.46124291419983,5,4950.86,-6.23804031543,3,6.55674031884,0.998949,-439.519952268,6.49301,8.50732,0.0,-41.1203755783,4.97837,129.047616533,-556.485566581,0.777225078381,1.5822505950927734,1.65983,0.777353746085,0.0692363,0.777225078381
0.020826718384,6.4968,0.00644444,0.09272122383117676,0.6613116264343262,-7.52918,1.11661362954,164.51288628578186,-357.441288448,32.93750023841858,5,4941.04,-7.53307659425,4,7.9144196811,0.998619,-437.931043678,7.8439,8.50533,0.0,-48.2340680083,6.43485,90.6603427485,-615.070109892,0.781512515123,1.599426507949829,2.21934,0.78105732218,0.0619502,0.781512515123
0.200784620301,7.03748,0.00997035,0.09329700469970703,0.6727914810180664,-8.56331,1.19368162557,197.4309537410736,-243.585220065,32.80877065658569,5,4925.54,-8.56796907113,5,8.97700887548,0.998096,-363.000515734,8.90325,8.50219,0.0,-35.6596621895,6.96205,68.7862551816,-435.004984269,0.784979384087,1.6026318073272705,2.56395,0.784429816816,0.0754294,0.784979384087
0.147325527529,7.28942,0.0065024,0.09162187576293945,0.6702227592468262,-9.28462,1.27865452256,230.44259190559387,-219.76201712,32.90247559547424,5,4917.92,-9.28883387831,6,9.74905925372,0.997841,-289.208603799,9.67096,8.50064,0.0,-24.2329844166,7.22503,54.4340785942,-384.217895888,0.772376474244,1.6035816669464111,2.97801,0.772252822664,0.064393,0.772376474244
0.0628401329809,8.43868,0.0064655,0.0917963981628418,0.6519968509674072,-9.84195,1.3334388401,263.3670325279236,-53.5617339582,32.816019773483276,5,4912.14,-9.84473450409,7,10.3592620098,0.997646,-333.871990698,10.2779,8.49947,0.0,-40.9278305024,8.37285,165.917182691,-567.657091565,0.762955600341,1.5941162109375,3.27139,0.762618308858,0.0658274,0.762955600341
0.42008329703,10.1683,0.00642438,0.0920255184173584,0.6312108039855957,-10.467,1.33304734482,297.9970152378082,-244.530333738,34.51926255226135,5,4889.71,-10.4701762395,8,11.0028304985,0.996886,-350.085686678,10.9251,8.49489,0.0,-37.5325124335,10.1083,83.5441428721,-446.142813173,0.794809989051,1.5726046562194824,3.31489,0.795721906951,0.0599995,0.794809989051
0.0879082267843,10.068,0.00650275,0.09829998016357422,0.7014715671539307,-10.8943,1.33915100797,331.7263867855072,-158.838367157,33.61170506477356,5,4878.24,-10.8968117035,9,11.4901727814,0.996495,-276.464081073,11.4118,8.49254,0.0,-10.9909673822,10.0062,97.8119386029,-398.015356842,0.739361805763,1.6234359741210938,3.40696,0.738357533283,0.0617924,0.739361805763
