StdReturn,MeanKLBefore,Perplexity,ExplainedVariance,AbsLearnSignal,Time,LossAfter,Iteration,Entropy,EnvExecTime,ProcessExecTime,LossBefore,MinReturn,MeanKL,AverageReturn,MaxReturn,ItrTime,NumTrajs,dLoss,AveragePolicyStd,AverageDiscountedReturn,PolicyExecTime
57.4400074761,0.0,4982.22,3.88115095618e-11,0.760544959515,4.0429511070251465,-0.0634986,0,8.51363,1.7005395889282227,0.09536576271057129,7.62939e-10,-536.376306166,0.00987838,-437.179389182,-372.894348244,4.042935848236084,5,0.0634986,1.0,-52.0513433391,0.7542562484741211
44.9880833577,0.0,5008.98,0.0627359506499,0.764589042965,7.78092360496521,-0.0495234,1,8.51899,1.666477918624878,0.10617733001708984,-2.86102e-08,-484.485781808,0.00645498,-433.778296931,-368.197052261,3.7250776290893555,5,0.0495234,1.00089,-36.1225573503,0.7123062610626221
42.0684016813,0.0,5001.91,0.299587169571,0.712675489897,11.384979009628296,-0.063568,2,8.51758,1.6639657020568848,0.09979677200317383,-6.19888e-09,-492.228620024,0.00993654,-436.842497787,-366.74375311,3.599982738494873,5,0.063568,1.00066,-46.443583168,0.7227284908294678
73.7345698053,0.0,5004.36,-0.513221900714,0.792152983713,15.162444591522217,-0.0623653,3,8.51807,1.637925624847412,0.09936928749084473,1.2207e-08,-508.571549929,0.00984156,-429.556628906,-291.251927048,3.650862455368042,5,0.0623653,1.00074,-49.3818106648,0.7156982421875
35.8802456055,0.0,5015.97,0.307775091163,0.763082677419,18.85982060432434,-0.0609616,4,8.52038,1.6759603023529053,0.10171794891357422,-1.90735e-09,-463.889268407,0.00993296,-409.884013477,-355.981602932,3.692335605621338,5,0.0609616,1.00113,-39.6699585784,0.7475225925445557
99.1907775075,0.0,4996.86,0.179990359016,0.72767941634,22.49963092803955,-0.0607988,5,8.51656,1.6774287223815918,0.09942483901977539,9.91821e-09,-619.728587181,0.00995724,-433.832080242,-331.370935716,3.634394407272339,5,0.0607988,1.00049,-39.4205374084,0.7502739429473877
119.672907452,0.0,4967.39,-0.0361975426716,0.753213091209,26.171003103256226,-0.0601349,6,8.51065,1.6537275314331055,0.1035916805267334,-3.8147e-09,-558.591695178,0.00987368,-345.393837627,-229.293071826,3.5561363697052,5,0.0601349,0.999508,-19.4901850266,0.7400505542755127
40.7124139987,0.0,4943.36,-0.19177832361,0.756620737929,29.821207284927368,-0.0484695,7,8.5058,1.6832294464111328,0.0946965217590332,-1.43051e-08,-485.910101637,0.00644848,-412.827344096,-365.519352914,3.6449692249298096,5,0.0484695,0.998702,-47.7645604949,0.7734181880950928
105.57019089,0.0,4959.26,0.193449115363,0.758672655735,33.46745824813843,-0.0636229,8,8.50901,1.6976714134216309,0.1017003059387207,-1.8692e-08,-615.572800141,0.00989328,-447.052132777,-328.633475637,3.641024589538574,5,0.0636229,0.999236,-45.9895926305,0.7961981296539307
67.4333245321,0.0,4947.61,0.239227223408,0.715549013116,37.18721103668213,-0.0500951,9,8.50666,1.6858923435211182,0.0993185043334961,1.18256e-08,-539.752347405,0.0064282,-427.823107593,-342.363226743,3.5938165187835693,5,0.0500951,0.998844,-30.659822667,0.7844183444976807
115.640103656,0.0,4948.97,0.390364494229,0.756234094073,40.85487151145935,-0.0631532,10,8.50693,1.7020776271820068,0.09625720977783203,1.46866e-08,-417.370637754,0.00978868,-317.13771664,-168.750626116,3.662292242050171,5,0.0631532,0.998892,-19.4836528922,0.8128361701965332
58.6791898736,0.0,4920.91,0.00876422259587,0.781465438255,44.44715857505798,-0.0491698,11,8.50125,1.6984500885009766,0.09482932090759277,5.76973e-09,-513.140060192,0.00641397,-442.792616699,-373.189772929,3.587817668914795,5,0.0491698,0.997947,-43.2558125242,0.7900497913360596
47.1444566422,0.0,4920.99,0.266992832159,0.761916873348,48.10028314590454,-0.0649766,12,8.50127,1.6717338562011719,0.09539270401000977,7.43866e-09,-365.33062433,0.00986163,-316.261888482,-238.543159106,3.5244059562683105,5,0.0649767,0.997953,-23.75162976,0.7617592811584473
48.1232027403,0.0,4952.9,0.311180659143,0.718044299621,51.641335010528564,-0.0616861,13,8.50773,1.686079978942871,0.09684538841247559,-2.24113e-08,-454.455440299,0.009981,-376.967649042,-329.059116988,3.536576271057129,5,0.0616861,0.999024,-18.994558865,0.7944796085357666
60.3585916345,0.0,4870.98,-1.60098279316,0.812315414357,55.17054748535156,-0.0624425,14,8.49105,1.6537463665008545,0.09551000595092773,-1.57356e-08,-511.531094235,0.00993618,-404.311854472,-345.504084018,3.525733470916748,5,0.0624425,0.996249,-58.6680026879,0.7673990726470947
68.9893378838,0.0,4886.54,0.284371906697,0.741890919235,58.85381102561951,-0.0503878,15,8.49424,1.6892192363739014,0.09989070892333984,3.8147e-10,-570.064152932,0.00641231,-481.86239768,-392.806339962,3.5615248680114746,5,0.0503878,0.996777,-45.7336064237,0.794966459274292
44.0652512442,0.0,4880.58,0.107968263958,0.708164959275,62.43383717536926,-0.0630574,16,8.49302,1.696739673614502,0.1004936695098877,-1.34468e-08,-488.023558412,0.00996887,-431.029043473,-385.254548355,3.5752980709075928,5,0.0630574,0.996579,-45.7680076705,0.7949011325836182
44.3075805772,0.0,4880.75,0.116647221999,0.759759593027,65.94359016418457,-0.0639751,17,8.49305,1.667672872543335,0.09753561019897461,-1.52588e-09,-425.714426924,0.00986731,-372.522455789,-307.701087439,3.505042552947998,5,0.0639751,0.996586,-25.0388302318,0.7879574298858643
73.4047506369,0.0,4868.88,-1.8568515456,0.780103140014,69.57433819770813,-0.0630231,18,8.49062,1.6867966651916504,0.10390973091125488,6.53744e-08,-546.25974718,0.0099647,-406.024566377,-336.720656287,3.517806053161621,5,0.0630232,0.996183,-45.5859674151,0.7951066493988037
36.8356445806,0.0,4870.43,0.45712786638,0.728198008421,73.16652369499207,-0.0654487,19,8.49094,1.7020528316497803,0.1052243709564209,1.8692e-08,-419.647444852,0.00993565,-393.636968978,-321.64426194,3.58669376373291,5,0.0654487,0.996236,-34.9148793601,0.8280763626098633
90.5538363044,0.0,4875.77,-2.39323198992,0.806675564645,76.79407453536987,-0.0512027,20,8.49203,1.705073595046997,0.11067557334899902,5.59807e-08,-473.32235058,0.00643563,-353.292368464,-224.127046653,3.6226890087127686,5,0.0512027,0.996419,-36.8385334102,0.8288354873657227
89.0565898739,0.0,4871.25,-0.105809099946,0.698639231022,80.50753831863403,-0.04799,21,8.49111,1.7162351608276367,0.10506558418273926,-3.43323e-09,-447.62126515,0.00641025,-328.829516913,-180.666269059,3.5994324684143066,5,0.04799,0.996266,-9.45030471072,0.8332197666168213
70.0291611308,0.0,4870.6,0.0356614313573,0.754633744159,84.00953722000122,-0.0626229,22,8.49097,1.6954195499420166,0.09482479095458984,2.0504e-08,-478.976629168,0.0099428,-358.337603856,-301.055720459,3.4984841346740723,5,0.062623,0.996243,-24.282350388,0.7817034721374512
65.4452843824,0.0,4839.52,-0.0332777988733,0.761900031822,87.58261322975159,-0.0530792,23,8.48457,1.718994140625,0.1007375717163086,1.90735e-10,-400.760416799,0.00642938,-332.374464464,-217.993535785,3.5677361488342285,5,0.0530792,0.995179,-18.9500417625,0.786888837814331
73.9221995993,0.0,4840.21,0.17386134352,0.731141554712,91.24557065963745,-0.0620876,24,8.48471,1.692577600479126,0.10019993782043457,1.31607e-08,-457.377872394,0.00988664,-343.740016747,-258.526112814,3.5616257190704346,5,0.0620876,0.995204,-25.0529044963,0.8108727931976318
72.2026277843,0.0,4819.56,-0.595759150088,0.759586949142,94.79647302627563,-0.0723146,25,8.48044,1.7054286003112793,0.10262012481689453,3.8147e-10,-486.647261303,0.00998864,-396.295813972,-267.960100533,3.5462567806243896,5,0.0723146,0.9945,-42.0731529915,0.8071761131286621
55.6568502045,0.0,4823.85,0.0157191523678,0.750119788738,98.44664359092712,-0.0606062,26,8.48133,1.7235782146453857,0.10437917709350586,4.29153e-10,-352.965542628,0.0099171,-290.362799092,-198.711888969,3.6449296474456787,5,0.0606062,0.994647,-37.9713883014,0.8474888801574707
41.5682180461,0.0,4833.87,0.190096762093,0.783308831272,102.19927549362183,-0.0515452,27,8.4834,1.713782548904419,0.10885882377624512,3.43323e-09,-428.55254826,0.00644594,-366.161128652,-323.637035271,3.6439595222473145,5,0.0515452,0.994989,-24.8499018699,0.8673324584960938
77.7465742029,0.0,4829.83,0.223786783528,0.700036540098,105.80712366104126,-0.0542266,28,8.48257,1.7175827026367188,0.10280704498291016,4.90189e-08,-452.151331753,0.00641454,-312.815123457,-216.589855622,3.6019866466522217,5,0.0542267,0.994851,-25.6727187086,0.8505523204803467
55.642703618,0.0,4836.87,0.166007731062,0.74231238377,109.42279839515686,-0.0622545,29,8.48402,1.7244842052459717,0.10626482963562012,-1.90735e-08,-400.016077165,0.00996922,-316.760126097,-245.905517241,3.612192392349243,5,0.0622545,0.995089,-25.6851145503,0.8586177825927734
15.2190418788,0.0,4805.21,0.0947058622565,0.756699691696,113.11115407943726,-0.0597578,30,8.47746,1.7064225673675537,0.10429525375366211,6.10352e-09,-413.775430209,0.00992423,-391.152843132,-370.304268886,3.577258348464966,5,0.0597578,0.994002,-42.4188857708,0.8451213836669922
82.8464954757,0.0,4801.28,0.00123160183055,0.694007507867,116.79475355148315,-0.059877,31,8.47664,1.7512719631195068,0.09735393524169922,1.81198e-09,-551.693946743,0.0098029,-416.295253544,-328.521866808,3.680119514465332,5,0.059877,0.993868,-43.0181973423,0.8800253868103027
39.4429632594,0.0,4798.21,-0.0516807533192,0.701310307111,120.4102668762207,-0.067833,32,8.476,1.7335474491119385,0.09712934494018555,4.57764e-09,-427.55441826,0.00996001,-380.235954927,-310.313492192,3.609912395477295,5,0.067833,0.993761,-36.5798472497,0.8682634830474854
52.2492736078,0.0,4797.57,-0.0575754876388,0.722210793276,124.62746286392212,-0.0621108,33,8.47586,2.0094306468963623,0.11150884628295898,3.42369e-08,-378.634729182,0.00982236,-322.516628613,-254.587922797,4.1085615158081055,5,0.0621108,0.993739,-20.0693327556,1.0034830570220947
31.2093220737,0.0,4768.46,0.208219576702,0.687008487578,128.24285793304443,-0.0498864,34,8.46978,1.7312464714050293,0.10284662246704102,-5.43594e-09,-339.740075781,0.00644792,-304.283836974,-249.505827627,3.611618995666504,5,0.0498864,0.992733,-26.5688490202,0.8309595584869385
39.4459041697,0.0,4733.76,0.389830850841,0.775213481126,131.79405546188354,-0.0659388,35,8.46248,1.7142505645751953,0.10123658180236816,-2.8038e-08,-380.574850617,0.00986661,-342.033332706,-282.29338265,3.5460822582244873,5,0.0659388,0.991528,-32.6741341997,0.8256466388702393
41.5822817428,0.0,4729.64,0.105689914989,0.68527592614,135.4451141357422,-0.0622229,36,8.4616,1.6956369876861572,0.09759354591369629,6.29425e-09,-430.690089774,0.00995535,-361.119758907,-302.793576146,3.5282576084136963,5,0.0622229,0.991383,-22.3296429835,0.822169303894043
43.3708745146,0.0,4733.52,0.338608450399,0.763676733248,138.99781799316406,-0.0622513,37,8.46242,1.7142815589904785,0.09709525108337402,1.02043e-08,-381.607615951,0.00996777,-315.910807974,-259.88613646,3.548383951187134,5,0.0622513,0.991518,-20.6853213887,0.8167855739593506
46.7132695757,0.0,4733.13,-1.79846858125,0.77387157429,142.54498958587646,-0.0647952,38,8.46234,1.707503318786621,0.0979604721069336,-1.90735e-09,-433.997630648,0.00998318,-363.604091252,-319.302989921,3.541384220123291,5,0.0647952,0.991502,-32.7172466582,0.8159360885620117
32.6064004322,0.0,4714.25,0.12052190255,0.730782815658,146.17552495002747,-0.0647312,39,8.45834,1.6869268417358398,0.09809613227844238,2.95639e-09,-359.150366235,0.00987534,-311.01758445,-257.653200941,3.5215864181518555,5,0.0647312,0.990843,-25.685746126,0.8309268951416016
73.9654680094,0.0,4717.87,0.0579471548319,0.772471446816,149.72353267669678,-0.063444,40,8.45911,1.7033884525299072,0.092987060546875,1.98364e-08,-446.017850883,0.0099648,-347.106280846,-248.84991895,3.5445194244384766,5,0.063444,0.99097,-38.8602777627,0.8319151401519775
124.67641763,0.0,4704.11,0.139849686754,0.712180200276,153.2559871673584,-0.0614192,41,8.45619,1.7030601501464844,0.10218477249145508,2.54631e-08,-627.160965979,0.00987899,-380.308899668,-285.899597683,3.5276732444763184,5,0.0614192,0.990488,-10.9104116842,0.7963240146636963
36.3875124593,0.0,4701.42,0.251791268126,0.710015726047,156.85253024101257,-0.0641094,42,8.45562,1.6658756732940674,0.09725117683410645,-8.10623e-09,-402.078607294,0.00994697,-347.354825191,-295.511001078,3.481470823287964,5,0.0641094,0.990396,-27.8741803156,0.8126041889190674
